1'上半场比赛开始！！                   1'切尔西第1分钟渐成围攻之势
1'切尔西前场拿球转移给到右路                   1'切尔西第1分钟渐成围攻之势
2'先来看下双方的首发                   1'切尔西第1分钟渐成围攻之势
2'切尔西（3-4-3）：13-库尔图瓦；28-阿斯皮利奎塔，24-卡希尔，30-路易斯；15-摩西，7-坎特，21-马蒂奇，3-阿隆索；11-佩德罗，19-迭戈-科斯塔，10-阿扎尔                   1'切尔西第1分钟渐成围攻之势
3'埃弗顿首发：22号斯特克伦伯格；6号雅盖尔卡、5号威廉斯、25号莫里；18号巴里、15号克莱维利、20号奥维多、23号科尔曼、8号巴克利；14号博拉西耶、10号卢卡库                   1'切尔西第1分钟渐成围攻之势
3'埃弗顿右路进攻上来                   1'切尔西第1分钟渐成围攻之势
3'边路的推进被抢断                   1'切尔西第1分钟渐成围攻之势
3'切尔西后场控一下球                   1'切尔西第1分钟渐成围攻之势
4'本场比赛孔蒂仍旧排出近期连胜的首发阵容                   1'切尔西第1分钟渐成围攻之势
4'切尔西将球转移到左路                   1'切尔西第1分钟渐成围攻之势
4'阿隆索底线接球横扫门前                   1'切尔西第1分钟渐成围攻之势
4'这球比较靠近门将                   1'切尔西第1分钟渐成围攻之势
4'埃弗顿将球转移给到右路                   1'切尔西第1分钟渐成围攻之势
2'先来看下双方的首发                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
2'切尔西（3-4-3）：13-库尔图瓦；28-阿斯皮利奎塔，24-卡希尔，30-路易斯；15-摩西，7-坎特，21-马蒂奇，3-阿隆索；11-佩德罗，19-迭戈-科斯塔，10-阿扎尔                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
3'埃弗顿首发：22号斯特克伦伯格；6号雅盖尔卡、5号威廉斯、25号莫里；18号巴里、15号克莱维利、20号奥维多、23号科尔曼、8号巴克利；14号博拉西耶、10号卢卡库                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
3'埃弗顿右路进攻上来                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
3'边路的推进被抢断                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
3'切尔西后场控一下球                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
4'本场比赛孔蒂仍旧排出近期连胜的首发阵容                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
4'切尔西将球转移到左路                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
4'阿隆索底线接球横扫门前                   2'切尔西2分钟连入2球，第19分钟，马蒂奇中场抢断巴里，科斯塔分球，阿扎尔面对2人切入禁区左侧18码处射入远角
