1'比赛开始了，西布朗率先开球                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
1'隆东回敲给到后场，埃文斯得球                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
1'在给麦考利，长传直接飞出界外                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
2'库尔图瓦交给左侧的阿隆索，中场推进，在给阿扎尔                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
2'护球转身，速度飙起来，过不去，在横向盘带                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
2'回来给到路易斯，长传给到右侧摩西                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
2'摩西身前送一脚，找佩刀，在横敲马蒂奇                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
3'马蒂奇往前送一脚被麦考利拦截                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
3'切尔西继续压上，阿斯皮利奎塔交给右路摩西                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
3'推进过来，上轮摩西也是表现非常棒                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
3'给到禁区外接应的科斯塔，在回敲给坎特                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
3'左侧交给马蒂奇，分边给阿隆索                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
4'突破向前，在回给坎特，右侧找到阿斯皮利奎塔                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
4'切尔西打的非常耐心，也明显底气十足，8连胜打出自信了                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
4'摩西右路杀到禁区边缘，搓起来，到禁区中央                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
4'道森把球解围出边线                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
4'路易斯中路给到坎特，在给右侧阿斯皮利奎塔                   1'西布朗第1分钟并不保守，道森右路传中，容东12码处头球攻门正入库尔图瓦下怀
28'马蒂奇左侧交给阿扎尔，横向扯动，在给阿斯皮利奎塔                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
28'长传到禁区内，弹地之后直接飞出底线                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
28'佩刀右路断球，直塞身前的科斯塔                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
29'科斯塔回做，坎特中路跟上迎球远射                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
29'这球击中麦考利之后折射偏出底线                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
29'哇塞，这球是打在自己同伴身上，不是麦考利。。。是佩刀啊                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
29'大脚开出门球                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
30'布伦特回顶给埃文斯，分边到左侧                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
30'坎特铲抢把球踢出边线                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
30'阿扎尔拿球，突然转身，麦考利没跟上，拉了一下，眼看来不及了，直接掀翻对方                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
30'麦考利也被裁判出示了黄牌                   28'第28分钟，科斯塔回铲，坎特25码处劲射打中佩德罗偏转，皮球擦右侧立柱偏出
