1'比赛开始了，切尔西率先开球                   1'双方第1分钟均显得小心谨慎
1'科斯塔回敲给到后场                   1'双方第1分钟均显得小心谨慎
1'蓬蓬头分边给阿斯皮利奎塔                   1'双方第1分钟均显得小心谨慎
1'在给卡希尔，后场倒脚                   1'双方第1分钟均显得小心谨慎
1'低传向前，卡巴耶拦截下来                   1'双方第1分钟均显得小心谨慎
2'卡巴耶顺势直塞，直接给到了库尔图瓦面前                   1'双方第1分钟均显得小心谨慎
2'库尔图瓦大脚开出来                   1'双方第1分钟均显得小心谨慎
2'边路直接飞出界外                   1'双方第1分钟均显得小心谨慎
2'凯利发球交给丹恩，在回敲亨尼西                   1'双方第1分钟均显得小心谨慎
2'长传出来，路易斯头球点给阿隆索                   1'双方第1分钟均显得小心谨慎
3'推进过来，左侧往前奔袭，麦克阿瑟飞扑过来挡出变向                   1'双方第1分钟均显得小心谨慎
3'边线                   1'双方第1分钟均显得小心谨慎
3'卡希尔中路交给马蒂奇，右侧在给阿斯皮利奎塔，坎特过来接应                   1'双方第1分钟均显得小心谨慎
3'长传转移，左侧再找阿隆索，被凯利顶出边线                   1'双方第1分钟均显得小心谨慎
4'路易斯右侧分给威廉，瞄了一眼，搓起来，斜传到中路                   1'双方第1分钟均显得小心谨慎
4'扎哈阻挡下来，身后给卡巴耶                   1'双方第1分钟均显得小心谨慎
4'挑传向前，坎特拦截，右侧给到摩西                   1'双方第1分钟均显得小心谨慎
4'横向转移，左侧卡希尔拿球，向前推进                   1'双方第1分钟均显得小心谨慎
21'突破内切在给过来，莱德利再分右路，凯利传中                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
21'小禁区前沿庞琼跟上包抄抢点，射偏了                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
21'库尔图瓦大脚开出                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
22'凯利后场把球截住，在给德莱尼                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
22'左侧给到沃德，直塞身前的庞琼                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
22'庞琼横敲被科斯塔断下                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
22'科斯塔球未能拿稳，莱德利趁机迅速反抢回来                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
22'科斯塔有点急躁，一个比较凶狠的动作把对手干翻                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
23'主裁毫不留情的给科斯塔黄宝石卡一张                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
23'科斯塔下轮黄牌累积停赛了哦                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
23'水晶宫后场定位球开出                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
23'左侧莱德利拿球，在斜吊向禁区                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
24'马蒂奇前点飞身挡出边线                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
24'界外球给到庞琼，转身摆脱，半高球送进去                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
24'路易斯把球挡出底线                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
24'左侧角球机会                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
24'送到前点，被解围出去                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
24'坎特外围得球，交给右侧威廉                   21'水晶宫第21分钟浪费机会，卡巴耶分球右路，凯利低传，庞琼12码处扫射偏出后角
43'麦克阿瑟一脚踢出边线                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
43'界外球给到卡希尔，又是麦克阿瑟积极上抢，飞身把球挡出边线                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
43'路易斯中路交给阿隆索，在向前送一脚，被扎哈断下                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
44'身前在给莱德利，威廉上抢断下，给到中路卡希尔                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
44'左侧再找阿隆索，向前给阿扎尔，突破内切到中间                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
44'右侧给到阿斯皮利奎塔，搓起来到禁区                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
44'小禁区前沿，，，科斯塔头球，，，，，破门了                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
45'切尔西上半场尾声取得领先                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
45'阿斯皮利奎塔右路准确的制导，科斯塔销魂的跑位甩开防守，强力头球砸向右侧                   43'切尔西第43分钟打破僵局，阿扎尔传球，阿斯皮利奎塔斜传，科斯塔小禁区边缘力压2人头球破门
