1'上半场由斯托克城中圈开球！                   1'切尔西第1分钟逐渐占据主动
1'长传球被切尔西将球权控制                   1'切尔西第1分钟逐渐占据主动
1'路易斯交给卡希尔                   1'切尔西第1分钟逐渐占据主动
1'回传给库尔图瓦                   1'切尔西第1分钟逐渐占据主动
1'再交给路易斯组织                   1'切尔西第1分钟逐渐占据主动
1'在观察，没有出球点，回给卡希尔                   1'切尔西第1分钟逐渐占据主动
1'卡希尔转移给阿斯皮利奎塔                   1'切尔西第1分钟逐渐占据主动
1'直传，科斯塔停球大了                   1'切尔西第1分钟逐渐占据主动
1'克劳奇断球                   1'切尔西第1分钟逐渐占据主动
2'格伦约翰逊交给左路的队友                   1'切尔西第1分钟逐渐占据主动
3'镜头给到了孔蒂                   1'切尔西第1分钟逐渐占据主动
3'切尔西反击，阿扎尔的直传没有塞过去                   1'切尔西第1分钟逐渐占据主动
3'格兰特长传上来                   1'切尔西第1分钟逐渐占据主动
3'查理亚当控球分右路的沙奇里                   1'切尔西第1分钟逐渐占据主动
3'回做一下，乔阿伦过渡                   1'切尔西第1分钟逐渐占据主动
4'再次找到乔阿伦，直传，沙奇里停球失误                   1'切尔西第1分钟逐渐占据主动
4'切尔西反击，威廉控球绕了关圈交给法布雷加斯                   1'切尔西第1分钟逐渐占据主动
4'分左路，前无去路，回传给路易斯                   1'切尔西第1分钟逐渐占据主动
4'路易斯直传被抢断                   1'切尔西第1分钟逐渐占据主动
4'乔阿伦分左路，阿费莱交给皮特斯                   1'切尔西第1分钟逐渐占据主动
33'交给迪乌夫，传中被阿斯皮利奎塔顶出                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
34'路易斯长传到禁区，科斯塔停球一挑被格兰特将球打出，阿扎尔推射打在格兰特身上出底线                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
34'法布雷加斯发角球，卡希尔充分助跑有力的冲顶破网！                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
36'坎特中场回传给路易斯                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
36'再回给库尔图瓦                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
