3'沙奇里外围来一脚远射，球被挡出来                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
4'争抢球，克拉万被吹犯规了                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
5'利物浦进攻                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
6'马蒂普送出长传球                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
6'球被解围出来                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
6'斯托克城进攻了                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
18'奥里吉前场拿球，禁区前沿，一脚打门                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
18'打高了                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
19'沙奇里边路突破，传中，球被解围出来                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
19'维纳尔杜姆直接送出长传球                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
20'格兰特将球拦截下来                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
21'洛夫伦中场将球控制下来                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
21'阿伦反抢将球反断回来                   18'利物浦首次进攻出现在第18分钟，米尔纳传球，但奥里吉禁区左侧的射门偏出远角
44'米尼奥莱大脚将球开出来                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
44'斯托克城球权                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
45'卡梅隆传球沙奇里，进了！！！！！！！！！！！！！！！！！！！！！                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
45'沙奇里挑传禁区，沃尔特斯头球攻门，将球打进                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
45'利物浦获得了领先                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
46'ok,继续看比赛                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
46'上半场补时3分钟                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
46'克拉万拿球被犯规了                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
47'克拉万拿球传球禁区，球被解围出来                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
47'维纳尔杜姆继续传球禁区，球被解围出来                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
46'下半场比赛开始                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
46'伍德伯恩换上库蒂尼奥                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
47'利物浦进攻                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
47'奥里吉拿球被断                   44'斯托克城第44分钟打破僵局，沙奇里突入禁区右侧下底传中，前点无人防守的沃尔特斯近距离头球破门
52'皮球被马尔纳踢出底线                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
52'随后球出了右侧底线                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
52'阿瑙托维奇 回传身后皮特斯                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
52'皮特斯回传出界                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
53'神扑救                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
53'詹 地平斜传                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
53'利物浦左侧角球开出                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
54'一记传中                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
54'皮球出了左侧底线                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
54'门将大脚开球                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
55'斯托克城球员出界                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
55'奥里吉大门 皮球出界                   52'斯托克城第52分钟险些扩大比分，维纳尔杜姆角球混战中头球回顶失误，查理-亚当小禁区边缘低射被米尼奥莱挡出底线
48'皮特斯长传球，找阿劳托维奇，边裁举旗，越位了                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
49'阿诺德拿球，挑传，球被解围出来                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
49'OK，上半场比赛结束了                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
48'沙奇里拿球，被犯规了                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
48'斯托克城获得任意球机会                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
49'任意球开出                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
49'克莱因拿球                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
49'约翰逊把球拦截                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
49'横敲中路                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
50'亚当被逼抢                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
50'洛夫伦拿球                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
