1'比赛开始了，桑德兰率先开球                   1'阿森纳第1分钟展开积极攻势
1'迪福发球，交给后场，长传出来                   1'阿森纳第1分钟展开积极攻势
1'前面博里尼头球一蹭，出了边线                   1'阿森纳第1分钟展开积极攻势
1'贝莱林交给右侧扎卡，回敲给切赫                   1'阿森纳第1分钟展开积极攻势
1'在给到蒙雷亚尔，斜长传到前场                   1'阿森纳第1分钟展开积极攻势
2'右侧被断下来，科内后场拿球                   1'阿森纳第1分钟展开积极攻势
2'控制一下， 起长传，迪福拼抢落点犯规                   1'阿森纳第1分钟展开积极攻势
2'穆斯塔菲右侧给到霍尔丁，低传在给贝莱林                   1'阿森纳第1分钟展开积极攻势
2'回敲霍尔丁，中路向前找扎卡，被博里尼拦截                   1'阿森纳第1分钟展开积极攻势
3'带球向前自己推进，一记直塞推给前插的迪福                   1'阿森纳第1分钟展开积极攻势
3'迪福顺势一趟，有点大。。奥维多跟进，底线附近也是没有救回来                   1'阿森纳第1分钟展开积极攻势
3'切赫后场大脚开起来                   1'阿森纳第1分钟展开积极攻势
3'中前场右侧扎卡得球，交给374，在分身边拉姆塞                   1'阿森纳第1分钟展开积极攻势
4'带球继续往前杀，禁区附近的回敲                   1'阿森纳第1分钟展开积极攻势
4'374身旁跟进，，一记怒射，打了冲天炮                   1'阿森纳第1分钟展开积极攻势
4'皮克福德大脚开出门球                   1'阿森纳第1分钟展开积极攻势
4'左侧前场争顶，大吉鲁把球得到，在策应一番                   1'阿森纳第1分钟展开积极攻势
4'桑德兰后场把球抵挡回来                   1'阿森纳第1分钟展开积极攻势
4'扎卡中场梳理，在给到左侧找374                   1'阿森纳第1分钟展开积极攻势
2'右侧被断下来，科内后场拿球                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
2'控制一下， 起长传，迪福拼抢落点犯规                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
2'穆斯塔菲右侧给到霍尔丁，低传在给贝莱林                   2'2分钟后，拉姆塞传球，吉鲁10码处射门被皮克福德神勇救出，贝莱林禁区右侧小角度补射又被拉尔森挡出
