1'随着主裁判一声哨音，比赛开始了                   1'利物浦第1分钟就陷入攻坚战
1'作客的圣徒首先开球                   1'利物浦第1分钟就陷入攻坚战
1'加比亚迪尼回敲给到后场                   1'利物浦第1分钟就陷入攻坚战
2'吉田麻也给到塞德里克，转移到左侧出界                   1'利物浦第1分钟就陷入攻坚战
2'利物浦界外球给出，争顶下来，维纳尔杜姆控制                   1'利物浦第1分钟就陷入攻坚战
2'在给组从饿米尔纳，头球一蹭，交给库鸟                   1'利物浦第1分钟就陷入攻坚战
2'中路在给到詹，右侧分给马蒂普                   1'利物浦第1分钟就陷入攻坚战
2'斜传被加比亚迪尼拦截，自己带球袭来                   1'利物浦第1分钟就陷入攻坚战
3'马蒂普回撤及时的防守把球捅回给门将                   1'利物浦第1分钟就陷入攻坚战
3'米尼奥莱一个大脚把球开出                   1'利物浦第1分钟就陷入攻坚战
3'这一脚力量好大，直接飞出边线                   1'利物浦第1分钟就陷入攻坚战
3'界外球，左侧罗梅乌拿球，回敲斯蒂芬斯，斜传向前                   1'利物浦第1分钟就陷入攻坚战
4'库鸟把球拦截，左侧给到米尔纳，回敲洛夫伦                   1'利物浦第1分钟就陷入攻坚战
4'在给身旁的马蒂普，詹回来接应，组织                   1'利物浦第1分钟就陷入攻坚战
4'挑传向前，右侧克莱因插上，垫了一脚                   1'利物浦第1分钟就陷入攻坚战
4'皮球直飞禁区内，右侧斯蒂芬斯拍马赶到，先解围出边线                   1'利物浦第1分钟就陷入攻坚战
66'米尔纳助跑，低射打一个下角，奔左侧而来，福斯特机敏的侧扑，挡出去了                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
66'这么重要的一个点球，米尔纳没搞进去啊。。一向很稳的米尔纳                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
67'这球，角度还是不够刁钻啊                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
67'慢镜头来看，刚才的手球不是塞德里克，而是斯蒂芬斯。四个人纠缠在了一起                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
68'斯蒂芬斯和奥里吉争顶之后，不知道球顶到了哪里，结果转身之际，球是正好砸在自己手臂上                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
68'利物浦继续攻，右侧菲尔米诺拿球，转移                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
68'左路米尔纳得球，压上带球，在给菲尔米诺                   66'利物浦第66分钟错失良机，卢卡斯前场斜传禁区，奥里吉胸部停球，史蒂芬斯混战中手球犯规，米尔纳点球射左下角被福斯特神勇扑出
