1'比赛开始，曼城开球                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
1'曼城开球回敲给到后面孔帕尼，在给左路这边                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
1'京多安拿球，不着急还是在后场倒一下，到了斯通斯脚下                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
1'还是给孔帕尼，往前放一记长传，直接偏出底线                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
2'福斯特大脚开出来                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
2'前场争顶，球到了左路，大卫席尔瓦把球控制下来                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
2'席尔瓦背身护球，戴维斯凶狠的一脚把对方踢倒                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
2'定位球给到左侧，费尔南迪尼奥，倒脚给到科拉罗夫                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
3'长传球，马蒂钠头球解围，费尔南迪尼奥中场组织，在给右侧萨内                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
3'左路给到京多安，低传过来，被戴维斯挡出                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
4'冯特中路拿球，一记长传，前场被科拉罗夫拦截                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
4'在给费尔南迪尼奥，自己突破带球向前，被塔迪奇撞翻在地                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
4'定位球快发，罗梅乌断球，发起反击                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
4'孔帕尼中路把球破坏                   1'曼城第1分钟主攻，阿圭罗左路内切被范迪克及时封堵，席尔瓦跟进挑射缺乏威胁
27'费尔南迪尼奥身后犯规                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
27'范迪克定位球给到克拉西，在给身前塔迪奇                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
27'塔迪奇传中过来，斯通斯把球碰出底线                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
27'左路角球，前点被科拉罗夫解围                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
28'克拉西外围拿球，在给右侧马蒂纳                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
28'长传冲吊，禁区内第一点还是曼城解围                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
28'后场曼城把球交给费尔南迪尼奥，回敲斯通斯                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
29'斯通斯回敲想给布拉沃，出现致命失误                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
29'雷蒙德进球                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
29'斯通斯回敲布拉沃短了，结果喂了一记单刀球，雷蒙德中路得球盘过出击的门将，推射空门                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
29'这球斯通斯卧底了，，布拉沃丢球后目瞪口呆                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
30'曼城意外的落后了                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
30'萨内中路给到京多安，向前给席尔瓦，这下曼城要抓紧了                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
30'挑传到了禁区内，第一点还是被头球解围                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
30'斯特林左侧强行突破，盘过了防守，杀到禁区                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
30'斯特林遭遇围堵，传中被挡出                   27'南安普敦第27分钟取得领先，斯通斯回传失误，雷蒙德高速拿球单刀晃过布拉沃后射入空门
55'曼城这次终于进球了，神奇替补啊                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
56'萨内禁区左侧拿球，面对防守，横敲到中间，伊赫纳乔小禁区跟上抢射地滚球破门                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
56'瓜帅派上的替补发挥了奇效，下半场才刚刚10分钟，曼城反扑开始了吗                   55'曼城第55分钟扳平，费尔南迪尼奥斜传，萨内禁区左侧传中，伊赫纳乔小禁区边缘抢在丰特之前扫射破门，1-1
