1'上半场比赛开始                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
1'上半场由布莱顿率先开球                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
1'莱恩控球                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
1'放下来                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
1'长传前场左路                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'球飞出边线                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'鲁迪格分左侧的阿隆索                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'回传给鲁迪格                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'长传打摩西                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'回传给法布雷加斯                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'法布雷加斯交给坎特，阿扎尔接应被断了                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
2'舒特纳的推进，坎特将球拦截出边线                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'舒特纳掷界钼示                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'阿斯皮利奎塔控球，回传给库尔图瓦                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'交给卡希尔                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'交给坎特                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'分给鲁迪格                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'已经压过半场，交给阿扎尔                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
3'分右侧的阿斯皮利奎塔                   1'切尔西第1分钟积极施压，莫拉塔禁区左侧的小角度射门被赖安扑出
