1' 吉鲁开球给身后的法布雷加斯！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
1'小法再给后场中路的克里斯滕森！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
2'克里斯滕森分到左侧给卡希尔！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
2'卡希尔吊向前场左路给阿隆索！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
2'阿隆索回敲给坎特！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
3'坎特给到中圈内的克里斯滕森！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
3'克里斯滕森分球前场右侧阿兹皮利奎塔！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
3'阿兹皮利奎塔低平球给身边萨帕科斯塔！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
3'萨帕科斯塔的球被解围出边线！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
4'切尔西前场边线发球！回给后场中路克里斯滕森！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
4'克里斯滕森给左侧卡希尔带球推进！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
4'卡希尔挑传前场！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
4'万比萨卡后场把球解围出来！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
4'坎特中场附近把球得到！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
4'麦克阿瑟上抢断球反击！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
25'阿隆索把球抢断下来！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
25'分到前场右侧给阿兹皮利奎塔！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
25'传中到禁区内被汤姆金斯大脚解围！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
25'克里斯滕森后场把球得到！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
25'给到中场左侧的卡希尔！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
25'推传给身前的法布雷加斯！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
25'低平球向前给威廉！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
26'威廉左侧带球切入禁区！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
26'起脚低射打门！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
26'GOOOOOOOOOOOOOAL！！！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
26'切尔西1-0水晶宫！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
27'继续比赛！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
