2'左侧莱斯特边线球给出                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
2'坎特拦截下来，往前盘带                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
3'左侧斜传给到莫拉塔                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
4'莫拉塔右脚弧线兜射，被舒梅切尔没收                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
4'大脚开起来                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
4'斯利曼尼得球，杀到禁区左侧                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
4'倒三角给进来                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
4'后点，没人啊                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
4'阿隆索把球解围                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
5'今天网络比较卡顿，所以节奏也是慢一些                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
5'大家见谅，不是小播手懒哈                   2'开场仅2分钟，巴卡约科传球，莫拉塔左路禁区前劲射被没收
50'中前场左侧争顶，辛普森解围                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
50'巴卡约科中路拿球，转到右侧佩刀                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
50'在给中间坎特，外围突施冷箭                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
50'哇塞，，坎特，攻破旧主大门                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
51'坎特没有庆祝，破了老东家大门，他选择不庆祝，这个冷射就跟他进球后的表情一样，很冷啊                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
52'坎特外围中路得球，右脚突然起脚，贴地箭直入大门左侧                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
52'阿紫后场拿球，回敲库尔图瓦                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
52'左侧在给吕迪格，遭遇逼抢，把球踢出边线                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
53'马奎尔中路拿球，一记直塞，禁区内库尔图瓦出击没收                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
53'吕迪格后场拿球，右侧横敲给阿紫                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
53'在给到中路，转移左侧，阿隆索                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
53'阿隆索前插，外围也尝试一脚，偏出底线                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
53'这球是打在了后卫身上                   50'切尔西第50分钟扩大比分，吕迪格传球，坎特30码处低射，皮球贴地入左下角，2-0
62'瓦尔迪亲自操刀，右脚怒射中路，打进                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
62'莱斯特很快扳回一城，还有30分钟左右，莱斯特时间还是够的                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
63'瓦尔迪的点球打在很自信，倒地失去重心的库尔图瓦碰了一下，还是未能阻挡球进                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
63'替补上来，换下佩刀                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
63'库尔图瓦大脚开起来                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
63'马奎尔后场把球控制                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
64'长传向前，被巴卡约科拦截                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
64'右侧在给摩西，身边找到威廉                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
64'威廉拿球被对手拉拽，犯规了                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
64'切尔西后场定位球，转移给左侧吕迪格                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
64'往前一记长传，被格雷断下                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
65'直接向前给一记直塞，提前量给大了                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
65'阿紫得球，右侧在给身前摩西                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
65'摩西回敲坎特，右侧再找同伴                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
65'小法禁区前沿得球，在挑入禁区内                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
65'没有穿过防守                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
65'外围阿隆索得球，再次尝试远射                   62'莱斯特城第62分钟扳回一城，阿斯皮利奎塔禁区内在格雷紧逼下回传，库尔图瓦解围稍慢却先绊倒瓦尔迪，后者亲自主罚点球劲射中路命中，1-2
