1'裁判哨响，全场比赛开始                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
1'南安普顿率先进攻                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
2'马塔中场将球控制次啊来                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
2'下来                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
2'送出直塞球，球被拦截了                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
3'南安普顿回传门将                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
3'大脚将球开出来                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
4'拉什福德将球拿到                   1'曼联第1分钟试图控制比赛，姆希塔良远射被福斯特轻松得到
20'曼联继续进攻                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
20'进球了！！！！！！！                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
21'边线球发出来，杨拿球，给到姆希塔良，往禁区里传，卢卡库头球攻门，球被扑出来，卢卡库补射将球打进                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
21'卢卡库帮助曼联客场取得了领先                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
22'OK，继续看比赛                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
23'曼联进攻                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
23'马塔传球失误了                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
23'南安普顿的反击                   20'曼联第20分钟取得领先，阿什利-扬左路传中，卢卡库小禁区边缘头球攻门被福斯特勉强扑出后近距离补射入网
67'罗梅乌的打门，被德赫亚扑出来了                   67'南安普敦第67分钟险些扳平，罗梅乌角球混战中小禁区边缘力压马蒂奇头球攻门被费莱尼在门前顶出
68'雷蒙德禁区前沿继续打门                   67'南安普敦第67分钟险些扳平，罗梅乌角球混战中小禁区边缘力压马蒂奇头球攻门被费莱尼在门前顶出
69'德赫亚将球抱住                   67'南安普敦第67分钟险些扳平，罗梅乌角球混战中小禁区边缘力压马蒂奇头球攻门被费莱尼在门前顶出
94'边线球直接往禁区里开，球被解围出了底线                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
95'角球开出来，球被大脚解围出来                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
95'埃雷拉外围拿球                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
95'裁判哨响，全场比赛结束                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
96'最终曼联客场凭借着卢卡库的进球击败了南安普顿                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
96'本场比赛就为大家直播到这里                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
96'我们下次再见                   94'第94分钟，穆里尼奥不满判罚被罚出赛场，他一一向南安普敦教练席握手后离开
