8'萨内禁区右侧得球！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
8'单刀了！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
8'大力爆射！！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
8'球居然打飞了！！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
8'他肯定是太激动了！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
9'奥塔门迪分右侧沃克！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
9'直塞前场！被破坏出界！                   7'曼城第7分钟错失良机，德布劳内斜传，但萨内10码处却将机会球射飞
17'德布劳内分禁区右侧沃克！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
17'下底回做中路！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
17'热苏斯跟进推射！！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
17'GOOOOOOOOOOOOOAL！！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
18'沃克右侧突破底线回传！小禁区前热苏斯跟进推射右下角破门！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
18'今天曼城开局还是非常顺利！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
19'奥塔门迪分左侧萨内！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
19'突破禁区内！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
19'底线分左侧德布劳内！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
19'继续给禁区内！萨内得球横传！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
19'斯特林禁区右侧跟进推射空门！！                   17'曼城第17分钟取得领先，德布劳内直传，沃克尔禁区右侧下底传中，巴特兰德前点拦截未果，热苏斯近距离扫射空门入网
