2'汤森再传中，阿隆索胸部回传给凯塔                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
2'对不起，是凯帕                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
2'威廉左侧得球倒三角传中                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
2'佩德罗抢前脚后跟一拔，力量不大                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
2'亨尼西将球没收                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
3'扎哈左侧接应传中，被路易斯拦截出底线                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
3'战术角球被断了，阿扎尔交给威廉                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
3'米利沃耶维奇将球铲出边线                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
4'若日尼奥近交给左侧的阿隆索                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
4'回传给路易斯                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
4'转移给右侧的阿斯皮利奎塔                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'汤姆金斯长传上来，扎哈头球顶到禁区内                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'凯帕将球控制                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'交给吕迪格                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'交给巴克利                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'分右侧的阿斯皮利奎塔                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'交给威廉                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'回传给吕迪格，再交给路易斯，分左侧的阿隆索                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'佩德罗交给巴克利                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'横传失误                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
5'库亚特断球，分右侧的范安霍尔特                   2'开场仅2分钟，威廉禁区左侧传中，佩德罗推射被亨尼西没收
32'阿斯皮利奎塔地滚球传到禁区内                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
32'佩德罗传中被萨科破坏                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
33'佩德罗禁区右侧再扫到门前，莫拉塔背对球门右脚尖将球垫起再半转身抽射球进！                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
33'这是莫拉塔连续第二场进球！                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
33'这球打得相当漂亮                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
33'巴克利控球交给吕迪格                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'交给右侧的佩德罗                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'转移左侧过不了比萨卡                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'威廉抢到第二点交给巴克利                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'不断短传                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'威廉来了，回给巴克利                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'再交给若日尼奥                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'再分左侧的威廉                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'佩德罗接应回传                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
34'路易斯交给吕迪格                   32'切尔西第32分钟打破僵局，佩德罗禁区右侧传中被汤姆金斯勉强顶出，佩德罗再送出低传，莫拉塔停球后小禁区前转身抽射入网
