8'阿森纳后场倒脚！                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
8'进球了！！！！布鲁克斯！1                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
8'进球无效                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
8'这球裁判判罚越位了！                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
9'伯恩茅斯把球送到禁区，禁区内四名进攻球员，由布鲁克斯把球打进，可惜越位在先！！                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
10'阿森纳快速进攻，托雷拉移动中一脚抽射打在了立柱上，伊沃比补射高出！                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
10'双方轻轻一撩，马上进入高潮                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
10'姆希塔良把球敲回来，托雷拉再来一脚！这球打飞机了！                   8'第8分钟，约书亚-金混战中传球，布洛克斯小禁区前劲射破门因越位在先被判无效
46'上半场将补时1分钟                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
46'阿森纳前场断球，贝莱林走外线                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
46'伊沃比禁区内欺负人，连续玩花活！！                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
47'进球了！！！约书亚-金！！                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
48'伯恩茅斯高速反击，布鲁克斯假设真扣， 给了约书亚-金，后者右路直接抽射命中！                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
46'下半场比赛开始了                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
46'伯恩茅斯左路进攻，橄榄球的踢法                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
47'伯恩茅斯左路传中，莱诺把球没收                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
48'阿森纳右路进攻失误，被威尔逊断球                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
49'伯恩茅斯左路进攻打得有声有色                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
49'莱尔马转移给了右路的弗雷泽                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
49'弗雷泽一脚抽射，直接打倒了阿森纳的一名球员                   46'阿森纳1分钟后还以颜色，姆希塔良传球，托雷拉突破至禁区弧顶射门打中左侧立柱弹回，伊沃比禁区边缘内射门高出
23'阿森纳来一脚吊射，漂亮直钻球网，被门将拖出底线                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
23'角球开出来到到禁区！奥巴梅扬推射高出横梁！、                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
24'贝莱林右路进攻！给了奥巴梅扬！奥巴梅扬头球攻门被挡出底线                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
24'角球开出来！贝莱林没有停好！                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
26'帕帕斯塔多普洛斯身后对约书亚-金又抱又拉，吃到黄牌！                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
26'这个球在禁区线上，位置非常好                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
26'怎么回事？                   23'第23分钟，奥巴梅扬角球混战中小禁区右上角半凌空抽射，皮球稍稍高出
30'进球了！！！                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
30'乌龙球！！莱尔马的乌龙球！                   30'阿森纳第30分钟打破僵局，科拉希纳茨禁区左侧传中，莱尔马15码处铲球解围不慎自摆乌龙
