1'随着裁判一声哨响，上半场比赛开始                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
1'利物浦控球                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
1'斯图里奇传给沙奇里                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
1'再给奥里吉，被破坏出边线                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
1'范迪克接球，给到戈麦斯                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
2'起大脚长传，直接被乔哈特没收                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
2'大脚开到中场，米尔纳停下皮球                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
2'给到范迪克，再横传戈麦斯                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
2'回给阿里松，伯恩利压了上来                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
3'抢断了，沙奇里上抢犯规                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
3'伯恩利前场任意球                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
4'布拉迪开到禁区门前，但是没有队友碰到                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
4'直接出了底线                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
4'球门球开出来，奥里吉带球被围抢出了边线                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
4'掷给莫雷诺，横传范迪克                   1'利物浦第1分钟控制比赛，伯恩利缓慢进入节奏后展开反击
29'黄牌动作                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
29'回到比赛，沙奇里控球推进                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
29'给到阿诺德，一脚传中被破坏出底线，角球                   29'利物浦首次射门出现在第29分钟，米尔纳开出角球，范戴克10码处头球攻门正入乔-哈特下怀
