2'萨内回传一下拉波尔特！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
2'拉波尔特给中路奥塔门迪！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
2'斜传球给右边路斯特林！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
2'斯特林回传身后的沃克！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
2'沃克分球给中场左路德尔夫！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
3'德尔夫给右边路的斯特林！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
3'斯特林带球内切！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
3'分球给禁区前沿左侧德尔夫！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
3'德尔夫外围起脚打门！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
3'皮球被挡出了左侧底线！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5'曼城的左侧角球！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5'角球开到禁区内前点！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5'被头球顶出来！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5'范安霍尔特把球回给禁区内的门将瓜伊塔！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5'瓜伊塔大脚开到中圈！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5' 奥塔门迪把球抢下来！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
5' 奥塔门迪低平球给到身前斯通斯！                   2'开场仅2分钟，斯特林传球，德尔夫左路25码处劲射被瓜伊塔扑出横梁
54'德尔夫横传给插上的奥塔门迪！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
54'奥塔门迪长传球给前场左侧萨内！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
51'再给身后的拉波尔特！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
51'拉波尔特低平球给身前的贝尔纳多！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
51'贝尔纳多再给右侧奥塔门迪！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
52'奥塔门迪斜传球给前场右侧斯特林！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
52'斯特林回敲沃克！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'沃克带球被迈尔抢断！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'迈尔给到中场左侧 扎哈！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'扎哈斜球传给右侧的比斯萨卡！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'比斯萨卡横敲给禁区内的汤森德！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'汤森德一脚打门！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'皮球击中立柱弹回来！！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'迈尔要球被沃克铲倒！在进去呢i！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
53'在禁区内沃克的犯规！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
54'裁判给了水晶宫点球！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
54'米利沃耶维奇来操刀点球！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
54'米利沃耶维奇助跑！打球门右下角！！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
54'GOOOOOOOOOOOAL！！！1-3！！！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
54'水晶宫再度拉开比分！客场3-1领先曼城！                   51'水晶宫第51分钟扩大比分，比萨卡右路传中，汤森德小禁区前头球攻门击中右侧立柱弹回，迈尔10码处拿球被沃克尔铲倒，米利沃耶维奇主罚点球命中，3-1
85'奥塔门迪分球给右路沃克！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
85'沃克长传球给前场左侧！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'这球传出了边线！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'水晶宫后场发球回给门将瓜伊塔！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'瓜伊塔大脚开球给到中场！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'贝尔纳多-席尔瓦把球拦截下来！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
86'低平球给前场左路萨内！                   85'曼城第85分钟拉近差距，贝尔纳多传球，德布劳内右路传中直接吊入远角，2-3
