1'裁判哨响！上半场开始了！                   1'利物浦第1分钟就试图压制对手
1'利物浦率先开球！                   1'利物浦第1分钟就试图压制对手
1'利物浦身穿白色球衣！                   1'利物浦第1分钟就试图压制对手
1'水晶宫身穿红蓝相间球衣！                   1'利物浦第1分钟就试图压制对手
1'阿诺德右侧突破横传！                   1'利物浦第1分钟就试图压制对手
2'球被破坏出去！扎哈左侧反击！                   1'利物浦第1分钟就试图压制对手
2'分中路失误了！                   1'利物浦第1分钟就试图压制对手
2'凯塔反击分右侧阿诺德！回传后场范迪克！                   1'利物浦第1分钟就试图压制对手
2'转移左侧罗伯逊！                   1'利物浦第1分钟就试图压制对手
2'罗伯逊回传被挡了一下！最后罗伯逊出界！                   1'利物浦第1分钟就试图压制对手
3'扎哈中路分左侧范安霍尔特！                   1'利物浦第1分钟就试图压制对手
3'直传球被挡了一下！                   1'利物浦第1分钟就试图压制对手
3'扎卡得球转移右侧比萨卡！                   1'利物浦第1分钟就试图压制对手
3'回传后场萨科！险些失误！                   1'利物浦第1分钟就试图压制对手
3'分左侧范安霍尔特！交给扎哈！                   1'利物浦第1分钟就试图压制对手
3'长传转移右侧汤森德！停球失误了！                   1'利物浦第1分钟就试图压制对手
3'利物浦长传前场右侧萨拉赫！                   1'利物浦第1分钟就试图压制对手
4'内切突破禁区！被断了！                   1'利物浦第1分钟就试图压制对手
4'水晶宫反击！利物浦战术犯规了！                   1'利物浦第1分钟就试图压制对手
4'菲尔米诺中路反击！直塞弧顶左侧！                   1'利物浦第1分钟就试图压制对手
4'亨内西出击把球没收了！                   1'利物浦第1分钟就试图压制对手
21'回传范迪克！分右侧阿诺德！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
21'利物浦中路长传禁区中路！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
22'马内争顶冲撞门将犯规！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
22'亨内西长传前场！争顶后米利沃杰维奇横传失误！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
22'罗伯逊左侧推进！回传给菲尔米诺！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
22'停球失误了！本特克反击直塞禁区！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
23'阿利森抢断短传凯塔！转身推进长传禁区中路！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
23'萨拉赫停球单刀了！选择挑射！！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
23'球打高了啊！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
24'萨拉赫中场得球！短传给凯塔！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
24'凯塔中路连续突破失误了！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
24'米利沃杰维奇分左侧麦克阿瑟！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
24'回传萨科！交给亨内西！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
24'亨内西长传中场！争顶后阿诺德回传阿利森！                   21'第21分钟，马内进球因冲撞门将犯规在先被判无效
25'分左侧范迪克！给左侧凯塔！回传失误了！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
25'汤森德中路得球直接左脚爆射！！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
25'碰！！打中横梁弹出！！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
25'阿诺德清理出底线！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
25'水晶宫右侧角球给小禁区！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
25'球被阿利森摘下！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
26'菲尔米诺左侧内切！挑传禁区中路！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
26'球被解围出去！阿诺德右侧得球！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
