3'阿圭罗禁区右侧一领，，，小角度，，搓射，，打在边网                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'哈德斯门球大脚开起来                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'中圈位置，，，拼抢，，丁丁得球                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'分右侧插上的沃克                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'横传给费尔南迪尼奥，，再分丁丁                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'左侧给到达尼洛，，，短传身前                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'底线附近，萨内跟上得球                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
5'横传， ，被史密斯挡出                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'界外球，，前场左侧曼城给出来                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'身前拼抢，，，出界了                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'曼城界外球，给到达尼洛，，回敲拉波尔特                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'再分中路沃克，，再分左侧萨内                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'萨内斜传，，身前被对方碰了一下， 出界                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'左侧界外球，给身前达尼洛                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
6'转中圈右侧沃克                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
13'前场禁区左侧京多安得球，跟进，，没有停球                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
13'没停住，出了底线                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
13'哈德斯门球开起来                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
13'中圈位置的拼抢，，，裁判哨响                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
13'哈德斯球员拼抢犯规                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
13'曼城后场定位球，，分中圈右侧                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'丁丁拿球，斜传                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'直塞到禁区右侧，斯特林                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'孔戈洛跟防，，斯特林摔倒在禁区                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'曼城要点球，裁判没反应                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'后场哈德斯开球，，，中圈位置拼抢                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'曼城把球得到，场内哈德斯球员倒地了                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
14'曼城友好的把球踢出边线                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
15'比赛继续，，，曼城拿球                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
15'左侧给到达尼洛，，回敲拉波尔特                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
15'横传，，奥塔门迪拿球，，斜长传                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
15'到了前场左侧，京多安把球拿到                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
