3'伊瓜因分左路，巴克利转移                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
3'威廉横敲禁区前                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
3'巴克利迎球怒射，稍稍打偏                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
4'路易斯拿球过半场，分左路大了                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
4'迪亚卡比中场拿球转身，被破坏出界                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
4'左路长传，阿兹皮利奎塔解围                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
6'阿扎尔回撤拿球                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
6'克里斯滕森上抢破坏                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
6'哈镇转移左路反击                   3'开场仅3分钟，威廉传球，巴克利25码处射门稍稍偏出左侧立柱
16'路易斯长传禁区前被顶出                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
16'切尔西进球了！！！                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
16'伊瓜因！！！                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
17'坎特肋部直塞进禁区，伊瓜因前点转身抽射破门                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
17'切尔西1-0领先哈镇                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
18'切尔西前场断球                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
18'威廉右路底线前倒三角去后点                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
18'巴克利空位插上，弹射打偏                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
19'巴克利中场被断                    16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
19'巴丘纳右路往前输送，出边线                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
19'阿扎尔左路下底，带出来                   16'切尔西第16分钟取得领先，坎特直传，伊瓜因小禁区右上角顺势射入上角
66'切尔西进球了！！！                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
66'阿扎尔                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
66'梅开二度                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
67'阿扎尔禁区内接应直塞，小角度晃开门将，推射远角破门                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
67'切尔西3-0领先哈镇                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
67'哈镇换人，格兰特换下比林                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
68'勒韦左路送禁区前，格兰特趟球进禁区                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
68'路易斯跟防解围，角球                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
68'角球去后点，穆尼耶头球被门将扑住                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
69'若日尼奥中场拿球回敲                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
69'伊瓜因带球到禁区前，分左路                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
69'切尔西又进球了！！                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
69'伊瓜因                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
69'也是梅开二度                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
69'伊瓜因禁区前和坎特踢墙配合，迎球远射入死角                   66'第66分钟，巴克利反击中直传，阿扎尔趟过罗斯尔后禁区左侧小角度破门，3-0
76'巴克利禁区左侧突破倒地了                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
76'裁判没有表示                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
76'威廉左路突破进禁区，角球                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
77'切尔西换人，奥多伊换下阿扎尔                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
77'角球到门前直接被门将没收                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
79'卡春加左路拿球回敲                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
79'巴丘纳直塞出了底线                   76'第76分钟，巴克利转身拉球穿裆过人在穆尼耶防守下摔倒，裁判拒绝判罚点球，引来主队球迷不满
