1'上半场比赛开始！！！                   1'阿森纳第1分钟控制比赛
1'阿森纳开球，从左向右进攻！！                   1'阿森纳第1分钟控制比赛
1'拉姆塞中路拿球，分球右侧找贝莱林                   1'阿森纳第1分钟控制比赛
1'被西汉姆球员解围出边线                   1'阿森纳第1分钟控制比赛
2'穆斯塔菲后场拿球，横传扎卡                   1'阿森纳第1分钟控制比赛
2'再给左侧的蒙雷亚尔                   1'阿森纳第1分钟控制比赛
2'蒙雷亚尔左路强突，面对夹击                   1'阿森纳第1分钟控制比赛
2'转身回传给到后场的帕帕                   1'阿森纳第1分钟控制比赛
2'帕帕再找贡多齐，失误了                   1'阿森纳第1分钟控制比赛
2'扎卡中场反抢，被吹犯规！                   1'阿森纳第1分钟控制比赛
3'贡多齐中场拿球，面对三人围抢                   1'阿森纳第1分钟控制比赛
3'回带到中圈，再回传穆斯塔菲                   1'阿森纳第1分钟控制比赛
3'直塞给到姆希塔扬，再横传贡多齐                   1'阿森纳第1分钟控制比赛
3'贡多齐背身拿球，桑切斯的上抢犯规                   1'阿森纳第1分钟控制比赛
4'扎卡后场拿球，直塞给到伊沃比                   1'阿森纳第1分钟控制比赛
4'伊沃比背身拿球，转身再突                   1'阿森纳第1分钟控制比赛
4'球被贴身防守的安德森出脚捅走                   1'阿森纳第1分钟控制比赛
25'法比安斯基出击，稳稳将球揽入怀中！                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
25'西汉姆联的前场进攻                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
25'进球了，1-0！！                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
26'阿诺托维奇！！                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
26'安德森中场拿球，直奔禁区，弧顶分球阿诺托维奇，两人踢墙配合，阿诺托维奇接到回传，调整一下，禁区弧顶起脚低射，打进球门左下角！                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
27'马苏亚库左路拿球，直塞球被贝莱林挡出边线！                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
27'客场作战的西汉姆联率先进球，这下比赛好看了                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
28'安德森前场左路拿球强突，补防的穆斯塔菲将球破坏出边线                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
28'西汉姆联界外球大力掷到禁区找阿诺托维奇                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
28'阿诺托维奇侧身准备凌空打门，被穆斯塔菲抢先解围                   25'西汉姆第25分钟取得领先，阿瑙托维奇同安德森连续踢墙配合后撕开枪手4人防守，奥地利射手禁区弧顶劲射左下角入网
70'姆希塔扬前场右路拿球，强突下底                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
70'低平球横传门前，被防守球员解围                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
70'阿森纳前场再攻                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
70'球进了，2-1！！！                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
71'迪奥普的乌龙大礼！！！！！                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
72'阿森纳右侧角球开出，西汉姆的解围球见高不见远，拉姆塞头球再顶，拉卡泽特背身拿球，转身横扫门前，打在了回防的迪奥普身上弹进网窝！                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
72'阿森纳前场再攻，贝莱林右路直塞                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
72'姆希塔扬拿球强突，横传球到禁区                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
72'混战中，球被防守球员解围                   70'阿森纳第70分钟反超比分，拉姆塞头球摆渡，拉卡泽特胸部停球后小禁区左上角凌空扫射，皮球打在迪奥普腿上反弹入自家大门，2-1
