2'西汉姆联球员斯诺德格拉斯大禁区中央右脚射门,被防守球员封堵.给他传球的是F-安德森.
2'西汉姆联球员莱斯大禁区外尝试右脚射门,可惜皮球高出球门.
2'西汉姆联球员Michail Antonio拼抢犯规,对手获得控球权.
2'罗斯为热刺在左路,赢得一个任意球.
4'热刺球员Dele Alli一脚直塞球给小卢卡斯,但是边裁举旗显示后者已经越位.
5'热刺球员Son Heung-Min大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是Dele Alli.
8'西汉姆联球员莱斯拼抢犯规,对手获得控球权.
8'小卢卡斯为热刺在对方半场,赢得一个任意球.
11'射门!!!热刺球员Son Heung-Min大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是Dele Alli.
13'热刺球员Dele Alli大禁区左侧右脚射门,被防守球员封堵.给他传球的是埃里克森.
13'热刺球员福伊特一脚直塞球给埃里克森,但是边裁举旗显示后者已经越位.
14'西汉姆联球员F-安德森一脚直塞球给Michail Antonio,但是边裁举旗显示后者已经越位.
18'西汉姆联球员弗雷德里克斯右侧很远处尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是诺布尔.
18'洛里斯将球处理出底线,西汉姆联获得角球.
18'西汉姆联球员Michail Antonio小禁区右侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是斯诺德格拉斯.
19'射门!!!西汉姆联球员F-安德森大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是斯诺德格拉斯.
21'西汉姆联球员法比安斯基一脚直塞球给阿瑙托维奇,但是边裁举旗显示后者已经越位.
22'热刺球员罗斯一脚直塞球给Son Heung-Min,但是边裁举旗显示后者已经越位.
23'西汉姆联球员Michail Antonio大禁区外尝试左脚射门,可惜皮球偏出球门.
24'热刺球员Son Heung-Min大禁区外右脚射门,被防守球员封堵.给他传球的是小卢卡斯.
24'马苏库将球处理出底线,热刺获得角球.
25'热刺球员小卢卡斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是D-桑切斯.
26'西汉姆联球员斯诺德格拉斯拼抢犯规,对手获得控球权.
26'小卢卡斯为热刺在对方半场,赢得一个任意球.
26'黄牌！西汉姆联球员斯诺德格拉斯因为恶意犯规,被主裁判出示黄牌.
36'射门!!!热刺球员埃里克森小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是Son Heung-Min.
38'射门!!!热刺球员Son Heung-Min球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是福伊特.
42'西汉姆联球员Michail Antonio拼抢犯规,对手获得控球权.
42'本-戴维斯为热刺赢得一个任意球.
44'热刺球员福伊特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.
45'射门!!!西汉姆联球员F-安德森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是马苏库.
45'+1'上半场结束,热刺 0-0 西汉姆联,稍事休息,我们一会来看看下半场两队的表现.
46'西汉姆联球员诺布尔一脚直塞球给弗雷德里克斯,但是边裁举旗显示后者已经越位.
47'西汉姆联球员弗雷德里克斯大禁区中央右脚射门,被防守球员封堵.给他传球的是阿瑙托维奇.
47'阿尔德韦雷尔德将球处理出底线,西汉姆联获得角球.
48'西汉姆联球员阿瑙托维奇大禁区外左脚射门,被防守球员封堵.给他传球的是斯诺德格拉斯.
48'阿尔德韦雷尔德将球处理出底线,西汉姆联获得角球.
49'诺布尔为西汉姆联在左路,赢得一个任意球.
49'热刺球员埃里克森拼抢犯规,对手获得控球权.
50'射门!!!西汉姆联球员阿瑙托维奇大禁区外左脚射门,被对方守门员横身扑出.给他传球的是法比安斯基.
52'F-安德森为西汉姆联在左路,赢得一个任意球.
52'热刺球员D-桑切斯拼抢犯规,对手获得控球权.
53'西汉姆联球员迪奥普拼抢犯规,对手获得控球权.
53'本-戴维斯为热刺赢得一个任意球.
53'西汉姆联球员F-安德森拼抢犯规,对手获得控球权.
53'小卢卡斯为热刺赢得一个任意球.
59'西汉姆联球员巴尔布埃纳拼抢犯规,对手获得控球权.
59'罗斯为热刺在对方半场,赢得一个任意球.
60'热刺球员埃里克森大禁区外右脚射门,被防守球员封堵.
60'西汉姆联球员F-安德森大禁区中央右脚射门,被防守球员封堵.
60'小卢卡斯将球处理出底线,西汉姆联获得角球.
62'热刺球员Son Heung-Min大禁区右侧左脚射门,被防守球员封堵.给他传球的是Dele Alli.
65'诺布尔为西汉姆联在右路,赢得一个任意球.
65'热刺球员埃里克-迪尔拼抢犯规,对手获得控球权.
66'热刺换人,洛伦特换下小卢卡斯
67'进球啦！！！西汉姆联球员Michail Antonio小禁区右侧右脚射门,球从左上角飞进球门,球进了!助攻的是阿瑙托维奇. 热刺 0-1 西汉姆联.
71'热刺球员埃里克森一脚直塞球给洛伦特,但是边裁举旗显示后者已经越位.
74'热刺球员本-戴维斯大禁区中央右脚射门,被防守球员封堵.给他传球的是Dele Alli.
75'热刺球员福伊特一脚直塞球给洛伦特,但是边裁举旗显示后者已经越位.
77'热刺换人,文森特-扬森换下罗斯
77'西汉姆联换人,Pedro Obiang换下斯诺德格拉斯
77'弗雷德里克斯将球处理出底线,热刺获得角球.
79'射门!!!西汉姆联球员阿瑙托维奇大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是诺布尔.
80'西汉姆联球员Pedro Obiang拼抢犯规,对手获得控球权.
80'Dele Alli为热刺在对方半场,赢得一个任意球.
80'西汉姆联换人,Lucas Pérez换下阿瑙托维奇
81'射门!!!西汉姆联球员Michail Antonio大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是马苏库.
81'洛里斯将球处理出底线,西汉姆联获得角球.
82'D-桑切斯将球处理出底线,西汉姆联获得角球.
83'西汉姆联球员莱斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Lucas Pérez.
85'热刺换人,万尼亚马换下Dele Alli
