1'比赛开始了                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
1'曼城开球                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
1'曼城身穿传统的天蓝色球衣，伯恩利身穿深色战袍                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
1'开赛30秒！！！孔帕尼犯规了！！                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
2'拉波尔特横传球不准确，导致孔帕尼上抢的时候放倒了列侬！                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
2'孔帕尼吃到黄牌                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
3'任意球开出到禁区内，沃克斯挣到第一点，高出横梁！！                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
3'埃德森长传找到了马赫雷斯，再传中路，被挡出底线！角球                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
4'低平球到禁区，没有威胁                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
4'漂亮！！！马赫雷斯传球到中路，阿奎罗反越位，头球攻门偏出右侧立柱！！可惜                   1'孔帕尼开场不到1分钟对列农犯规被罚黄牌
17'进了！！！阿奎罗！！！                   17'曼城第17分钟取得领先，萨内切入禁区左侧传球，席尔瓦传中，阿圭罗8码处扫射入网
17'曼城的传球行云流水！！                   17'曼城第17分钟取得领先，萨内切入禁区左侧传球，席尔瓦传中，阿圭罗8码处扫射入网
18'大卫-席尔瓦与萨内练习二过二后，传给了右路的阿奎罗，后者轻松推射进球！！                   17'曼城第17分钟取得领先，萨内切入禁区左侧传球，席尔瓦传中，阿圭罗8码处扫射入网
18'阿奎罗联赛的第六个进球！                   17'曼城第17分钟取得领先，萨内切入禁区左侧传球，席尔瓦传中，阿圭罗8码处扫射入网
19'进球后的曼城继续全线压上！贝尔纳多-席尔瓦把球碰出边线                   17'曼城第17分钟取得领先，萨内切入禁区左侧传球，席尔瓦传中，阿圭罗8码处扫射入网
48'席尔瓦！！大卫-席尔瓦！！禁区头球攻门，乔哈特把球倒地扑出！阿奎罗零角度补射也偏了！！！                   48'曼城3分钟连入2球扩大比分，第54分钟，萨内禁区左侧在杰克-科克防守下摔倒，裁判未予判罚，伯恩利球员举手示意，席尔瓦在皮球未出底线前传回门前，贝尔纳多12码处扫射左上角入网，2-0
48'大卫-席尔瓦！！一脚核武器级的射门，打在了对方后卫的头上，后卫瞬间倒地！                   48'曼城3分钟连入2球扩大比分，第54分钟，萨内禁区左侧在杰克-科克防守下摔倒，裁判未予判罚，伯恩利球员举手示意，席尔瓦在皮球未出底线前传回门前，贝尔纳多12码处扫射左上角入网，2-0
48'中枪倒地的是右后卫的洛顿！！                   48'曼城3分钟连入2球扩大比分，第54分钟，萨内禁区左侧在杰克-科克防守下摔倒，裁判未予判罚，伯恩利球员举手示意，席尔瓦在皮球未出底线前传回门前，贝尔纳多12码处扫射左上角入网，2-0
49'大卫-席尔瓦挡住这个球后，自己倒退倒在了地上！                   48'曼城3分钟连入2球扩大比分，第54分钟，萨内禁区左侧在杰克-科克防守下摔倒，裁判未予判罚，伯恩利球员举手示意，席尔瓦在皮球未出底线前传回门前，贝尔纳多12码处扫射左上角入网，2-0
49'队医进场，担架进场，可能出现脑震荡！！                   48'曼城3分钟连入2球扩大比分，第54分钟，萨内禁区左侧在杰克-科克防守下摔倒，裁判未予判罚，伯恩利球员举手示意，席尔瓦在皮球未出底线前传回门前，贝尔纳多12码处扫射左上角入网，2-0
51'洛顿走到了场边，又回来了！没什么大问题                   48'曼城3分钟连入2球扩大比分，第54分钟，萨内禁区左侧在杰克-科克防守下摔倒，裁判未予判罚，伯恩利球员举手示意，席尔瓦在皮球未出底线前传回门前，贝尔纳多12码处扫射左上角入网，2-0
65'曼城反击，找到了阿奎罗，后者大门想找裆下，被乔哈特关门扑出！！角球                   65'第65分钟，席尔瓦直传，阿圭罗小禁区右上角外射门被乔-哈特扑出底线，随后他被热苏斯换下
65'曼城换人，热苏斯换下了阿奎罗                   65'第65分钟，席尔瓦直传，阿圭罗小禁区右上角外射门被乔-哈特扑出底线，随后他被热苏斯换下
68'伯恩利赢得了左侧的角球机会，伯恩利第一个角球机会                   65'第65分钟，席尔瓦直传，阿圭罗小禁区右上角外射门被乔-哈特扑出底线，随后他被热苏斯换下
68'古德蒙森主罚，沃克斯挣到了第一点，高了！！这是伯恩利下半场的第一次攻门！！                   65'第65分钟，席尔瓦直传，阿圭罗小禁区右上角外射门被乔-哈特扑出底线，随后他被热苏斯换下
83'进球了！！！                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
83'进球的是马赫雷斯！！                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
84'马赫雷斯禁区正面！转身一脚抽射，划出一道美丽的彩虹！命中！！                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
85'曼城又将收获一场大胜，双方都用完了所有的换人名额                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
86'曼城队将在本轮结束之后，位列积分榜的第一位！                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
86'马赫雷斯传球到禁区内的富登，转身抽射，被门将挡出底线！                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
86'右侧角球开出来，没有形成机会                   83'第83分钟，费尔南迪尼奥传球，马赫雷斯20码处弧线球射入左上角，4-0
