5'尤文主场3比0战胜切尔西后也是和16强只差一步之遥                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
5'德西里奥右路助攻上来内切晃过皮尔洛后大禁区外一脚斜射，稍稍偏出远门柱                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
5'这脚打门很有威胁                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
6'皮尔洛直传武齐尼奇                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
7'和比达尔做配合，来到了右路没有机会                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
7'中场沙拉维上抢的时候蹬踏犯规了                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
7'尤文前场右路任意球                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
7'皮尔洛开到门前米兰后卫头球解围                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
8'外围比达尔强行起脚打门直接上了看台                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
8'米兰后场传球，回给了门将阿梅利亚                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
12'禁区里双方队友拉拽比较多                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
12'主裁判警告了耶佩斯和博努齐                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
12'蒙托利沃开出角球，博阿滕抢到了落点可惜头球顶偏                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
13'博阿滕今年换了10号之后，好像就丢失了上赛季的灵气，至今还没有进球                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
13'伊斯拉右路接到队友的长传，停球稍稍一大，康斯坦特上前解围                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
14'博努齐中路带球助攻上来分给左路阿萨莫阿                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
14'45度斜传禁区被德容解围出来                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
15'外围还是尤文控制，比达尔打门被身前的防守队员挡出                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
15'米兰顺势发动反击                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
15'博阿滕禁区里接到队友的分球小角度打门被布冯倒地用腿挡出                   12'第12分钟，蒙托利沃右侧开出角球，博阿滕前点距门10米处头球偏出近门柱
17'武齐尼奇停球时没处理好                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
18'卡塞雷斯后场大脚解围后被上抢的诺切里诺直接揣倒                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
18'诺切里诺拿到黄牌                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
18'伊斯拉右路拿球想扣过康斯坦特时直接被断了                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
