4'尤文图斯球员武齐尼奇大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是贾凯里尼.                   4'开场4分钟，贾凯里尼右路传中，武齐尼奇力压奥邦纳头球偏出右门柱
4'尤文图斯球员乔文科拼抢犯规,对手获得控球权.                   4'开场4分钟，贾凯里尼右路传中，武齐尼奇力压奥邦纳头球偏出右门柱
4'达尔米安为都灵赢得一个任意球.                   4'开场4分钟，贾凯里尼右路传中，武齐尼奇力压奥邦纳头球偏出右门柱
7'皮尔洛将球处理出底线,都灵获得角球.                   4'开场4分钟，贾凯里尼右路传中，武齐尼奇力压奥邦纳头球偏出右门柱
19'尤文图斯球员博切列拼抢犯规,对手获得控球权.                   19'第19分钟，德切列踢倒丹布罗西奥，被黄牌警告
19'切尔奇为都灵赢得一个任意球.                   19'第19分钟，德切列踢倒丹布罗西奥，被黄牌警告
19'黄牌！尤文图斯球员博切列因为恶意犯规,被主裁判出示黄牌.                   19'第19分钟，德切列踢倒丹布罗西奥，被黄牌警告
21'马尔基西奥为尤文图斯赢得一个任意球.                   19'第19分钟，德切列踢倒丹布罗西奥，被黄牌警告
21'都灵球员巴沙拼抢犯规,对手获得控球权.                   19'第19分钟，德切列踢倒丹布罗西奥，被黄牌警告
21'黄牌！都灵球员巴沙因为恶意犯规,被主裁判出示黄牌.                   19'第19分钟，德切列踢倒丹布罗西奥，被黄牌警告
23'都灵球员梅吉奥里尼大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
24'皮尔洛为尤文图斯在对方半场,赢得一个任意球.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
24'都灵球员梅吉奥里尼拼抢犯规,对手获得控球权.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
25'尤文图斯球员武齐尼奇大禁区右侧右脚射门,被防守球员封堵.给他传球的是皮尔洛.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
25'巴沙将球处理出底线,尤文图斯获得角球.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
26'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
26'奥邦纳为都灵赢得一个任意球.                   23'第23分钟，梅焦里尼禁区左侧摆脱防守，在门前7米处左脚外脚背小角度弹射偏出远门柱
26'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
26'奥邦纳为都灵赢得一个任意球.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
27'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
27'梅吉奥里尼为都灵在对方半场,赢得一个任意球.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
27'都灵球员吉列一脚直塞球给切尔奇,但是边裁举旗显示后者已经越位.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
28'乔文科为尤文图斯在左路,赢得一个任意球.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
28'都灵球员切尔奇拼抢犯规,对手获得控球权.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
29'尤文图斯球员巴尔扎利大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   26'第26分钟，德切列左路传中，吉莱出击倒地扑救与队友奥邦纳相撞脱手，博格巴获得打空门机会，但主裁判罗基吹他犯规
31'射门!!!尤文图斯球员博格巴大禁区外右脚射门,被对方守门员横身扑出.给他传球的是武齐尼奇.                   31'第31分钟，武齐尼奇背身横敲，博格巴右侧距门25米处凌空抽射造成吉莱脱手，但格利克抢先破环出底线
31'格里克将球处理出底线,尤文图斯获得角球.                   31'第31分钟，武齐尼奇背身横敲，博格巴右侧距门25米处凌空抽射造成吉莱脱手，但格利克抢先破环出底线
32'尤文图斯球员皮尔洛大禁区外右脚射门,被防守球员封堵.给他传球的是博格巴.                   31'第31分钟，武齐尼奇背身横敲，博格巴右侧距门25米处凌空抽射造成吉莱脱手，但格利克抢先破环出底线
34'射门!!!尤文图斯球员博格巴大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博切列.                   31'第31分钟，武齐尼奇背身横敲，博格巴右侧距门25米处凌空抽射造成吉莱脱手，但格利克抢先破环出底线
34'吉列将球处理出底线,尤文图斯获得角球.                   31'第31分钟，武齐尼奇背身横敲，博格巴右侧距门25米处凌空抽射造成吉莱脱手，但格利克抢先破环出底线
36'都灵球员格里克因为恶意犯规,被裁判直接红牌罚下.                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
36'尤文图斯贾凯里尼受伤倒地,比赛暂停                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
36'暂停结束,球员们重新开始比赛.                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
38'桑塔纳为都灵赢得一个任意球.                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
38'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
39'都灵球员德安布罗西奥拼抢犯规,对手获得控球权.                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
39'利西斯泰纳为尤文图斯赢得一个任意球.                   36'第36分钟突现变故，格利克脚离地凶狠铲倒贾凯里尼，主裁判罗基毫不犹豫亮出红牌
41'都灵球员巴沙手球,致使对方获得点球.                   41'第41分钟，武齐尼奇禁区内护球，博格巴拿球横趟突破夹防，巴沙倒地用手挡球被判极刑，不过罗基网开一面，没有向巴沙亮牌，否则巴沙将累计2张黄牌下场
41'点球！尤文图斯球员皮尔洛右脚射门,可惜皮球稍稍高出球门.                   41'第41分钟，武齐尼奇禁区内护球，博格巴拿球横趟突破夹防，巴沙倒地用手挡球被判极刑，不过罗基网开一面，没有向巴沙亮牌，否则巴沙将累计2张黄牌下场
42'尤文图斯球员武齐尼奇大禁区中央右脚射门,被防守球员封堵.给他传球的是博切列.                   41'第41分钟，武齐尼奇禁区内护球，博格巴拿球横趟突破夹防，巴沙倒地用手挡球被判极刑，不过罗基网开一面，没有向巴沙亮牌，否则巴沙将累计2张黄牌下场
43'比安奇为都灵赢得一个任意球.                   41'第41分钟，武齐尼奇禁区内护球，博格巴拿球横趟突破夹防，巴沙倒地用手挡球被判极刑，不过罗基网开一面，没有向巴沙亮牌，否则巴沙将累计2张黄牌下场
