9'国际米兰球员佩雷拉拼抢犯规,对手获得控球权.                   9'开场9分钟，阿尔瓦罗-佩雷拉放倒巴斯塔，詹诺卡罗亮出首张黄牌
9'巴斯塔为乌迪内斯在右路,赢得一个任意球.                   9'开场9分钟，阿尔瓦罗-佩雷拉放倒巴斯塔，詹诺卡罗亮出首张黄牌
9'国际米兰球员佩雷拉被主裁判出示了一张黄牌.                   9'开场9分钟，阿尔瓦罗-佩雷拉放倒巴斯塔，詹诺卡罗亮出首张黄牌
10'瓜林为国际米兰赢得一个任意球.                   9'开场9分钟，阿尔瓦罗-佩雷拉放倒巴斯塔，詹诺卡罗亮出首张黄牌
10'乌迪内斯球员阿兰拼抢犯规,对手获得控球权.                   9'开场9分钟，阿尔瓦罗-佩雷拉放倒巴斯塔，詹诺卡罗亮出首张黄牌
11'乌迪内斯球员迪纳塔莱手球犯规,对手获得球权.                   9'开场9分钟，阿尔瓦罗-佩雷拉放倒巴斯塔，詹诺卡罗亮出首张黄牌
24'乌迪内斯球员佩雷拉拼抢犯规,对手获得控球权.                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
24'加尔加诺为国际米兰在对方半场,赢得一个任意球.                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
24'国际米兰球员帕拉西奥在禁区内摔倒了,但裁判判他假摔！                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
24'国际米兰球员帕拉西奥被主裁判出示了一张黄牌.                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
25'国际米兰球员萨穆埃尔拼抢犯规,对手获得控球权.                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
25'L-穆里尔为乌迪内斯在对方半场,赢得一个任意球.                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
27'乌迪内斯球员迪纳塔莱大禁区外右脚射门,命中门柱横梁.                   24'第24分钟，卡萨诺转身摆脱后精准直塞，帕拉西奥单刀突入禁区，在身后多米齐防守下倒地，詹诺卡罗黄牌警告其假摔
32'乌迪内斯球员达尼洛拼抢犯规,对手获得控球权.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
32'瓜林为国际米兰在对方半场,赢得一个任意球.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
32'黄牌！乌迪内斯球员达尼洛因为恶意犯规,被主裁判出示黄牌.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
33'国际米兰球员瓜林大禁区外右脚射门,被防守球员封堵.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
34'多米齐为乌迪内斯赢得一个任意球.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
34'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
34'加尔加诺将球处理出底线,乌迪内斯获得角球.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
35'乌迪内斯球员拉扎里大禁区外左脚射门,被防守球员封堵.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
35'暂停结束,球员们重新开始比赛.                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
35'乌迪内斯多米齐受伤倒地,比赛暂停                   32'第32分钟，瓜林扣过达尼洛被绊倒，达尼洛吃到黄牌，瓜林在门前23米处主罚任意球轰在人墙上
48'乌迪内斯球员阿兰手球犯规,对手获得球权.                   46'1分钟后，小胡安放倒穆列尔，被黄牌警告，迪纳塔莱在门前27米处主罚任意球高出
49'黄牌！乌迪内斯球员阿兰因为故意手球,被主裁判出示黄牌.                   46'1分钟后，小胡安放倒穆列尔，被黄牌警告，迪纳塔莱在门前27米处主罚任意球高出
48'乌迪内斯球员阿兰手球犯规,对手获得球权.                   48'下半时开始3分钟，阿兰手球吃到黄牌
49'黄牌！乌迪内斯球员阿兰因为故意手球,被主裁判出示黄牌.                   48'下半时开始3分钟，阿兰手球吃到黄牌
50'国际米兰球员若纳坦大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是帕拉西奥.                   48'下半时开始3分钟，阿兰手球吃到黄牌
56'射门!!!国际米兰球员瓜林大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   55'第55分钟，左路斜传，在门前11米处抽射被封堵
57'射门!!!国际米兰球员帕拉西奥大禁区右侧右脚射门,被对方守门员横身扑出.                   55'第55分钟，左路斜传，在门前11米处抽射被封堵
57'达尼洛将球处理出底线,国际米兰获得角球.                   55'第55分钟，左路斜传，在门前11米处抽射被封堵
58'国际米兰球员坎比亚索大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是加尔加诺.                   55'第55分钟，左路斜传，在门前11米处抽射被封堵
63'国际米兰球员帕拉西奥大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是瓜林.                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
64'进球啦！！！乌迪内斯球员迪纳塔莱大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是拉扎里. 乌迪内斯 1-0 国际米兰.                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
65'L-穆里尔为乌迪内斯在对方半场,赢得一个任意球.                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
65'国际米兰球员胡安拼抢犯规,对手获得控球权.                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
65'国际米兰球员胡安因为恶意犯规,被裁判出示了第二张黄牌.                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
66'乌迪内斯L-穆里尔受伤倒地,比赛暂停                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
66'暂停结束,球员们重新开始比赛.                   63'第63分钟，瓜林中场突进横传，帕拉西奥点球点铲射偏出右门柱
65'L-穆里尔为乌迪内斯在对方半场,赢得一个任意球.                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
65'国际米兰球员胡安拼抢犯规,对手获得控球权.                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
65'国际米兰球员胡安因为恶意犯规,被裁判出示了第二张黄牌.                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
66'乌迪内斯L-穆里尔受伤倒地,比赛暂停                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
66'暂停结束,球员们重新开始比赛.                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
68'射门!!!乌迪内斯球员迪纳塔莱大禁区外右脚射门,被对方守门员横身扑出.                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
68'国际米兰球员佩雷拉一脚直塞球给卡萨诺,但是边裁举旗显示后者已经越位.                   65'国米第65分钟再遭重创，小胡安背后踩踏穆列尔脚踝，吃到第2张黄牌被罚下
73'国际米兰球员瓜林尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是坎比亚索.                   73'第73分钟，乌迪内斯快速反击，迪纳塔莱禁区右侧与阿尔瓦罗-佩雷拉接触倒地，詹诺卡罗不予理会
73'佩雷拉将球处理出底线,乌迪内斯获得角球.                   73'第73分钟，乌迪内斯快速反击，迪纳塔莱禁区右侧与阿尔瓦罗-佩雷拉接触倒地，詹诺卡罗不予理会
74'国际米兰换人,邓肯换下加尔加诺                   73'第73分钟，乌迪内斯快速反击，迪纳塔莱禁区右侧与阿尔瓦罗-佩雷拉接触倒地，詹诺卡罗不予理会
74'乌迪内斯球员拉扎里大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是迪纳塔莱.                   73'第73分钟，乌迪内斯快速反击，迪纳塔莱禁区右侧与阿尔瓦罗-佩雷拉接触倒地，詹诺卡罗不予理会
75'进球啦！！！乌迪内斯球员L-穆里尔大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是巴斯塔. 乌迪内斯 2-0 国际米兰.                   73'第73分钟，乌迪内斯快速反击，迪纳塔莱禁区右侧与阿尔瓦罗-佩雷拉接触倒地，詹诺卡罗不予理会
75'进球啦！！！乌迪内斯球员L-穆里尔大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是巴斯塔. 乌迪内斯 2-0 国际米兰.                   75'第75分钟，巴斯塔直塞禁区右侧，穆列尔在门前11米处小角度抽射入远角，2比0
78'国际米兰换人,罗基换下若纳坦                   75'第75分钟，巴斯塔直塞禁区右侧，穆列尔在门前11米处小角度抽射入远角，2比0
