6'埃斯蒂加里维亚为桑普多利亚赢得一个任意球.                   5'开场5分钟，德切列左路低传，乔文科前点险些捅到，门将罗梅罗将球没收
6'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   5'开场5分钟，德切列左路低传，乔文科前点险些捅到，门将罗梅罗将球没收
11'尤文图斯球员乔文科大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是帕多因.                   11'第11分钟，帕多因右路摆脱波利，切入禁区低传中路，乔文科在门前11米处推射高出横梁
18'安德烈-科斯塔为桑普多利亚赢得一个任意球.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
18'尤文图斯球员乔文科拼抢犯规,对手获得控球权.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
18'射门!!!桑普多利亚球员波利大禁区外左脚射门,被对方守门员横身扑出.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
19'加斯塔尔德罗为桑普多利亚赢得一个任意球.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
19'尤文图斯球员马特里拼抢犯规,对手获得控球权.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
20'桑普多利亚球员奥比昂大禁区外右脚射门,被防守球员封堵.给他传球的是波利.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
21'尤文图斯球员博格巴大禁区外右脚射门,被防守球员封堵.给他传球的是马特里.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
21'射门!!!尤文图斯球员乔文科大禁区中央右脚射门,被对方守门员横身扑出.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
21'射门!!!尤文图斯球员博切列大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   18'第18分钟，左侧禁区边缘左脚推射被布冯没收
46'安德烈-科斯塔将球处理出底线,尤文图斯获得角球.                   46'1分钟后，马尔基西奥中路突入禁区被贝拉尔迪铲倒，点球
29'贝拉尔迪将球处理出底线,尤文图斯获得角球.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
29'尤文图斯球员博努奇球门线跟前右脚射门,被防守球员封堵.给他传球的是皮尔洛.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
29'射门!!!尤文图斯球员马特里球门线跟前左脚射门,被对方守门员横身扑出.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
30'佩鲁索将球处理出底线,桑普多利亚获得角球.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
31'博努奇将球处理出底线,桑普多利亚获得角球.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
31'桑普多利亚球员贝拉尔迪拼抢犯规,对手获得控球权.                   29'第29分钟，乔文科右路传中，贝拉尔迪解围险些自摆乌龙，球堪堪高出横梁，皮尔洛左侧开出角球，马特里倚住后卫左脚捅射眼看就要过线，但被罗梅罗抱在怀中，底线裁判认定球没进
