1'上半场比赛开始！                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
1'首先开球的是那不勒斯队                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
1'上半场比赛米兰是从右往左进攻                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
1'那不勒斯中场直塞没有过去                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
2'梅克斯中场拿球给到边路                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
2'阿巴特右路传球送到禁区前沿                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
2'帕齐尼没有拿好                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
2'博阿滕禁区前沿想塞空隙，可惜没有过去                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
3'康斯坦特拿球给到左路                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
3'罗比尼奥停球出现了失误                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
3'泽马伊利右路起球，球被米兰挡出底线                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
4'那不勒斯角球给到后点，博阿滕头球顶了出来                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
4'卡瓦尼中场拿球将球转移                   1'开球前为克劳迪奥-里皮默哀1分钟，米兰内洛的采访区将用他的名字命名
5'潘德夫禁区外围远射，球是打在防守球员身上飞向球门                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
5'阿比亚蒂注意力很集中将球拿到                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
5'博阿滕禁区外围推射，球打在防守球员身上后边线                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
6'德桑克蒂斯侧扑将球扑了出来                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
6'罗比尼奥跟上在横敲，球被那不勒斯大脚解围                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
6'博阿滕左路拿球被侵犯                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
6'米兰任意球送到禁区内，贝赫拉米头球解围出禁区                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
7'蒙塔里前场拿球大范围转移到了右路                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
7'梅克斯右路得球再次给到博阿滕脚下                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
7'博阿滕再次选择了推射，这次是打偏了                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
8'弗拉米尼底线拿球给到阿巴特脚下                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
8'阿巴特低平球给前点，球被那不勒斯破坏出底线                   5'开场5分钟，阿巴特右路回敲，博阿滕在门前22米处低射碰小卡纳瓦罗变线，但德桑克蒂斯还是单手托出，蒙塔里左侧底线再传中，泽马伊利抢在帕齐尼前面下铲破坏
13'蒙托利沃中场争抢头球的时候被潘德夫侵犯                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
13'博阿滕右路得球送直塞没有过去                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
13'博阿滕右路再起，德桑克蒂斯将球得到                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
14'德桑克蒂斯接球后想发动快速进攻                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
14'康斯坦特在前场直接将球抢断下来                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
14'康斯坦特左路起球送禁区后点                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
14'博阿滕后排插上后捅射稍稍打偏！                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
15'卡瓦尼前场底线附近为那不勒斯赢得角球机会                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
15'战术角球开出，那不勒斯右路起球威胁不大                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
16'蒙托利沃中场将球抢断下来                   13'第13分钟，康斯坦特左路断球传中，博阿滕后点距门9米处推射偏出近门柱
28'那不勒斯将球转移到了右路                   28'第28分钟，卡瓦尼断球右路远射高出
28'哈姆西克拿球给到后点                   28'第28分钟，卡瓦尼断球右路远射高出
28'插上的队友在启动的时候先越位了                   28'第28分钟，卡瓦尼断球右路远射高出
28'卡瓦尼前场断球了                   28'第28分钟，卡瓦尼断球右路远射高出
28'卡瓦尼拿球后面对4名米兰球员的防守                   28'第28分钟，卡瓦尼断球右路远射高出
28'卡瓦尼最后自己选择了打门，球是打高了                   28'第28分钟，卡瓦尼断球右路远射高出
29'潘德夫中场拿球送直塞                   28'第28分钟，卡瓦尼断球右路远射高出
29'马乔接球的时候打在了脚后跟上                   28'第28分钟，卡瓦尼断球右路远射高出
29'博阿滕前场拿球给到边路                   28'第28分钟，卡瓦尼断球右路远射高出
29'罗比尼奥边路起球送到中路                   28'第28分钟，卡瓦尼断球右路远射高出
29'那不勒斯抢到第一点将球破坏出来                   28'第28分钟，卡瓦尼断球右路远射高出
30'米兰进球了！！                   28'第28分钟，卡瓦尼断球右路远射高出
30'弗拉米尼！！！                   28'第28分钟，卡瓦尼断球右路远射高出
31'博阿滕右路拿球给到罗比尼奥，罗比尼奥带球往中路送，帕齐尼点了一下后，禁区外围弗拉米尼冷静推射攻破了德桑克蒂斯把守的大门                   28'第28分钟，卡瓦尼断球右路远射高出
48'蒙塔里后场带球被破坏                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
49'下半场开场后两队的节奏还是没有打快                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
49'贝赫拉米中场争抢头球的时候对尼昂犯规                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
49'阿巴特右路拿球送直塞                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
49'尼昂底线拿球赢得一个角球机会                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
50'角球给到中路，乱战中被那不勒斯解围                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
50'阿巴特中场长传打到禁区内                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
50'德桑克蒂斯出击将球得到                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
51'潘德夫禁区外围远射，阿比亚蒂很稳的将球拿到                   48'但仅过了3分钟，那不勒斯就扳平比分，苏尼加直传，哈姆西克左路低传，潘德夫在门前7米处左脚捅射入右下角，1比1
38'裁判看尼昂还在拿球并没有吹罚犯规                   38'第38分钟，蒙塔里远射偏出右门柱
