4'射门!!!罗马球员托蒂大禁区外右脚射门,被对方守门员横身扑出.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
5'罗马球员托蒂大禁区外右脚射门,被防守球员封堵.给他传球的是弗洛伦齐.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
6'罗马球员卡斯坦拼抢犯规,对手获得控球权.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
6'皮萨罗为佛罗伦萨在右路,赢得一个任意球.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
7'射门!!!佛罗伦萨球员约维蒂奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是利亚伊奇.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
7'罗马球员巴尔扎雷蒂一脚直塞球给奥斯瓦尔多,但是边裁举旗显示后者已经越位.                   4'开场4分钟，托蒂在门前32米处大力任意球被维维亚诺封出
27'罗马球员巴尔扎雷蒂拼抢犯规,对手获得控球权.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
27'Gonzalo Rodríguez为佛罗伦萨赢得一个任意球.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
27'射门!!!罗马球员奥斯瓦尔多大禁区外右脚射门,被对方守门员横身扑出.给他传球的是托蒂.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
28'佛罗伦萨球员夸德拉多球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博尔加-巴雷罗.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
29'罗马球员托蒂拼抢犯规,对手获得控球权.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
29'博尔加-巴雷罗为佛罗伦萨赢得一个任意球.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
29'布尔迪索将球处理出底线,佛罗伦萨获得角球.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
30'洛邦特为罗马赢得一个任意球.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
30'佛罗伦萨球员Gonzalo Rodríguez拼抢犯规,对手获得控球权.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
30'罗马洛邦特受伤倒地,比赛暂停                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
30'暂停结束,球员们重新开始比赛.                   27'第27分钟，托蒂反击直传，奥斯瓦尔多闪开防守距门17米处低射被维维亚诺得到，紫百合很快还以颜色，夸德拉多禁区右侧没有传中，晃开防守小角度射中边网
38'佛罗伦萨球员阿奎拉尼大禁区外左脚射门,被防守球员封堵.给他传球的是皮萨罗.                   38'第38分钟，阿奎拉尼直传，约维蒂奇在门前12米处左脚射门被洛邦特一扑击中左门柱
38'射门!!!佛罗伦萨球员约维蒂奇大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是阿奎拉尼.                   38'第38分钟，阿奎拉尼直传，约维蒂奇在门前12米处左脚射门被洛邦特一扑击中左门柱
38'拉梅拉将球处理出底线,佛罗伦萨获得角球.                   38'第38分钟，阿奎拉尼直传，约维蒂奇在门前12米处左脚射门被洛邦特一扑击中左门柱
40'罗马球员布拉德利拼抢犯规,对手获得控球权.                   38'第38分钟，阿奎拉尼直传，约维蒂奇在门前12米处左脚射门被洛邦特一扑击中左门柱
40'夸德拉多为佛罗伦萨赢得一个任意球.                   38'第38分钟，阿奎拉尼直传，约维蒂奇在门前12米处左脚射门被洛邦特一扑击中左门柱
56'佛罗伦萨球员利亚伊奇大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是阿奎拉尼.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
57'佛罗伦萨球员约维蒂奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是利亚伊奇.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
58'德罗西为罗马赢得一个任意球.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
58'佛罗伦萨球员夸德拉多拼抢犯规,对手获得控球权.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
58'罗马球员奥斯瓦尔多拼抢犯规,对手获得控球权.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
58'托莫维奇为佛罗伦萨赢得一个任意球.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
59'射门!!!佛罗伦萨球员利亚伊奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博尔加-巴雷罗.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
59'戈伊孔切亚将球处理出底线,佛罗伦萨获得角球.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
59'佛罗伦萨球员皮萨罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是利亚伊奇.                   56'第56分钟，阿奎拉尼反击传球，利亚伊奇在目前16米处射门稍稍偏出右门角
73'佛罗伦萨球员博尔加-巴雷罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是利亚伊奇.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
74'奥斯瓦尔多为罗马在右路,赢得一个任意球.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
74'佛罗伦萨球员孔佩尔拼抢犯规,对手获得控球权.                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
74'罗马换人,马基尼奥斯换下弗洛伦齐                   73'第73分钟，博尔哈-巴莱罗禁区边缘射门被戈伊科切亚托出底线，但主裁判马佐莱尼没有看清，询问戈伊科切亚后判球门球
