20'射门!!!国际米兰球员坎比亚索大禁区外左脚射门,被对方守门员横身扑出.                   20'第20分钟，坎比亚索前场抢断突至门前21米处左脚抽射被布尔基奇托出横梁
20'布尔基奇将球处理出底线,国际米兰获得角球.                   20'第20分钟，坎比亚索前场抢断突至门前21米处左脚抽射被布尔基奇托出横梁
21'国际米兰球员长友佑都大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是若纳坦.                   20'第20分钟，坎比亚索前场抢断突至门前21米处左脚抽射被布尔基奇托出横梁
25'进球啦！！！国际米兰球员帕拉西奥大禁区中央头球,球从左下角飞进球门,球进了!助攻的是泰德尔. 乌迪内斯 0-1 国际米兰.                   25'第25分钟，泰德尔右侧任意球斜传，帕拉西奥在门前9米处头球蹭进远角，1比0，这是他15天内4轮意甲第4球
36'乌迪内斯球员L-穆里尔大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.                   36'第36分钟，穆列尔抓住萨穆埃尔防守失误，突入禁区左侧小角度似传似射横穿门前，萨穆埃尔回追时拉伤肌肉，被罗兰多换下
37'国际米兰换人,罗兰多上,萨穆埃尔因伤下场.                   36'第36分钟，穆列尔抓住萨穆埃尔防守失误，突入禁区左侧小角度似传似射横穿门前，萨穆埃尔回追时拉伤肌肉，被罗兰多换下
38'乌迪内斯球员多米齐拼抢犯规,对手获得控球权.                   36'第36分钟，穆列尔抓住萨穆埃尔防守失误，突入禁区左侧小角度似传似射横穿门前，萨穆埃尔回追时拉伤肌肉，被罗兰多换下
38'瓜林为国际米兰在对方半场,赢得一个任意球.                   36'第36分钟，穆列尔抓住萨穆埃尔防守失误，突入禁区左侧小角度似传似射横穿门前，萨穆埃尔回追时拉伤肌肉，被罗兰多换下
39'阿兰将球处理出底线,国际米兰获得角球.                   36'第36分钟，穆列尔抓住萨穆埃尔防守失误，突入禁区左侧小角度似传似射横穿门前，萨穆埃尔回追时拉伤肌肉，被罗兰多换下
47'射门!!!乌迪内斯球员迪纳塔莱大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是佩雷拉.                   47'下半时开始2分钟，罗伯托-佩雷拉右路突破传中，迪纳塔莱闪开防守距门14米处抽射被汉达诺维奇单手托出
47'汉达诺维奇将球处理出底线,乌迪内斯获得角球.                   47'下半时开始2分钟，罗伯托-佩雷拉右路突破传中，迪纳塔莱闪开防守距门14米处抽射被汉达诺维奇单手托出
61'国际米兰球员瓜林大禁区右侧右脚射门,命中门柱右侧立柱.给他传球的是若纳坦.                   61'第61分钟，若纳坦传球，瓜林禁区右侧强突多米齐，在门前8米处小角度抽射击中近门柱外侧
64'多米齐为乌迪内斯在对方半场,赢得一个任意球.                   61'第61分钟，若纳坦传球，瓜林禁区右侧强突多米齐，在门前8米处小角度抽射击中近门柱外侧
64'国际米兰球员拼抢犯规,对手获得控球权.                   61'第61分钟，若纳坦传球，瓜林禁区右侧强突多米齐，在门前8米处小角度抽射击中近门柱外侧
64'乌迪内斯球员L-穆里尔大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   61'第61分钟，若纳坦传球，瓜林禁区右侧强突多米齐，在门前8米处小角度抽射击中近门柱外侧
47'射门!!!乌迪内斯球员迪纳塔莱大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是佩雷拉.                   46'1分钟后，费尔南德斯禁区弧顶左脚低射被汉达诺维奇没收
47'汉达诺维奇将球处理出底线,乌迪内斯获得角球.                   46'1分钟后，费尔南德斯禁区弧顶左脚低射被汉达诺维奇没收
71'国际米兰球员帕拉西奥大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是佩雷拉.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
72'巴度为乌迪内斯赢得一个任意球.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
72'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
73'维德莫尔为乌迪内斯在右路,赢得一个任意球.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
73'国际米兰球员佩雷拉拼抢犯规,对手获得控球权.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
74'加-希尔瓦为乌迪内斯在左路,赢得一个任意球.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
74'国际米兰球员拉诺齐亚拼抢犯规,对手获得控球权.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
74'黄牌！国际米兰球员拉诺齐亚因为恶意犯规,被主裁判出示黄牌.                   71'第71分钟，阿尔瓦罗-佩雷拉左路传中，帕拉西奥在门前6米处头球高出
81'国际米兰拉诺齐亚受伤倒地,比赛暂停                   81'第81分钟，巴杜在门前24米处打高
81'暂停结束,球员们重新开始比赛.                   81'第81分钟，巴杜在门前24米处打高
81'国际米兰换人,安德雷奥利上,拉诺齐亚因伤下场.                   81'第81分钟，巴杜在门前24米处打高
81'乌迪内斯球员巴度大禁区外右脚射门,被防守球员封堵.                   81'第81分钟，巴杜在门前24米处打高
81'佩雷拉将球处理出底线,乌迪内斯获得角球.                   81'第81分钟，巴杜在门前24米处打高
84'巴度为乌迪内斯在对方半场,赢得一个任意球.                   81'第81分钟，巴杜在门前24米处打高
84'国际米兰球员阿尔瓦雷斯拼抢犯规,对手获得控球权.                   81'第81分钟，巴杜在门前24米处打高
47'射门!!!乌迪内斯球员迪纳塔莱大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是佩雷拉.                   47'补时第2分钟，帕拉西奥突入禁区右侧低传，阿尔瓦雷斯在门前10米处左脚推射入左下角，3比0
47'汉达诺维奇将球处理出底线,乌迪内斯获得角球.                   47'补时第2分钟，帕拉西奥突入禁区右侧低传，阿尔瓦雷斯在门前10米处左脚推射入左下角，3比0
