7'米兰星玄月03:53 真心觉得教练问题，，米兰有球员有实力，，，可是就是不出成绩！---囧叔也挺难的                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
7'康斯坦特前场传球失误~                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
8'国米快速通过中场~                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
8'帕拉西奥尝试了一脚远射~打得太正了                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
8'米兰的推进也很快~巴洛特利！！！                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
8'禁区内的打门被后卫挡了一脚，角球                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
9'米兰的角球没有形成威胁                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
10'球还是在米兰的控制之下~                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
10'连续的边路传中~~~                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
10'又是巴洛特利抢到了禁区内的机会！                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
10'半转身的凌空抽射~~~打高了                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
10'球还是在米兰的控制之下~                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
10'连续的边路传中~~~                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
10'又是巴洛特利抢到了禁区内的机会！                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
10'半转身的凌空抽射~~~打高了                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
11'萨博纳拉带球被瓜林放倒~                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
11'这段时间米兰的控球率超过了国米                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
11'卡卡~~~~                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
11'左脚的劲射被汉达诺维奇扑了一下~~                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
11'球脱手之后裁判吹哨了！                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
