6'米兰中场拿球，卡卡给到中路                   3'开场3分钟，德希利奥右路传中，罗比尼奥后点距门7米处半凌空推射偏出近门柱
6'埃马纽尔森左路拿球送到禁区内                   3'开场3分钟，德希利奥右路传中，罗比尼奥后点距门7米处半凌空推射偏出近门柱
6'罗比尼奥没对方干扰没有拿到球                   3'开场3分钟，德希利奥右路传中，罗比尼奥后点距门7米处半凌空推射偏出近门柱
13'队友的抽射直接打高了                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
13'不过在这之前，梅克斯在禁区内先被人放倒                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
13'莫拉莱斯右路突破被米兰碰出边线                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
14'布里维奥左路起球被顶出禁区                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
14'米兰的反击机会                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
14'卡卡拿球分边                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
15'罗比尼奥左路传球送禁区内，队友的射门被横梁拒绝了！！！                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
15'克里斯坦特的射门啊，可惜啊！！                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
16'米兰右路起球到禁区内                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
16'孔西利出击飞身将球击出                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
16'埃马纽尔森左路助攻上来                   13'第13分钟，卡卡中场抢断摆脱对方拉拽，然后与马特里打出踢墙配合，马特里再分到左侧，罗比尼奥传中，克里斯坦特在门前7米处推射击中横梁
30'诺切里诺拿球给到中路                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
30'米兰在将球分边                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
30'德希利奥右路的传球落点并不理想                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
