12'今天两支球队阵形一样，所以在人员位置上都有对位交锋                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
12'博格巴右路接到特维斯的背身做球                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
12'博格巴传中找到禁区里的洛伦特！！！                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
13'头球攻门！！！！                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
13'稍稍偏出！！！不过裁判先鸣哨了！！！洛伦特争抢犯规                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
13'比达尔右路带球高速突破！！！                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
14'库兹曼诺维奇上来一个飞铲放倒了比达尔！！！！！                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
14'主裁判毫不留情黄牌一张！！！！                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
15'场上比赛进行的还是很快的，已经踢了15分钟                   12'去年12月15日2比4负那不勒斯后，客场正式比赛连续315分钟不进球
48'基耶里尼接球时手球了被裁判判罚                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
48'尤文外围比达尔顶踢到禁区                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
48'博格巴用身体杀出空当！！！基耶里尼插上射门！！！！                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
49'近距离打门再次洞穿国米大门！！！！                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
49'基耶里尼利用角球二次进攻的机会乱中得分                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
50'尤文下半场刚开始不久就凭借基耶里尼的进球2比0领先国米                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
51'昔日的国家德比由于国米近期的低迷显得一边倒啊                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
51'马扎里在场边也显得毫无办法                   48'”开场3分钟，尤文角球被破坏后，博格巴再顶入禁区，特维斯在门前8米处连续两脚射门被汉达诺维奇神勇封出，基耶利尼补射打飞
15'场上比赛进行的还是很快的，已经踢了15分钟                   15'尤文第15分钟取得领先
16'阿萨莫阿左路穿着到禁区外找皮尔洛                   15'尤文第15分钟取得领先
16'皮尔洛禁区外挑传到禁区里！！！利希施泰纳插上了！！！！                   15'尤文第15分钟取得领先
16'利希施泰纳反越位俯冲头球！！！！                   15'尤文第15分钟取得领先
16'汉达诺维奇扑救不及！！！死角！！！！                   15'尤文第15分钟取得领先
17'利希施泰纳反越位接到皮尔洛的挑传俯冲头球破门                   15'尤文第15分钟取得领先
17'尤文1比0国米                   15'尤文第15分钟取得领先
18'虽然两支球队阵形一样，但是对位后国米球员还是稍微被压制一些                   15'尤文第15分钟取得领先
22'尤文反击迅速打到右路利希施泰纳                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
22'回传禁区前特维斯，再往禁区里传                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
22'洛伦特应该越位了                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
23'皮尔洛中场转移给左路阿萨莫阿                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
23'阿萨莫阿突破后低平球回传                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
23'博格巴禁区前尝试远射！！！！！                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
23'一脚爆射高出横梁                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
24'利希施泰纳右路面对长友佑都1对1没有成功                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
25'国米后场的解围球到外围都落在了尤文球员脚下                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
25'科瓦契奇在本方弧顶前带球太多了                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
25'尤文球员上抢逼迫科瓦契奇失误                   22'第22分钟，皮尔洛分球，阿萨莫阿左路回敲，博格巴在门前22米处抽射高出
40'比达尔右路穿裆过掉阿尔瓦雷斯                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
40'横传到左路阿萨默斯                   40'第40分钟，科瓦契奇中路反击分球，帕拉西奥禁区右侧距门11米处推射掠过横梁
