13'拉诺齐亚将球处理出底线,都灵获得角球.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
13'坎帕尼亚罗将球处理出底线,都灵获得角球.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
14'都灵球员伊莫莱比大禁区中央尝试右脚射门,可惜皮球高出球门.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
14'都灵球员库尔蒂奇拼抢犯规,对手获得控球权.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
14'瓜林为国际米兰在对方半场,赢得一个任意球.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
15'国际米兰球员埃尔纳内斯大禁区外右脚射门,被防守球员封堵.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
15'都灵库尔蒂奇受伤倒地,比赛暂停                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
16'暂停结束,球员们重新开始比赛.                   13'第13分钟，都灵右侧角球被蹭到中路，因莫比莱在门前13米抽射高出
26'射门!!!国际米兰球员帕拉西奥大禁区中央头球,被对方守门员横身扑出.给他传球的是瓜林.                   26'第26分钟，瓜林右路人球分过传中，帕拉西奥在门前10米处冲顶被帕代利封出左门柱
26'帕德利将球处理出底线,国际米兰获得角球.                   26'第26分钟，瓜林右路人球分过传中，帕拉西奥在门前10米处冲顶被帕代利封出左门柱
27'国际米兰球员坎帕尼亚罗手球犯规,对手获得球权.                   26'第26分钟，瓜林右路人球分过传中，帕拉西奥在门前10米处冲顶被帕代利封出左门柱
31'国际米兰球员瓜林大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是埃尔纳内斯.                   31'第31分钟，埃尔纳内斯传球，瓜林远射稍偏出左门柱
33'国际米兰球员瓜林大禁区外右脚射门,被防守球员封堵.给他传球的是坎比亚索.                   31'第31分钟，埃尔纳内斯传球，瓜林远射稍偏出左门柱
53'射门!!!都灵球员切尔奇大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是维维斯.                   53'第53分钟，切尔奇右路切入禁区左脚斜射被汉达诺维奇得到
53'都灵球员维维斯拼抢犯规,对手获得控球权.                   53'第53分钟，切尔奇右路切入禁区左脚斜射被汉达诺维奇得到
53'帕拉西奥为国际米兰赢得一个任意球.                   53'第53分钟，切尔奇右路切入禁区左脚斜射被汉达诺维奇得到
53'黄牌！都灵球员维维斯因为恶意犯规,被主裁判出示黄牌.                   53'第53分钟，切尔奇右路切入禁区左脚斜射被汉达诺维奇得到
56'都灵球员巴沙大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   53'第53分钟，切尔奇右路切入禁区左脚斜射被汉达诺维奇得到
56'都灵球员巴沙大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   56'第56分钟，巴沙右肋距门25米处低射偏出近门柱
57'都灵换人,卡杜里换下库尔蒂奇                   56'第56分钟，巴沙右肋距门25米处低射偏出近门柱
58'都灵球员维维斯拼抢犯规,对手获得控球权.                   56'第56分钟，巴沙右肋距门25米处低射偏出近门柱
58'埃尔纳内斯为国际米兰赢得一个任意球.                   56'第56分钟，巴沙右肋距门25米处低射偏出近门柱
63'国际米兰球员帕拉西奥大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是埃尔纳内斯.                   63'第63分钟，埃尔纳内斯右侧任意球低传，帕拉西奥在门前12米处推射偏出右门角
65'都灵球员切尔奇拼抢犯规,对手获得控球权.                   63'第63分钟，埃尔纳内斯右侧任意球低传，帕拉西奥在门前12米处推射偏出右门角
65'埃尔纳内斯为国际米兰赢得一个任意球.                   63'第63分钟，埃尔纳内斯右侧任意球低传，帕拉西奥在门前12米处推射偏出右门角
65'都灵换人,塔赫特西迪斯换下维维斯                   63'第63分钟，埃尔纳内斯右侧任意球低传，帕拉西奥在门前12米处推射偏出右门角
73'射门!!!国际米兰球员科瓦契奇大禁区外左脚射门,被对方守门员横身扑出.给他传球的是坎帕尼亚罗.                   73'第73分钟，科瓦契奇转身突破塔赫齐季斯，在门前18米处左脚低射被帕代利得到
76'国际米兰换人,安德雷奥利换下坎帕尼亚罗                   73'第73分钟，科瓦契奇转身突破塔赫齐季斯，在门前18米处左脚低射被帕代利得到
76'维索维奇为都灵赢得一个任意球.                   73'第73分钟，科瓦契奇转身突破塔赫齐季斯，在门前18米处左脚低射被帕代利得到
76'国际米兰球员埃尔纳内斯拼抢犯规,对手获得控球权.                   73'第73分钟，科瓦契奇转身突破塔赫齐季斯，在门前18米处左脚低射被帕代利得到
80'国际米兰球员埃尔纳内斯大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是长友佑都.                   80'第80分钟，埃尔纳内斯突入禁区左侧射门偏出近门柱
82'国际米兰球员科瓦契奇大禁区外右脚射门,被防守球员封堵.给他传球的是埃尔纳内斯.                   80'第80分钟，埃尔纳内斯突入禁区左侧射门偏出近门柱
82'都灵球员巴沙一脚直塞球给伊莫莱比,但是边裁举旗显示后者已经越位.                   80'第80分钟，埃尔纳内斯突入禁区左侧射门偏出近门柱
47'都灵球员G-罗德里格斯拼抢犯规,对手获得控球权.                   46'泰德尔换下伊卡尔迪，国米最终1比0胜出，都灵连续299分钟不进球
47'伊卡尔迪为国际米兰在对方半场,赢得一个任意球.                   46'泰德尔换下伊卡尔迪，国米最终1比0胜出，都灵连续299分钟不进球
48'射门!!!都灵球员库尔蒂奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伊莫莱比.                   46'泰德尔换下伊卡尔迪，国米最终1比0胜出，都灵连续299分钟不进球
48'汉达诺维奇将球处理出底线,都灵获得角球.                   46'泰德尔换下伊卡尔迪，国米最终1比0胜出，都灵连续299分钟不进球
