3'欢迎大家踊跃的回答问题~会员也许就在你的身边                   3'开场3分钟，埃尔纳内斯左肋突破回敲，瓜林在门前19米处推射偏出右门柱
3'格罗索在左路传中，给的大了一些，出了底线。                   3'开场3分钟，埃尔纳内斯左肋突破回敲，瓜林在门前19米处推射偏出右门柱
4'国米的反击过来了！埃尔纳内斯突破给到中路的瓜林，但是瓜林犹豫了一下，再打出界了！                   3'开场3分钟，埃尔纳内斯左肋突破回敲，瓜林在门前19米处推射偏出右门柱
5'恭喜以下用户获得直播室会员资格: 凯特布鲁斯                   3'开场3分钟，埃尔纳内斯左肋突破回敲，瓜林在门前19米处推射偏出右门柱
5'[qiangda]目前国际米兰在联赛中排名第几？                   3'开场3分钟，埃尔纳内斯左肋突破回敲，瓜林在门前19米处推射偏出右门柱
6'国际米兰非常有质量的一次进攻，瓜林在禁区弧顶处几次晃动形成空档，打门打高了。                   3'开场3分钟，埃尔纳内斯左肋突破回敲，瓜林在门前19米处推射偏出右门柱
7'看到有些观众对于刚才图片中的队员很好奇，他就是坎比亚索                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
7'亚特兰大角球，开出来以后中路被国米解围了。                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
8'哇哦！国米门前的险情啊！                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
9'加利维亚的传中给到了丹尼斯脚下，一脚打门汉达诺维奇反应很快将球挡出。                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
9'国米防守还是要注意力集中一点。                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
10'埃尔纳内斯在边路很活跃啊、                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
10'目前国米射门2次，而亚特兰大1次。                   7'第7分钟，亚特兰大开出战术角球，坎帕尼亚罗前点头球解围却蹭到中路，卡尔莫纳在门前12米处半凌空推射被汉达诺维奇神勇封出左门柱
14'罗兰多拿球向前被断了！亚特兰大反击！                   14'汉达诺维奇第14分钟再次作出神奇扑救，丹尼斯禁区内回做，奇加里尼在门前16米处迎球抽射被汉达快速倒地封出
14'禁区里一片混战，亚特兰大又是一次大力轰门，又被汉达诺维奇化解！                   14'汉达诺维奇第14分钟再次作出神奇扑救，丹尼斯禁区内回做，奇加里尼在门前16米处迎球抽射被汉达快速倒地封出
16'这15分钟的比赛说实话有效进攻亚特兰大更多。                   14'汉达诺维奇第14分钟再次作出神奇扑救，丹尼斯禁区内回做，奇加里尼在门前16米处迎球抽射被汉达快速倒地封出
16'用户qrsdzdkqp4 :觉得国米稳赢，虽然我是皮尔洛球迷------皮尔洛这么细腻的球员人人爱啊。                   14'汉达诺维奇第14分钟再次作出神奇扑救，丹尼斯禁区内回做，奇加里尼在门前16米处迎球抽射被汉达快速倒地封出
17'[qiangda]亚特兰大队目前排名第几？ A.8 B.9 C.10                   14'汉达诺维奇第14分钟再次作出神奇扑救，丹尼斯禁区内回做，奇加里尼在门前16米处迎球抽射被汉达快速倒地封出
17'小坤坤king :怎么样才能有会员呢？------多回答问题就有了~                   14'汉达诺维奇第14分钟再次作出神奇扑救，丹尼斯禁区内回做，奇加里尼在门前16米处迎球抽射被汉达快速倒地封出
22'相信看直播的不少观众都是国米的忠实拥趸，那么大家是怎么爱上国米这支球队的呢？                   22'第22分钟，瓜林扣过后卫距门25米处左脚低射被孔西利没收
23'[qiangda]图片中的球员是谁呢？                   22'第22分钟，瓜林扣过后卫距门25米处左脚低射被孔西利没收
23'国米的好机会啊，瓜林给到伊尔卡迪，几乎是单刀，但是角度太小，伊尔卡迪再想给帕拉西奥被孔西利挡了出去！                   22'第22分钟，瓜林扣过后卫距门25米处左脚低射被孔西利没收
24'这是一个良机啊！                   22'第22分钟，瓜林扣过后卫距门25米处左脚低射被孔西利没收
25'用户qrsdzdkqp4 :主播，请问今晚恒大输球你怎么看------再强大的队伍也会有失败的时候，好好总结经验以后继续加油！                   22'第22分钟，瓜林扣过后卫距门25米处左脚低射被孔西利没收
25'昕月新空 :因为罗纳尔多，因为米兰德比，因为天是蓝的，夜是黑的等爱上蓝黑！------说得好，不仅说出了自己的心声，还富有诗意！                   22'第22分钟，瓜林扣过后卫距门25米处左脚低射被孔西利没收
30'国米的好机会！                   29'第29分钟，帕拉西奥分球，若纳坦右路传中，伊卡尔迪头球蹭出远门柱
31'在边路的强势突破后，丹布罗西奥给中路，但是伊卡尔迪没蹭到力量，错失了一次好机会！                   29'第29分钟，帕拉西奥分球，若纳坦右路传中，伊卡尔迪头球蹭出远门柱
31'[qiangda]联赛中国际米兰的最佳射手是谁？ A.帕拉西奥 B.长友佑都 C.坎比亚索                   29'第29分钟，帕拉西奥分球，若纳坦右路传中，伊卡尔迪头球蹭出远门柱
32'目前比赛进行了30分钟，双方都没有建树。                   29'第29分钟，帕拉西奥分球，若纳坦右路传中，伊卡尔迪头球蹭出远门柱
32'这边国米若纳坦的传球也是失误了。                   29'第29分钟，帕拉西奥分球，若纳坦右路传中，伊卡尔迪头球蹭出远门柱
32'国米左路埃尔纳内斯给伊尔卡迪，但是被封死了进攻路线                   29'第29分钟，帕拉西奥分球，若纳坦右路传中，伊卡尔迪头球蹭出远门柱
35'这下要吃牌了！亚特兰大的妮卡背后铲倒了丹布罗西奥                   35'亚特兰大第35分钟取得领先
35'国米的任意球没什么威胁，但是亚特兰大反击了！                   35'亚特兰大第35分钟取得领先
35'球进了！！！                   35'亚特兰大第35分钟取得领先
36'伯纳文图拉高速反击过程中接到传球以后稍作调整直接打门，汉达诺维奇毫无反应！                   35'亚特兰大第35分钟取得领先
36'这个球太漂亮了！                   35'亚特兰大第35分钟取得领先
36'话音未落！国米扳平！                   35'亚特兰大第35分钟取得领先
37'伊卡尔迪这边马上还以颜色！                   35'亚特兰大第35分钟取得领先
37'瓜林一个完美直塞，伊卡尔迪停下来以后摆脱后卫右脚打门，扳平比分！！                   35'亚特兰大第35分钟取得领先
37'这一分钟比赛实在是太精彩了！！                   35'亚特兰大第35分钟取得领先
38'Niveus丶小天 :雯雯，来看球啦，今天你来主播啊------谢谢支持！                   35'亚特兰大第35分钟取得领先
46'罗兰多转移到左路，界外球。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
46'上半场比赛补时3分钟。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
47'国米最后阶段看来要稍微发力逼一下。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
47'长传给到前场，伊卡尔迪犯规了！                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
48'马扎里也是十分着急啊。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
48'这边裁判又是一张黄牌，奇加里尼的犯规。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
48'上半场比赛结束！双方战成了1比1~                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
46'好的，下半场比赛开始了！                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
47'伊卡尔迪想找帕拉西奥时候失误了。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
47'奇加里尼刚才又是犯规了，要注意了，他已经有一张黄牌了。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
48'[qiangda]国米现任主教练是谁？                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
49'若纳坦强突过后想找后点，伊卡尔迪打回来，后卫挡出，角球。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
49'角球开出来但是还是没威胁。                   46'仅过1分钟，瓜林中圈直传，伊卡尔迪扣过耶佩斯，在门前13米处推射入左下角，1比1，伊卡尔迪举起印有“Wan Te Amo”(Wan，我爱你)的T恤，将进球献给女友万达-娜拉(前队友马克西-洛佩斯的前妻)
45'上半场比赛进行到了补时阶段了。                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
46'罗兰多转移到左路，界外球。                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
46'上半场比赛补时3分钟。                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
47'国米最后阶段看来要稍微发力逼一下。                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
47'长传给到前场，伊卡尔迪犯规了！                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
46'好的，下半场比赛开始了！                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
47'伊卡尔迪想找帕拉西奥时候失误了。                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
47'奇加里尼刚才又是犯规了，要注意了，他已经有一张黄牌了。                   44'第44分钟，坎帕尼亚罗右路传中，丹布罗西奥在门前9米处推射偏出左门柱
50'国米这个主场如果拿不下三分，之后比赛也会越来越难打。                   50'下半时开始5分钟，若纳坦突入禁区右侧斜射被孔西利扑出底线
51'帕拉西奥断球，给瓜林，再给若纳坦射门，赢得角球。                   50'下半时开始5分钟，若纳坦突入禁区右侧斜射被孔西利扑出底线
51'这边瓜林又是打偏了，国米现在效率有点太低了。                   50'下半时开始5分钟，若纳坦突入禁区右侧斜射被孔西利扑出底线
52'国米前场不断的施压，伊卡尔迪分给瓜林，打门被挡，又是一个角球。                   50'下半时开始5分钟，若纳坦突入禁区右侧斜射被孔西利扑出底线
53'江君515a :长友右度上了吗------没有，今天轮休                   50'下半时开始5分钟，若纳坦突入禁区右侧斜射被孔西利扑出底线
53'现在亚特兰大开始防守反击，没什么机会                   50'下半时开始5分钟，若纳坦突入禁区右侧斜射被孔西利扑出底线
52'国米前场不断的施压，伊卡尔迪分给瓜林，打门被挡，又是一个角球。                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
53'江君515a :长友右度上了吗------没有，今天轮休                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
53'现在亚特兰大开始防守反击，没什么机会                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
54'瓜林打门打到横梁上！！！                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
54'亚特兰大后卫解围打到自己队员身上，弹到瓜林脚下，险些送大礼啊。                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
55'恭喜以下用户获得直播室会员资格: 舜天纯Sainty                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
55'回蓦阑珊处 :雯雯，米利托还要好久才复出，问了几道了，说一下吧------这个雯雯也不清楚。                   52'第52分钟，伊卡尔迪左肋突破回传，瓜林在门前18米处推射被德尔格罗索挡出右门柱
59'时间作古 :我说直播的美女、你不困吗------工作一定要认真完成！                   59'第59分钟，若纳坦右肋传过顶球，帕拉西奥前点距门9米处后脑勺吊射击中远门柱内侧
60'帕拉西奥！若纳坦传中帕拉西奥头球一蹭，门将已经没办法了但是打到了门柱上，真是不幸运！                   59'第59分钟，若纳坦右肋传过顶球，帕拉西奥前点距门9米处后脑勺吊射击中远门柱内侧
61'坎比亚索被阿尔瓦雷斯换下，这是要加强进攻了！                   59'第59分钟，若纳坦右肋传过顶球，帕拉西奥前点距门9米处后脑勺吊射击中远门柱内侧
62'瓜林今天很活跃啊，大家对瓜林有什么看法呢？                   59'第59分钟，若纳坦右肋传过顶球，帕拉西奥前点距门9米处后脑勺吊射击中远门柱内侧
77'斯滕达尔多又吃到黄牌，一个凶狠的铲断铲倒了帕拉西奥。                   77'第77分钟，长友佑都左路回敲，埃尔纳内斯在门前28米处贴地球稍偏出近门柱
77'埃尔纳内斯一脚低射！皮球擦着立柱出了底线，很有威胁啊。                   77'第77分钟，长友佑都左路回敲，埃尔纳内斯在门前28米处贴地球稍偏出近门柱
78'来来来我给你吃糖葫芦呀 :雯雯～交个朋友吧～------好啊~雯雯很喜欢和观众交朋友啊~                   77'第77分钟，长友佑都左路回敲，埃尔纳内斯在门前28米处贴地球稍偏出近门柱
79'瓜林禁区内踩单车后传到后点，但是没人接应                   77'第77分钟，长友佑都左路回敲，埃尔纳内斯在门前28米处贴地球稍偏出近门柱
79'长友佑都上来以后整体进攻更有侵略性了！                   77'第77分钟，长友佑都左路回敲，埃尔纳内斯在门前28米处贴地球稍偏出近门柱
80'今天国米的运气也不太好，横梁立柱的，                   77'第77分钟，长友佑都左路回敲，埃尔纳内斯在门前28米处贴地球稍偏出近门柱
87'国米啊！有打在横梁上啊！！                   87'第87分钟，巴塞利禁区右侧下底回敲，布里恩扎在门前9米处左脚推射远角但若纳坦破坏
88'若纳坦啊，一个搓射还是横梁！                   87'第87分钟，巴塞利禁区右侧下底回敲，布里恩扎在门前9米处左脚推射远角但若纳坦破坏
89'今天国米还真是不走运啊！                   87'第87分钟，巴塞利禁区右侧下底回敲，布里恩扎在门前9米处左脚推射远角但若纳坦破坏
89'今天的国米真是应该买彩票去了。                   87'第87分钟，巴塞利禁区右侧下底回敲，布里恩扎在门前9米处左脚推射远角但若纳坦破坏
90'回蓦阑珊处 :雯雯下场比赛直播哪个的，我一定来捧场，直播我大红军的吧？------下周安排的英超，具体比赛还在等通知。                   87'第87分钟，巴塞利禁区右侧下底回敲，布里恩扎在门前9米处左脚推射远角但若纳坦破坏
90'亚特兰大绝杀！！！                   87'第87分钟，巴塞利禁区右侧下底回敲，布里恩扎在门前9米处左脚推射远角但若纳坦破坏
