1'好的，比赛开始了！                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
1'国际米兰身穿白色球衣，而桑普则是蓝色球衣。                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
2'桑普多利亚上来进攻很凶啊，马克西洛佩斯获得一个位置非常好的任意球。                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
3'桑普多利亚一个小战术没有打好，没有威胁，                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
3'现在伊卡尔迪一拿球就被嘘啊。                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
4'KOBETHEMAMBA :我去…意甲你也播？？------听从组织安排~                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
4'光辉盖伦是好兄妹 :国米三后卫，是不是不要防守了------国际米兰现在的352已经打了一段时间，效果还不错                   1'第1分钟，伊卡尔迪每次触球都遭到嘘声
13'球进了！伊卡尔迪！！                   13'国米第13分钟取得领先
13'伊卡尔迪进球以后也是手放耳边对主场球迷进行嘲讽，吃到黄牌！                   13'国米第13分钟取得领先
15'埃尔纳内斯边路突破传中以后，伊卡尔迪抢点破门！                   13'国米第13分钟取得领先
15'这下洛佩斯必须作出回应啊！                   13'国米第13分钟取得领先
16'海丰人7818 :好久没看见雯雯直播比赛了。------老朋友了~                   13'国米第13分钟取得领先
16'海丰人7818 :好久没看见雯雯直播比赛了。------老朋友了~                   16'第16分钟，圣索内左侧距门30米处抽射掠过横梁
17'圣索内的远射打高了，丢球以后桑普多利亚大举进攻                   16'第16分钟，圣索内左侧距门30米处抽射掠过横梁
18'桑普多利亚角球，顶到外围，拉诺齐亚在禁区内犯规，点球！！                   16'第16分钟，圣索内左侧距门30米处抽射掠过横梁
18'洛佩斯主罚竟然被扑出来了！！！                   16'第16分钟，圣索内左侧距门30米处抽射掠过横梁
18'真是不如意啊！                   16'第16分钟，圣索内左侧距门30米处抽射掠过横梁
20'桑普多利亚再次反击，引起冲突了！                   20'第20分钟，埃德尔带球突破倒地，被判假摔吃到黄牌，萨穆埃尔上前质问，两人发生推搡，继而演变成双方球员打斗，萨穆埃尔吃到黄牌，埃德尔则两黄下场
20'埃德尔直接红牌被罚下了！！                   20'第20分钟，埃德尔带球突破倒地，被判假摔吃到黄牌，萨穆埃尔上前质问，两人发生推搡，继而演变成双方球员打斗，萨穆埃尔吃到黄牌，埃德尔则两黄下场
21'场面一片混乱啊                   20'第20分钟，埃德尔带球突破倒地，被判假摔吃到黄牌，萨穆埃尔上前质问，两人发生推搡，继而演变成双方球员打斗，萨穆埃尔吃到黄牌，埃德尔则两黄下场
22'埃德尔假摔吃到第一张黄牌，之后又和萨穆埃尔起了冲突，两黄变一红下场了！                   20'第20分钟，埃德尔带球突破倒地，被判假摔吃到黄牌，萨穆埃尔上前质问，两人发生推搡，继而演变成双方球员打斗，萨穆埃尔吃到黄牌，埃德尔则两黄下场
22'这20多分钟的比赛真是一片混乱。                   20'第20分钟，埃德尔带球突破倒地，被判假摔吃到黄牌，萨穆埃尔上前质问，两人发生推搡，继而演变成双方球员打斗，萨穆埃尔吃到黄牌，埃德尔则两黄下场
23'桑普多利亚因为伊卡尔迪的事件有点不理智啊。                   20'第20分钟，埃德尔带球突破倒地，被判假摔吃到黄牌，萨穆埃尔上前质问，两人发生推搡，继而演变成双方球员打斗，萨穆埃尔吃到黄牌，埃德尔则两黄下场
32'用户vsgzkqbmwh :雯雯请问你一下你是不是也直播nba？？我看火箭的比赛看见过你！我是火箭和国米的球迷！国米加油！我爱你国米------有时候会播，谢谢您的支持啊~                   32'第32分钟，马克西-洛佩斯左路内切，禁区弧顶大力抽射被汉达诺维奇扑出底线
33'镜头不断切换刚才的冲突，导播也是很有心啊。                   32'第32分钟，马克西-洛佩斯左路内切，禁区弧顶大力抽射被汉达诺维奇扑出底线
33'洛佩斯左路内切打门，角度很刁钻，汉达诺维奇勉强扑出。                   32'第32分钟，马克西-洛佩斯左路内切，禁区弧顶大力抽射被汉达诺维奇扑出底线
35'桑普多利亚非常精彩的任意球打门，但是汉达诺维奇奋力扑出！                   32'第32分钟，马克西-洛佩斯左路内切，禁区弧顶大力抽射被汉达诺维奇扑出底线
35'角球给出来乱战，桑普多利亚一捅，很危险啊。                   32'第32分钟，马克西-洛佩斯左路内切，禁区弧顶大力抽射被汉达诺维奇扑出底线
39'[qiangda]桑普多利亚联赛排名第几？                   39'第39分钟，索里亚诺放倒伊卡尔迪，被黄牌警告，埃尔纳内斯左侧距门22米处主罚任意球打在人墙上
39'禁区线外一米左右，位置非常好的任意球！                   39'第39分钟，索里亚诺放倒伊卡尔迪，被黄牌警告，埃尔纳内斯左侧距门22米处主罚任意球打在人墙上
41'但是打门打到人墙上了，出来以后圣索内被踢到，裁判没吹，但是圣索内倒地不起。                   39'第39分钟，索里亚诺放倒伊卡尔迪，被黄牌警告，埃尔纳内斯左侧距门22米处主罚任意球打在人墙上
42'用户vsgzkqbmwh :！看的我这个内拉都心疼！在那次三冠王的时候！好激动！塞萨尔门神！边神麦孔！哎……人走茶凉啊！加油吧国米！你我的血液里流淌的是意甲和蓝黑的血------球队失意时候更需要球迷的支持！                   39'第39分钟，索里亚诺放倒伊卡尔迪，被黄牌警告，埃尔纳内斯左侧距门22米处主罚任意球打在人墙上
42'坎比亚索在中场对洛佩斯一个犯规。                   39'第39分钟，索里亚诺放倒伊卡尔迪，被黄牌警告，埃尔纳内斯左侧距门22米处主罚任意球打在人墙上
49'达克斯塔大脚解围失误了，被国米打了一个反击。                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
49'但是长友佑都传中被挡，之后的进攻长友佑都越位了。                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
50'桑普多利亚的进攻，罗兰多在中圈系鞋带没有放手。                   49'下半时开始4分钟，圣索内突至禁区弧顶左脚抽射高出
