56'拉齐奥换人,乔杰维奇换下克洛泽                   56'第11分钟，瓜林右路劲射被马尔凯蒂倒地没收
57'拉齐奥球员乔杰维奇拼抢犯规,对手获得控球权.                   56'第11分钟，瓜林右路劲射被马尔凯蒂倒地没收
57'拉诺齐亚为国际米兰在对方半场,赢得一个任意球.                   56'第11分钟，瓜林右路劲射被马尔凯蒂倒地没收
59'国际米兰球员伊卡尔迪大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是科瓦契奇.                   56'第11分钟，瓜林右路劲射被马尔凯蒂倒地没收
69'乔杰维奇为拉齐奥在右路,赢得一个任意球.                   69'第24分钟，长友佑都左路与科瓦契奇打出踢墙配合，在门前11米处射门被德弗赖挡出近门柱
69'国际米兰球员库兹曼诺维奇拼抢犯规,对手获得控球权.                   69'第24分钟，长友佑都左路与科瓦契奇打出踢墙配合，在门前11米处射门被德弗赖挡出近门柱
70'射门!!!国际米兰球员伊卡尔迪大禁区外右脚射门,被对方守门员横身扑出.给他传球的是瓜林.                   69'第24分钟，长友佑都左路与科瓦契奇打出踢墙配合，在门前11米处射门被德弗赖挡出近门柱
72'乔杰维奇为拉齐奥在右路,赢得一个任意球.                   69'第24分钟，长友佑都左路与科瓦契奇打出踢墙配合，在门前11米处射门被德弗赖挡出近门柱
72'国际米兰球员胡安拼抢犯规,对手获得控球权.                   69'第24分钟，长友佑都左路与科瓦契奇打出踢墙配合，在门前11米处射门被德弗赖挡出近门柱
82'拉齐奥换人,冈萨雷斯换下莱德斯马                   82'国米第37分钟再丢1球
82'射门!!!国际米兰球员科瓦契奇大禁区中央头球,被对方守门员横身扑出.给他传球的是伊卡尔迪.                   82'国米第37分钟再丢1球
82'马尔凯蒂将球处理出底线,国际米兰获得角球.                   82'国米第37分钟再丢1球
84'卡纳为拉齐奥赢得一个任意球.                   82'国米第37分钟再丢1球
84'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   82'国米第37分钟再丢1球
85'拉齐奥球员乔杰维奇拼抢犯规,对手获得控球权.                   82'国米第37分钟再丢1球
85'拉诺齐亚为国际米兰赢得一个任意球.                   82'国米第37分钟再丢1球
49'巴斯塔将球处理出底线,国际米兰获得角球.                   48'补时第3分钟，梅德尔外围低射，伊卡尔迪在门前10米处截球射门偏出左门柱，但越位在先
50'克洛泽为拉齐奥在对方半场,赢得一个任意球.                   48'补时第3分钟，梅德尔外围低射，伊卡尔迪在门前10米处截球射门偏出左门柱，但越位在先
50'国际米兰球员德安布罗西奥拼抢犯规,对手获得控球权.                   48'补时第3分钟，梅德尔外围低射，伊卡尔迪在门前10米处截球射门偏出左门柱，但越位在先
50'黄牌！国际米兰球员德安布罗西奥因为恶意犯规,被主裁判出示黄牌.                   48'补时第3分钟，梅德尔外围低射，伊卡尔迪在门前10米处截球射门偏出左门柱，但越位在先
