3'进球啦！！！AC米兰球员梅内斯右脚射门,球从中路偏上飞进球门,球进了! 都灵 0-1 AC米兰.                   3'这是AC米兰近3个客场首球，也是AC米兰本世纪意甲最早的点球破门(3分钟)
4'都灵球员夸利亚雷拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是J-马丁内斯.                   3'这是AC米兰近3个客场首球，也是AC米兰本世纪意甲最早的点球破门(3分钟)
6'AC米兰球员尼昂拼抢犯规,对手获得控球权.                   3'这是AC米兰近3个客场首球，也是AC米兰本世纪意甲最早的点球破门(3分钟)
6'达米安为都灵赢得一个任意球.                   3'这是AC米兰近3个客场首球，也是AC米兰本世纪意甲最早的点球破门(3分钟)
48'蒙托利沃为AC米兰赢得一个任意球.                   47'2分钟后，法尔内鲁德直传禁区左侧，夸利亚雷拉在门前8米处左脚推射又被迭戈-洛佩斯倒地封住角度
48'都灵球员法内鲁德拼抢犯规,对手获得控球权.                   47'2分钟后，法尔内鲁德直传禁区左侧，夸利亚雷拉在门前8米处左脚推射又被迭戈-洛佩斯倒地封住角度
49'都灵球员夸利亚雷拉大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是J-马丁内斯.                   47'2分钟后，法尔内鲁德直传禁区左侧，夸利亚雷拉在门前8米处左脚推射又被迭戈-洛佩斯倒地封住角度
31'都灵球员达米安大禁区中央头球,命中门柱左侧立柱.给他传球的是维维斯.                   31'都灵第31分钟更接近进球，德希利奥绊倒达米安，被黄牌警告，都灵开出任意球，维韦斯挑传禁区左侧，达米安在门前8米处头球击中近门柱
31'都灵球员莫雷蒂大禁区中央尝试左脚射门,可惜皮球稍稍高出球门.                   31'都灵第31分钟更接近进球，德希利奥绊倒达米安，被黄牌警告，都灵开出任意球，维韦斯挑传禁区左侧，达米安在门前8米处头球击中近门柱
33'都灵莫雷蒂受伤倒地,比赛暂停                   31'都灵第31分钟更接近进球，德希利奥绊倒达米安，被黄牌警告，都灵开出任意球，维韦斯挑传禁区左侧，达米安在门前8米处头球击中近门柱
34'暂停结束,球员们重新开始比赛.                   31'都灵第31分钟更接近进球，德希利奥绊倒达米安，被黄牌警告，都灵开出任意球，维韦斯挑传禁区左侧，达米安在门前8米处头球击中近门柱
42'AC米兰球员尼昂拼抢犯规,对手获得控球权.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
42'莫雷蒂为都灵赢得一个任意球.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
42'黄牌！AC米兰球员尼昂因为恶意犯规,被主裁判出示黄牌.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
44'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
44'夸利亚雷拉为都灵赢得一个任意球.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'AC米兰尼昂受伤倒地,比赛暂停                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+1'暂停结束,球员们重新开始比赛.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+2'都灵球员马希莫维奇一脚直塞球给夸利亚雷拉,但是边裁举旗显示后者已经越位.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+3'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+3'达米安为都灵在左路,赢得一个任意球.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+3'AC米兰球员德希利奥因为恶意犯规,被裁判出示了第二张黄牌.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+4'都灵球员格里克大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是法内鲁德.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+5'AC米兰换人,阿巴特换下尼昂                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+6'博纳文图拉为AC米兰在右路,赢得一个任意球.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+6'都灵球员达米安拼抢犯规,对手获得控球权.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
45'+6'上半场结束,都灵 0-1 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，尼昂背后铲倒莫雷蒂，被黄牌警告
55'都灵球员Bruno Peres大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马希莫维奇.                   55'下半时开始10分钟，蒙塔里被波利换下，他在替补席上情绪失控，接过衣服后愤怒地掷到地上
55'AC米兰换人,波利换下蒙塔里                   55'下半时开始10分钟，蒙塔里被波利换下，他在替补席上情绪失控，接过衣服后愤怒地掷到地上
56'都灵球员马希莫维奇手球犯规,对手获得球权.                   55'下半时开始10分钟，蒙塔里被波利换下，他在替补席上情绪失控，接过衣服后愤怒地掷到地上
57'都灵换人,卡杜里换下维维斯                   55'下半时开始10分钟，蒙塔里被波利换下，他在替补席上情绪失控，接过衣服后愤怒地掷到地上
58'AC米兰球员博纳文图拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是波利.                   55'下半时开始10分钟，蒙塔里被波利换下，他在替补席上情绪失控，接过衣服后愤怒地掷到地上
72'射门!!!都灵球员夸利亚雷拉大禁区外右脚射门,被对方守门员横身扑出.给他传球的是J-马丁内斯.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
72'阿尔梅罗为AC米兰赢得一个任意球.                   72'第72分钟，马丁内斯中路直传，夸利亚雷拉在门前20米处转身抽射被迭戈洛佩斯单手托出
