1'罗马球员德罗西拼抢犯规,对手获得控球权.                   1'第1分钟，尤文阵型回收，寻找反击机会，罗马面对密集防守办法不多
1'比达尔为尤文图斯赢得一个任意球.                   1'第1分钟，尤文阵型回收，寻找反击机会，罗马面对密集防守办法不多
2'罗马球员雅尼加-姆比瓦拼抢犯规,对手获得控球权.                   1'第1分钟，尤文阵型回收，寻找反击机会，罗马面对密集防守办法不多
2'莫拉塔为尤文图斯在对方半场,赢得一个任意球.                   1'第1分钟，尤文阵型回收，寻找反击机会，罗马面对密集防守办法不多
6'马诺拉斯将球处理出底线,尤文图斯获得角球.                   3'3分钟后，佩雷拉右路突入禁区低传，马诺拉斯抢在莫拉塔前面解围，险些捅进自家大门
41'尤文图斯球员埃弗拉拼抢犯规,对手获得控球权.                   41'第41分钟，埃弗拉铲倒托罗西迪斯，也吃到黄牌
41'托罗西迪斯为罗马在右路,赢得一个任意球.                   41'第41分钟，埃弗拉铲倒托罗西迪斯，也吃到黄牌
41'黄牌！尤文图斯球员埃弗拉因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，埃弗拉铲倒托罗西迪斯，也吃到黄牌
42'尤文图斯球员特维斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是比达尔.                   41'第41分钟，埃弗拉铲倒托罗西迪斯，也吃到黄牌
42'马诺拉斯将球处理出底线,尤文图斯获得角球.                   41'第41分钟，埃弗拉铲倒托罗西迪斯，也吃到黄牌
50'尤文图斯球员比达尔大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是佩雷拉.                   50'下半时开始5分钟，佩雷拉中路断球反击分球，比达尔左侧禁区边缘低射偏出远门柱
51'尤文图斯球员利希施泰纳大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是马尔基西奥.                   50'下半时开始5分钟，佩雷拉中路断球反击分球，比达尔左侧禁区边缘低射偏出远门柱
62'比达尔为尤文图斯在对方半场,赢得一个任意球.                   62'第62分钟突现变故，特维斯直塞，比达尔左侧禁区前沿倒地，奥尔萨托吹托罗西迪斯绊人犯规并亮出黄牌，托罗西迪斯两黄下场
62'罗马球员托罗西迪斯拼抢犯规,对手获得控球权.                   62'第62分钟突现变故，特维斯直塞，比达尔左侧禁区前沿倒地，奥尔萨托吹托罗西迪斯绊人犯规并亮出黄牌，托罗西迪斯两黄下场
62'罗马球员托罗西迪斯因为恶意犯规,被裁判出示了第二张黄牌.                   62'第62分钟突现变故，特维斯直塞，比达尔左侧禁区前沿倒地，奥尔萨托吹托罗西迪斯绊人犯规并亮出黄牌，托罗西迪斯两黄下场
