2'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   1'第1分钟，客场作战的恩波利并不保守
2'鲁伊为恩波利赢得一个任意球.                   1'第1分钟，客场作战的恩波利并不保守
4'射门!!!尤文图斯球员特维斯大禁区外右脚射门,被对方守门员横身扑出.                   1'第1分钟，客场作战的恩波利并不保守
9'维奇诺将球处理出底线,尤文图斯获得角球.                   9'第9分钟，尤文开出角球，帕多因左路传中，博努奇头球稍稍高出
9'尤文图斯球员博努奇大禁区中央尝试头球,可惜皮球高出球门.给他传球的是帕多因.                   9'第9分钟，尤文开出角球，帕多因左路传中，博努奇头球稍稍高出
11'恩波利球员鲁加尼拼抢犯规,对手获得控球权.                   9'第9分钟，尤文开出角球，帕多因左路传中，博努奇头球稍稍高出
11'斯图若多为尤文图斯在左路,赢得一个任意球.                   9'第9分钟，尤文开出角球，帕多因左路传中，博努奇头球稍稍高出
24'尤文图斯球员斯图若多大禁区右侧左脚射门,被防守球员封堵.给他传球的是特维斯.                   24'第24分钟，利希施泰纳右路传中，比达尔顶偏
24'尤文图斯球员比达尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是利希施泰纳.                   24'第24分钟，利希施泰纳右路传中，比达尔顶偏
40'尤文图斯球员巴尔扎利一脚直塞球给埃弗拉,但是边裁举旗显示后者已经越位.                   40'第40分钟，萨波纳拉中路反击分球，马卡罗内禁区右侧射门偏出
40'恩波利球员马卡罗内大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是萨波纳拉.                   40'第40分钟，萨波纳拉中路反击分球，马卡罗内禁区右侧射门偏出
42'恩波利球员塞佩拼抢犯规,对手获得控球权.                   40'第40分钟，萨波纳拉中路反击分球，马卡罗内禁区右侧射门偏出
42'为尤文图斯在对方半场,赢得一个任意球.                   40'第40分钟，萨波纳拉中路反击分球，马卡罗内禁区右侧射门偏出
43'进球啦！！！尤文图斯球员特维斯大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是比达尔. 尤文图斯 1-0 恩波利.                   40'第40分钟，萨波纳拉中路反击分球，马卡罗内禁区右侧射门偏出
51'恩波利球员维奇诺拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，瓦尔迪菲奥里勾传，普恰雷利头球被布冯托出底线
51'埃弗拉为尤文图斯赢得一个任意球.                   51'下半时开始6分钟，瓦尔迪菲奥里勾传，普恰雷利头球被布冯托出底线
51'射门!!!恩波利球员Manuel Pucciarelli大禁区中央头球,被对方守门员横身扑出.给他传球的是Mirko Valdifiori.                   51'下半时开始6分钟，瓦尔迪菲奥里勾传，普恰雷利头球被布冯托出底线
51'布冯将球处理出底线,恩波利获得角球.                   51'下半时开始6分钟，瓦尔迪菲奥里勾传，普恰雷利头球被布冯托出底线
54'Mirko Valdifiori为恩波利在对方半场,赢得一个任意球.                   51'下半时开始6分钟，瓦尔迪菲奥里勾传，普恰雷利头球被布冯托出底线
54'尤文图斯球员洛伦特拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，瓦尔迪菲奥里勾传，普恰雷利头球被布冯托出底线
69'射门!!!恩波利球员Daniele Croce大禁区右侧右脚射门,被对方守门员横身扑出.                   69'布冯第69分钟力保球门不失，萨波纳拉直传，普恰雷利获得单刀，布冯奋力出击将球扑出，并将普恰雷利带倒在地，主裁判贾科梅利认定没有犯规
72'尤文图斯球员埃弗拉球门左侧小角度左脚射门,被防守球员封堵.                   69'布冯第69分钟力保球门不失，萨波纳拉直传，普恰雷利获得单刀，布冯奋力出击将球扑出，并将普恰雷利带倒在地，主裁判贾科梅利认定没有犯规
72'鲁加尼将球处理出底线,尤文图斯获得角球.                   69'布冯第69分钟力保球门不失，萨波纳拉直传，普恰雷利获得单刀，布冯奋力出击将球扑出，并将普恰雷利带倒在地，主裁判贾科梅利认定没有犯规
49'恩波利球员维奇诺大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是马卡罗内.                   49'补时第4分钟，佩雷拉传球，特维斯扣过两名后卫，在门前13米处左脚推射被塞佩扑出，佩雷拉左侧补射推入近角，2比0
50'射门!!!恩波利球员萨波纳拉大禁区左侧左脚射门,被对方守门员横身扑出.                   49'补时第4分钟，佩雷拉传球，特维斯扣过两名后卫，在门前13米处左脚推射被塞佩扑出，佩雷拉左侧补射推入近角，2比0
51'恩波利球员维奇诺拼抢犯规,对手获得控球权.                   49'补时第4分钟，佩雷拉传球，特维斯扣过两名后卫，在门前13米处左脚推射被塞佩扑出，佩雷拉左侧补射推入近角，2比0
51'埃弗拉为尤文图斯赢得一个任意球.                   49'补时第4分钟，佩雷拉传球，特维斯扣过两名后卫，在门前13米处左脚推射被塞佩扑出，佩雷拉左侧补射推入近角，2比0
51'射门!!!恩波利球员Manuel Pucciarelli大禁区中央头球,被对方守门员横身扑出.给他传球的是Mirko Valdifiori.                   49'补时第4分钟，佩雷拉传球，特维斯扣过两名后卫，在门前13米处左脚推射被塞佩扑出，佩雷拉左侧补射推入近角，2比0
51'布冯将球处理出底线,恩波利获得角球.                   49'补时第4分钟，佩雷拉传球，特维斯扣过两名后卫，在门前13米处左脚推射被塞佩扑出，佩雷拉左侧补射推入近角，2比0
