13'桑普多利亚球员奥卡卡拼抢犯规,对手获得控球权.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
13'安东内利为AC米兰赢得一个任意球.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
13'AC米兰球员阿巴特大禁区右侧左脚射门,被防守球员封堵.给他传球的是德斯特罗.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
13'埃托奥为桑普多利亚赢得一个任意球.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
13'AC米兰球员帕莱塔拼抢犯规,对手获得控球权.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
14'射门!!!AC米兰球员Marco Van Ginkel大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博纳文图拉.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
15'维维亚诺将球处理出底线,AC米兰获得角球.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
15'AC米兰球员帕莱塔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是切尔奇.                   12'开场12分钟，埃托奥在门前30米处抽射被迭戈-洛佩斯向右倒地没收
22'桑普多利亚球员埃托奥大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
23'AC米兰球员梅内斯大禁区外右脚射门,被防守球员封堵.给他传球的是博纳文图拉.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
24'桑普多利亚球员索里亚诺拼抢犯规,对手获得控球权.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
24'德容为AC米兰在左路,赢得一个任意球.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
24'桑普多利亚球员埃托奥大禁区外右脚射门,被防守球员封堵.给他传球的是奥卡卡.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
25'桑普多利亚球员德西尔维斯特里拼抢犯规,对手获得控球权.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
25'博纳文图拉为AC米兰赢得一个任意球.                   22'第22分钟，埃托奥在门前25米处大力抽射稍偏出右门柱
53'射门!!!桑普多利亚球员埃德尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是帕隆博.                   53'下半时开始8分钟，埃托奥开任意球，帕隆博停给埃德，埃德大力抽射被迭戈-洛佩斯扑出底线
53'洛佩兹将球处理出底线,桑普多利亚获得角球.                   53'下半时开始8分钟，埃托奥开任意球，帕隆博停给埃德，埃德大力抽射被迭戈-洛佩斯扑出底线
55'桑普多利亚球员索里亚诺大禁区外左脚射门,被防守球员封堵.给他传球的是Pedro Obiang.                   53'下半时开始8分钟，埃托奥开任意球，帕隆博停给埃德，埃德大力抽射被迭戈-洛佩斯扑出底线
55'桑普多利亚球员帕隆博拼抢犯规,对手获得控球权.                   53'下半时开始8分钟，埃托奥开任意球，帕隆博停给埃德，埃德大力抽射被迭戈-洛佩斯扑出底线
55'梅内斯为AC米兰赢得一个任意球.                   53'下半时开始8分钟，埃托奥开任意球，帕隆博停给埃德，埃德大力抽射被迭戈-洛佩斯扑出底线
74'维维亚诺将球处理出底线,AC米兰获得角球.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
74'AC米兰球员梅克斯大禁区中央头球,被防守球员封堵.给他传球的是博纳文图拉.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
74'邓肯将球处理出底线,AC米兰获得角球.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
74'进球啦！！！AC米兰球员德容大禁区中央右脚射门,球从左下角飞进球门,球进了! AC米兰 1-1 桑普多利亚.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
75'德西尔维斯特里为桑普多利亚赢得一个任意球.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
75'AC米兰球员德容拼抢犯规,对手获得控球权.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
76'AC米兰德斯特罗受伤倒地,比赛暂停                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
77'暂停结束,球员们重新开始比赛.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
77'AC米兰换人,帕齐尼上,德斯特罗因伤下场.                   74'第74分钟，博纳文图拉右侧开出角球，梅克斯前点头球攻门，守在近门柱的邓肯挡出底线，博纳文图拉再开角球，德容在门前9米处倒钩射门，球被邓肯伸腿一挡变线入左下角，1比1，德容本赛季联赛打进3球，相当于此前4个赛季总进球
83'AC米兰球员苏索大禁区右侧左脚射门,命中门柱左侧立柱.给他传球的是梅内斯.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
83'L-穆里尔为桑普多利亚在对方半场,赢得一个任意球.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
83'AC米兰球员德容拼抢犯规,对手获得控球权.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
83'黄牌！AC米兰球员德容因为恶意犯规,被主裁判出示黄牌.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
84'桑普多利亚球员Pedro Obiang拼抢犯规,对手获得控球权.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
84'安东内利为AC米兰赢得一个任意球.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
85'AC米兰球员帕齐尼大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是德希利奥.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
86'邓肯将球处理出底线,AC米兰获得角球.                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
86'桑普多利亚德西尔维斯特里受伤倒地,比赛暂停                   83'AC米兰第83分钟险些反超，苏索接到梅内传球，禁区右角左脚小角度弧线球击中远门柱
