9'AC米兰球员德希利奥一脚直塞球给梅内斯,但是边裁举旗显示后者已经越位.                   9'开场9分钟，鲁伊外围抽射偏出
9'恩波利球员鲁伊大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Daniele Croce.                   9'开场9分钟，鲁伊外围抽射偏出
10'Vincent Laurini将球处理出底线,AC米兰获得角球.                   9'开场9分钟，鲁伊外围抽射偏出
12'阿巴特将球处理出底线,恩波利获得角球.                   9'开场9分钟，鲁伊外围抽射偏出
46'射门!!!恩波利球员威尔第大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Manuel Pucciarelli.                   46'1分钟后，鲁伊左路下底回传，普恰雷利前点左脚推射被阿比亚蒂封出近角
47'AC米兰球员博纳文图拉拼抢犯规,对手获得控球权.                   46'1分钟后，鲁伊左路下底回传，普恰雷利前点左脚推射被阿比亚蒂封出近角
47'鲁伊为恩波利赢得一个任意球.                   46'1分钟后，鲁伊左路下底回传，普恰雷利前点左脚推射被阿比亚蒂封出近角
48'德希利奥为AC米兰在左路,赢得一个任意球.                   46'1分钟后，鲁伊左路下底回传，普恰雷利前点左脚推射被阿比亚蒂封出近角
48'恩波利球员Vincent Laurini拼抢犯规,对手获得控球权.                   46'1分钟后，鲁伊左路下底回传，普恰雷利前点左脚推射被阿比亚蒂封出近角
21'进球啦！！！恩波利球员Manuel Pucciarelli大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是塔瓦诺. 恩波利 2-0 AC米兰.                   21'第21分钟，恩波利任意球直传禁区右侧，塔瓦诺背身外脚背做球，普恰雷利在门前9米处铲进右下角，2比0
22'AC米兰球员梅内斯一脚直塞球给阿巴特,但是边裁举旗显示后者已经越位.                   21'第21分钟，恩波利任意球直传禁区右侧，塔瓦诺背身外脚背做球，普恰雷利在门前9米处铲进右下角，2比0
23'博内拉为AC米兰赢得一个任意球.                   21'第21分钟，恩波利任意球直传禁区右侧，塔瓦诺背身外脚背做球，普恰雷利在门前9米处铲进右下角，2比0
