4'马罗内为维罗纳赢得一个任意球.                   1'第1分钟，两队传球失误率都比较高
4'国际米兰球员埃德拼抢犯规,对手获得控球权.                   1'第1分钟，两队传球失误率都比较高
8'莫拉斯将球处理出底线,国际米兰获得角球.                   8'国米第8分钟取得领先
8'莫拉斯将球处理出底线,国际米兰获得角球.                   8'国米第8分钟取得领先
8'进球啦！！！国际米兰球员穆利洛大禁区中央头球,球从右下角飞进球门,球进了!助攻的是布罗佐维奇. 维罗纳 0-1 国际米兰.                   8'国米第8分钟取得领先
10'维罗纳球员帕齐尼大禁区右侧右脚射门,被防守球员封堵.给他传球的是皮萨诺.                   8'国米第8分钟取得领先
10'梅洛将球处理出底线,维罗纳获得角球.                   8'国米第8分钟取得领先
11'托尼为维罗纳赢得一个任意球.                   8'国米第8分钟取得领先
11'国际米兰球员胡安拼抢犯规,对手获得控球权.                   8'国米第8分钟取得领先
15'Artur Ionita为维罗纳在对方半场,赢得一个任意球.                   15'这是国米本赛季联赛首次前15分钟进球
15'国际米兰球员梅洛拼抢犯规,对手获得控球权.                   15'这是国米本赛季联赛首次前15分钟进球
16'进球啦！！！维罗纳球员皮萨诺大禁区中央头球,球从右下角飞进球门,球进了!助攻的是马罗内. 维罗纳 2-1 国际米兰.                   15'这是国米本赛季联赛首次前15分钟进球
18'维罗纳球员帕齐尼拼抢犯规,对手获得控球权.                   15'这是国米本赛季联赛首次前15分钟进球
18'Alex Telles为国际米兰赢得一个任意球.                   15'这是国米本赛季联赛首次前15分钟进球
59'维罗纳球员法瑞斯 拼抢犯规,对手获得控球权.                   58'第13分钟，马罗内左侧开出角球，赫兰德在门前5米处甩头顶进远角，1比1，这同样是维罗纳本赛季联赛首次前15分钟破门
59'帕拉西奥为国际米兰赢得一个任意球.                   58'第13分钟，马罗内左侧开出角球，赫兰德在门前5米处甩头顶进远角，1比1，这同样是维罗纳本赛季联赛首次前15分钟破门
59'黄牌！维罗纳球员法瑞斯 因为恶意犯规,被主裁判出示黄牌.                   58'第13分钟，马罗内左侧开出角球，赫兰德在门前5米处甩头顶进远角，1比1，这同样是维罗纳本赛季联赛首次前15分钟破门
60'维罗纳换人,吉尔伯托换下法瑞斯                    58'第13分钟，马罗内左侧开出角球，赫兰德在门前5米处甩头顶进远角，1比1，这同样是维罗纳本赛季联赛首次前15分钟破门
61'进球啦！！！国际米兰球员伊卡尔迪大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是佩里西奇. 维罗纳 3-2 国际米兰.                   58'第13分钟，马罗内左侧开出角球，赫兰德在门前5米处甩头顶进远角，1比1，这同样是维罗纳本赛季联赛首次前15分钟破门
57'进球啦！！！维罗纳球员Artur Ionita大禁区中央头球,球从左下角飞进球门,球进了!助攻的是马罗内. 维罗纳 3-1 国际米兰.                   57'维罗纳第57分钟又下一城
59'维罗纳球员法瑞斯 拼抢犯规,对手获得控球权.                   57'维罗纳第57分钟又下一城
59'帕拉西奥为国际米兰赢得一个任意球.                   57'维罗纳第57分钟又下一城
59'黄牌！维罗纳球员法瑞斯 因为恶意犯规,被主裁判出示黄牌.                   57'维罗纳第57分钟又下一城
60'维罗纳换人,吉尔伯托换下法瑞斯                    57'维罗纳第57分钟又下一城
61'进球啦！！！国际米兰球员伊卡尔迪大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是佩里西奇. 维罗纳 3-2 国际米兰.                   61'国米第61分钟追回一分，佩里希奇左路送出地滚球，伊卡尔迪在门前7米处捅射入左上角，2比3
64'维罗纳球员阿尔贝塔齐拼抢犯规,对手获得控球权.                   61'国米第61分钟追回一分，佩里希奇左路送出地滚球，伊卡尔迪在门前7米处捅射入左上角，2比3
64'帕拉西奥为国际米兰在对方半场,赢得一个任意球.                   61'国米第61分钟追回一分，佩里希奇左路送出地滚球，伊卡尔迪在门前7米处捅射入左上角，2比3
78'进球啦！！！国际米兰球员佩里西奇小禁区左侧左脚射门,球从左下角飞进球门,球进了!助攻的是帕拉西奥. 维罗纳 3-3 国际米兰.                   78'国米第78分钟追平
79'维罗纳球员吉尔伯托拼抢犯规,对手获得控球权.                   78'国米第78分钟追平
79'孔多比亚为国际米兰赢得一个任意球.                   78'国米第78分钟追平
79'帕齐尼为维罗纳赢得一个任意球.                   78'国米第78分钟追平
79'国际米兰球员孔多比亚拼抢犯规,对手获得控球权.                   78'国米第78分钟追平
80'射门!!!维罗纳球员吉尔伯托大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Juanito Gómez.                   78'国米第78分钟追平
81'沃佐雷克将球处理出底线,国际米兰获得角球.                   78'国米第78分钟追平
81'维罗纳换人,罗慕洛换下沃佐雷克                   78'国米第78分钟追平
85'维罗纳球员吉尔伯托球门左侧小角度右脚射门,命中门柱左侧立柱.                   85'维罗纳第85分钟几乎再度超出，吉尔伯托左侧底线趟过比亚比亚尼，切入禁区小角度低射击中近门柱外侧
86'国际米兰球员布罗佐维奇一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   85'维罗纳第85分钟几乎再度超出，吉尔伯托左侧底线趟过比亚比亚尼，切入禁区小角度低射击中近门柱外侧
87'维罗纳球员罗慕洛大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是马罗内.                   85'维罗纳第85分钟几乎再度超出，吉尔伯托左侧底线趟过比亚比亚尼，切入禁区小角度低射击中近门柱外侧
87'国际米兰球员伊卡尔迪大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是比亚比亚尼.                   85'维罗纳第85分钟几乎再度超出，吉尔伯托左侧底线趟过比亚比亚尼，切入禁区小角度低射击中近门柱外侧
