3'蒙托利沃将球处理出底线,那不勒斯获得角球.                   1'第1分钟，AC米兰处于守势，但几次反击颇具威胁
22'博纳文图拉为AC米兰在对方半场,赢得一个任意球.                   20'那不勒斯第20分钟险些破门，阿兰直塞禁区右侧，伊瓜因在门前9米处斜射碰萨帕塔腿部偏出远门柱
22'那不勒斯球员约尔吉尼奥拼抢犯规,对手获得控球权.                   20'那不勒斯第20分钟险些破门，阿兰直塞禁区右侧，伊瓜因在门前9米处斜射碰萨帕塔腿部偏出远门柱
23'AC米兰球员本田圭佑拼抢犯规,对手获得控球权.                   20'那不勒斯第20分钟险些破门，阿兰直塞禁区右侧，伊瓜因在门前9米处斜射碰萨帕塔腿部偏出远门柱
23'古拉姆为那不勒斯赢得一个任意球.                   20'那不勒斯第20分钟险些破门，阿兰直塞禁区右侧，伊瓜因在门前9米处斜射碰萨帕塔腿部偏出远门柱
35'那不勒斯球员卡列洪大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊瓜因.                   35'第35分钟，伊瓜因左路斜塞禁区，卡列洪快速插到前门柱捅射被阿巴特铲出底线
36'那不勒斯球员伊瓜因大禁区中央左脚射门,被防守球员封堵.给他传球的是卡列洪.                   35'第35分钟，伊瓜因左路斜塞禁区，卡列洪快速插到前门柱捅射被阿巴特铲出底线
36'阿巴特将球处理出底线,那不勒斯获得角球.                   35'第35分钟，伊瓜因左路斜塞禁区，卡列洪快速插到前门柱捅射被阿巴特铲出底线
36'库奇卡为AC米兰赢得一个任意球.                   35'第35分钟，伊瓜因左路斜塞禁区，卡列洪快速插到前门柱捅射被阿巴特铲出底线
36'那不勒斯球员库利巴利拼抢犯规,对手获得控球权.                   35'第35分钟，伊瓜因左路斜塞禁区，卡列洪快速插到前门柱捅射被阿巴特铲出底线
38'安东内利将球处理出底线,那不勒斯获得角球.                   35'第35分钟，伊瓜因左路斜塞禁区，卡列洪快速插到前门柱捅射被阿巴特铲出底线
39'进球啦！！！那不勒斯球员因西涅大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是古拉姆. 那不勒斯 1-0 AC米兰.                   39'那不勒斯第39分钟取得领先
40'AC米兰球员尼昂拼抢犯规,对手获得控球权.                   39'那不勒斯第39分钟取得领先
40'阿尔比奥尔为那不勒斯赢得一个任意球.                   39'那不勒斯第39分钟取得领先
41'那不勒斯阿尔比奥尔受伤倒地,比赛暂停                   39'那不勒斯第39分钟取得领先
41'暂停结束,球员们重新开始比赛.                   39'那不勒斯第39分钟取得领先
51'AC米兰球员博纳文图拉拼抢犯规,对手获得控球权.                   49'但仅过4分钟，AC米兰就扳平比分
51'约尔吉尼奥为那不勒斯在右路,赢得一个任意球.                   49'但仅过4分钟，AC米兰就扳平比分
52'那不勒斯球员Elseid Hysaj大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是哈姆西克.                   49'但仅过4分钟，AC米兰就扳平比分
67'那不勒斯球员默滕斯大禁区外右脚射门,被防守球员封堵.                   67'下半时开始后波澜不惊，梅尔滕斯换下卡列洪，第67分钟险些超出比分
67'那不勒斯球员默滕斯大禁区右侧右脚射门,命中门柱左侧立柱.给他传球的是Elseid Hysaj.                   67'下半时开始后波澜不惊，梅尔滕斯换下卡列洪，第67分钟险些超出比分
67'巴卡将球处理出底线,那不勒斯获得角球.                   67'下半时开始后波澜不惊，梅尔滕斯换下卡列洪，第67分钟险些超出比分
69'博纳文图拉为AC米兰赢得一个任意球.                   67'下半时开始后波澜不惊，梅尔滕斯换下卡列洪，第67分钟险些超出比分
69'那不勒斯球员Elseid Hysaj拼抢犯规,对手获得控球权.                   67'下半时开始后波澜不惊，梅尔滕斯换下卡列洪，第67分钟险些超出比分
