39'米兰前场拿球到了禁区内                   39'第39分钟，约维蒂奇左侧禁区前沿低射偏出远门柱
39'库奇卡准备打门被干扰                   39'第39分钟，约维蒂奇左侧禁区前沿低射偏出远门柱
39'约维蒂奇禁区外围又是突施冷剑                   39'第39分钟，约维蒂奇左侧禁区前沿低射偏出远门柱
39'这球直奔球门上角飞去                   39'第39分钟，约维蒂奇左侧禁区前沿低射偏出远门柱
39'还是差了那么一点点                   39'第39分钟，约维蒂奇左侧禁区前沿低射偏出远门柱
42'蒙托利沃前场有一个阻挡                   39'第39分钟，约维蒂奇左侧禁区前沿低射偏出远门柱
50'下半场开始后，两队的节奏并不开                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
50'迭戈-洛佩斯后场拿球有些犹豫                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
50'约维蒂奇禁区内拿球晃开角度打门                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
50'球还是被后卫封堵                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
50'巴卡拿球给到禁区内                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
50'博纳文图拉拿球没有办法转身                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
50'叫回到禁区外围                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
51'蒙托利沃远射将球打偏                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
53'巴卡右路带球突破                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
53'禁区边缘的回敲给到禁区弧顶                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
53'队友的打门打在后卫身上折射出了底线                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
53'米兰的角球机会                   50'下半时开始5分钟，迭戈-洛佩斯在伊卡尔迪紧逼下解围不远，约维蒂奇断球横趟距门14米处射门被罗马尼奥利封堵
58'国米进球了！！                   57'国米第57分钟打破僵局
58'瓜林！！                   57'国米第57分钟打破僵局
59'国米中场拿球直塞给到瓜林，瓜林拿球后一扣直接到了禁区弧顶，冷射一脚将球打进，迭戈-洛佩斯没有碰到球！                   57'国米第57分钟打破僵局
59'看看AC米兰接下来怎么调整                   57'国米第57分钟打破僵局
78'巴洛特利禁区外围打远射                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
78'球击中立柱的外侧出了底线！！                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
78'这球也是比较的可惜啊                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
79'孔多比亚斜传球送禁区                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
79'米兰拿到第一点                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
80'米兰左路送直塞                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
80'本田圭佑没有追上                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
80'切尔奇准备要上场                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
81'波利前场传球                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
81'国米这绕前的防守将球先解围                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
81'AC米兰换人，本田圭佑下，切尔奇上！                   78'巴洛特利第78分钟几乎追平，接应本田圭佑左路回敲，在门前26米处拔脚怒射击中近门柱底部
