2'乌迪内斯球员B-费尔南德斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是库兹曼诺维奇.                   1'赛前为当天逝世的老马尔蒂尼鼓掌1分钟，他就出生在弗留利地区
3'那不勒斯球员约尔吉尼奥拼抢犯规,对手获得控球权.                   1'赛前为当天逝世的老马尔蒂尼鼓掌1分钟，他就出生在弗留利地区
3'库兹曼诺维奇为乌迪内斯赢得一个任意球.                   1'赛前为当天逝世的老马尔蒂尼鼓掌1分钟，他就出生在弗留利地区
3'乌迪内斯球员巴杜一脚直塞球给泰罗,但是边裁举旗显示后者已经越位.                   1'赛前为当天逝世的老马尔蒂尼鼓掌1分钟，他就出生在弗留利地区
24'进球啦！！！那不勒斯球员伊瓜因大禁区外右脚射门,球从右上角飞进球门,球进了! 乌迪内斯 1-1 那不勒斯.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
25'点球,Silvan Widmer在禁区内被侵犯,乌迪内斯获得点球.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
25'那不勒斯球员古拉姆犯规,致使对方获得点球.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
25'黄牌！那不勒斯球员古拉姆因为恶意犯规,被主裁判出示黄牌.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
26'乌迪内斯球员B-费尔南德斯点球被对方守门员扑出.点球罚失.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
26'射门!!!乌迪内斯球员菲利佩大禁区中央左脚射门,被对方守门员横身扑出.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
27'阿尔梅罗为乌迪内斯赢得一个任意球.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
27'那不勒斯球员卡列洪拼抢犯规,对手获得控球权.                   24'那不勒斯第24分钟扳平比分，卡列洪插到防线身后接应过顶球，禁区右侧小角度凌空射门被挡出，伊瓜因禁区前沿迎球抽射挂右上角，1比1，这是他100场意甲第65球，成为1956年以来第2位意甲单赛季达到30球的射手，2005-06赛季托尼(佛罗伦萨)打进31球
57'进球啦！！！乌迪内斯球员泰罗大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是Silvan Widmer. 乌迪内斯 3-1 那不勒斯.                   57'下半时开始12分钟，威德默右路传中，泰雷奥在门前6米处飞身凌空垫射破门，3比1
58'那不勒斯换人,默滕斯换下卡列洪                   57'下半时开始12分钟，威德默右路传中，泰雷奥在门前6米处飞身凌空垫射破门，3比1
60'乌迪内斯Duván Zapata受伤倒地,比赛暂停                   57'下半时开始12分钟，威德默右路传中，泰雷奥在门前6米处飞身凌空垫射破门，3比1
60'暂停结束,球员们重新开始比赛.                   57'下半时开始12分钟，威德默右路传中，泰雷奥在门前6米处飞身凌空垫射破门，3比1
77'那不勒斯受伤倒地,比赛暂停                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
77'暂停结束,球员们重新开始比赛.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
78'Silvan Widmer为乌迪内斯在右路,赢得一个任意球.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
78'那不勒斯球员古拉姆拼抢犯规,对手获得控球权.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
79'乌迪内斯球员B-费尔南德斯拼抢犯规,对手获得控球权.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
79'卡杜里为那不勒斯赢得一个任意球.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
79'黄牌！乌迪内斯球员B-费尔南德斯因为恶意犯规,被主裁判出示黄牌.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
79'乌迪内斯球员Silvan Widmer拼抢犯规,对手获得控球权.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
79'默滕斯为那不勒斯在左路,赢得一个任意球.                   76'那不勒斯第76分钟雪上加霜，费利佩后场倒地，主裁判认定伊瓜因脚下犯规，向他出示第2张黄牌
