3'AC米兰球员博纳文图拉手球犯规,对手获得球权.                   1'第1分钟节奏较快，巴洛特利左侧距门25米处主罚任意球偏出近门柱
4'桑普多利亚球员西尔维斯特雷拼抢犯规,对手获得控球权.                   1'第1分钟节奏较快，巴洛特利左侧距门25米处主罚任意球偏出近门柱
4'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   1'第1分钟节奏较快，巴洛特利左侧距门25米处主罚任意球偏出近门柱
25'桑普多利亚球员费尔南多大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德西尔维斯特里.                   25'桑普第25分钟进球无效，德西尔维斯特里右路传中，费尔南多前点距门12米处将球挑起倒钩射门，多多后门柱边推进空门，但就在桑普队员庆祝时，助理裁判举旗示意越位，主裁判瓦莱里判进球无效，桑普队员和主帅蒙特拉非常不满
25'桑普多利亚球员夸利亚雷拉一脚直塞球给多多,但是边裁举旗显示后者已经越位.                   25'桑普第25分钟进球无效，德西尔维斯特里右路传中，费尔南多前点距门12米处将球挑起倒钩射门，多多后门柱边推进空门，但就在桑普队员庆祝时，助理裁判举旗示意越位，主裁判瓦莱里判进球无效，桑普队员和主帅蒙特拉非常不满
26'AC米兰多纳鲁马受伤倒地,比赛暂停                   25'桑普第25分钟进球无效，德西尔维斯特里右路传中，费尔南多前点距门12米处将球挑起倒钩射门，多多后门柱边推进空门，但就在桑普队员庆祝时，助理裁判举旗示意越位，主裁判瓦莱里判进球无效，桑普队员和主帅蒙特拉非常不满
26'暂停结束,球员们重新开始比赛.                   25'桑普第25分钟进球无效，德西尔维斯特里右路传中，费尔南多前点距门12米处将球挑起倒钩射门，多多后门柱边推进空门，但就在桑普队员庆祝时，助理裁判举旗示意越位，主裁判瓦莱里判进球无效，桑普队员和主帅蒙特拉非常不满
27'西尔维斯特雷为桑普多利亚赢得一个任意球.                   25'桑普第25分钟进球无效，德西尔维斯特里右路传中，费尔南多前点距门12米处将球挑起倒钩射门，多多后门柱边推进空门，但就在桑普队员庆祝时，助理裁判举旗示意越位，主裁判瓦莱里判进球无效，桑普队员和主帅蒙特拉非常不满
27'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   25'桑普第25分钟进球无效，德西尔维斯特里右路传中，费尔南多前点距门12米处将球挑起倒钩射门，多多后门柱边推进空门，但就在桑普队员庆祝时，助理裁判举旗示意越位，主裁判瓦莱里判进球无效，桑普队员和主帅蒙特拉非常不满
71'进球啦！！！AC米兰球员巴卡大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是博纳文图拉. 桑普多利亚 0-1 AC米兰.                   71'AC米兰第71分钟打破僵局
72'桑普多利亚球员费尔南多被主裁判出示了一张黄牌.                   71'AC米兰第71分钟打破僵局
72'桑普多利亚多多受伤倒地,比赛暂停                   71'AC米兰第71分钟打破僵局
73'暂停结束,球员们重新开始比赛.                   71'AC米兰第71分钟打破僵局
73'费尔南多为桑普多利亚在右路,赢得一个任意球.                   71'AC米兰第71分钟打破僵局
73'AC米兰球员波利拼抢犯规,对手获得控球权.                   71'AC米兰第71分钟打破僵局
74'桑普多利亚球员德西尔维斯特里被主裁判出示了一张黄牌.                   71'AC米兰第71分钟打破僵局
74'黄牌！AC米兰球员波利因为恶意犯规,被主裁判出示黄牌.                   71'AC米兰第71分钟打破僵局
