1'上半场比赛开始！！                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
1'首先开球的是尤文                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
1'尤文前场拿球给到边路                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
1'曼朱基奇停球被断                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
1'尤文后场长传                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
1'这球给的稍微有点高                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
2'伊瓜因前场接球先越位                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
2'尤文这边获得角球                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
2'角球送前点                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'第一点被萨索洛顶出来                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'尤文右路拿球被断                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'萨索洛这边反击的机会                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'中场的推进速度很快                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'送直塞                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'波利塔诺没有接到                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
3'曼朱基奇中场拿球控一下                   1'第1分钟，夸德拉多右路突破传中，伊瓜因禁区边缘打高
2'伊瓜因前场接球先越位                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
2'尤文这边获得角球                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
2'角球送前点                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'第一点被萨索洛顶出来                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'尤文右路拿球被断                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'萨索洛这边反击的机会                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'中场的推进速度很快                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'送直塞                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'波利塔诺没有接到                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
3'曼朱基奇中场拿球控一下                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
5'比赛的节奏并不是很快                   2'2伊瓜因第21分钟几乎梅开二度，基耶利尼后场长传，曼朱基奇左路低传，伊瓜因在门前12米处推射滑出右门柱
54'迪巴拉禁区外围远射打在了立柱上！！                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
54'迪巴拉打门的瞬间也是滑倒了                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
54'萨索洛中场长传                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
55'马特里没有拿到                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
55'尤文左路突破进来                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
55'传到中路先被解围                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
55'夸德拉多换到右路来拿球                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
55'边路的传球落点不好                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
57'萨索洛这边控制着球权                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
57'但是并不能传到禁区里                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
57'尤文这边反击的机会                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
57'曼朱基奇左路突破上来                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
57'禁区内一扣在一拨被迫害                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
57'禁区内一扣在一拨被破坏                   54'尤文第54分钟错过进球，夸德拉多右路内切回传，迪巴拉禁区弧顶左脚抽射击中右门柱弹回
