1'上半场比赛开始！！                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
1'尤文图斯（4-4-2）：  门将：布冯  后卫：赫韦德斯、贝纳迪亚、基耶利尼、阿萨莫阿  中场：科斯塔、赫迪拉、皮亚尼奇、马图伊迪  前锋：迪巴拉、伊瓜因                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
1'那不勒斯（4-3-3）：  门将：雷纳  后卫：希萨伊、阿尔比奥尔、库利巴利、马里奥-鲁伊  中场：阿兰、若日尼奥、哈姆西克  前锋：卡列洪、默尔滕斯、因西涅                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
2'上半场比赛由那不勒斯首先开球                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
3'那不勒斯右路传球给到禁区                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
3'前点被破坏出来                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
17'任意球直接打门！！！                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
17'打向了远门柱                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
17'球碰到后卫身上出了底线                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
17'尤文的角球                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
17'角球送后点                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
17'凌空打门                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
17'一个反弹球                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
18'卡列洪头球顶出底线                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
18'尤文这边继续角球                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
18'短角球开出                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
18'右路起球送后点                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
18'直接出界了                   17'尤文第17分钟险些破门，皮亚尼奇左路主罚任意球似传似射，球在前点蹭卡列洪击中远门柱弹出
73'卡列洪的打门被布冯扑出！！                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
73'这球裁判似乎吹了一个越位                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
73'卡列洪这脚打门也是考验了一下布冯                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
74'那不勒斯中场拿球                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
