1'上半场比赛开始！                   1'第1分钟两队都比较谨慎
1'上半场由AC米兰率先中圈开球                   1'第1分钟两队都比较谨慎
1'博里尼的斜传，给大了                   1'第1分钟两队都比较谨慎
1'国际米兰的控球                   1'第1分钟两队都比较谨慎
1'米兰达后场长传前场左路，球直接飞出边线                   1'第1分钟两队都比较谨慎
2'国际米兰后场控球，米兰达交给长友佑都                   1'第1分钟两队都比较谨慎
2'长传上来，被博努奇将球踢出边线                   1'第1分钟两队都比较谨慎
2'长友佑都掷界外球                   1'第1分钟两队都比较谨慎
2'米兰达交给什克里尼亚尔                   1'第1分钟两队都比较谨慎
3'巴雷罗接应回传给什克里尼亚尔                   1'第1分钟两队都比较谨慎
3'长传前场左路，穆萨基奥头球解围                   1'第1分钟两队都比较谨慎
3'凯西得球交给了苏联，加格里亚迪尼抢断                   1'第1分钟两队都比较谨慎
4'苏索左路拿球，直传，博纳文图拉插上传中被德安布罗西奥挡出底线                   1'第1分钟两队都比较谨慎
4'博纳文图拉传后点，被加格里亚迪尼头球解围                   1'第1分钟两队都比较谨慎
28'丹布罗西奥直传，坎德雷瓦边路传中，伊卡尔迪抢点推射，球进了！                   28'国米第28分钟取得领先
29'国际米兰1：0领先AC米兰！                   28'国米第28分钟取得领先
29'本赛季国际米兰的状态还是更好一点                   28'国米第28分钟取得领先
29'凯西交给博纳文图拉                   28'国米第28分钟取得领先
29'丹布罗西奥上抢犯规                   28'国米第28分钟取得领先
29'博纳文图拉回传给罗马尼奥利，再交给博努奇                   28'国米第28分钟取得领先
29'长传左路的罗马尼奥利                   28'国米第28分钟取得领先
30'苏索接应，分给罗马尼奥利，传中被什克里尼亚尔解围出底线                   28'国米第28分钟取得领先
30'AC米兰左路的角球机会                   28'国米第28分钟取得领先
30'博纳文图拉传中，凯西头球没有顶向球门                   28'国米第28分钟取得领先
31'丹布罗西奥长传上来，前面没有国际米兰的球员                   28'国米第28分钟取得领先
31'多纳鲁马交给了穆萨基奥，交给博努奇                   28'国米第28分钟取得领先
31'交给穆萨基奥，分边给了博里尼                   28'国米第28分钟取得领先
31'博努奇长传上来，丹布罗西奥得球，交给了坎德雷瓦                   28'国米第28分钟取得领先
31'坎德雷瓦带球向中路，横传，长友佑都回传给汉达诺维奇                   28'国米第28分钟取得领先
44'交给罗马尼奥利，起球到禁区，席尔瓦越位                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
44'汉达诺维奇发后场任意球                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
44'被博努奇顶回来                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
44'长友佑都得球回传给汉达诺维奇                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
44'长传上来，凯西得球直传，博里尼插上小角度打门被汉达诺维奇封出                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
45'博里尼再头球补射，角度太小了，顶在边网上                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'国际米兰回头获得一个左路的任意球机会                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'巴雷罗传后点，太深了，球出底线                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'上半场比赛结束！                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'下半场比赛开始！                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'下半场由国际米兰中圈开球                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'分边传丢了                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'加格里亚迪尼断球交给丹布罗西奥                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'直传，坎德雷瓦传中路，巴雷罗回做，加格里亚迪尼分边左路的佩里西奇                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
46'一顺，长友佑都下底传中，球被多纳鲁马抱住                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
47'回复：用户fmoy21yszt 03:30 举报回复 国米加油（上场鼓励）                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
47'坎德雷瓦右路的强突，罗马尼奥利又是只能阻挡犯规                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
47'穆萨基奥的解围                   44'AC米兰第44分钟获得追平机会，凯西中场抢断直塞，博里尼禁区右侧距门10米处小角度抽射被汉达诺维奇扑出，接着头球补射弹地打在边网上
49'AC米兰控球                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
49'苏索带球，分边给了博里尼                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
49'回做一下，穆萨基奥直传到梦内的席尔瓦                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
49'席尔瓦左脚劲射击中门柱，穆萨基奥补射入网！但是。。。                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
