8'曼城球员哲科大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是纳斯里.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
8'曼城球员亚亚-图雷小禁区左侧尝试头球,可惜皮球稍稍高出球门.给他传球的是哲科.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
10'科拉什将球处理出底线,曼城获得角球.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
10'曼城球员哲科大禁区中央尝试头球,可惜皮球高出球门.给他传球的是纳斯里.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
11'科拉什为比尔森在对方半场,赢得一个任意球.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
11'曼城球员孔帕尼拼抢犯规,对手获得控球权.                   8'第8分钟，纳瓦斯20码处劲射被科扎契克扑出底线
16'彼得热拉为比尔森赢得一个任意球.                   16'第16分钟，科拉罗夫对彼得热拉犯规被罚黄牌
16'曼城球员科拉罗夫拼抢犯规,对手获得控球权.                   16'第16分钟，科拉罗夫对彼得热拉犯规被罚黄牌
17'曼城球员科拉罗夫手球犯规,对手获得球权.                   16'第16分钟，科拉罗夫对彼得热拉犯规被罚黄牌
17'黄牌！曼城球员科拉罗夫因为故意手球,被主裁判出示黄牌.                   16'第16分钟，科拉罗夫对彼得热拉犯规被罚黄牌
18'比尔森球员林贝尔斯基一脚直塞球给拉伊托拉尔,但是边裁举旗显示后者已经越位.                   16'第16分钟，科拉罗夫对彼得热拉犯规被罚黄牌
23'射门!!!曼城球员哲科球门线跟前头球,被对方守门员横身扑出.给他传球的是科拉罗夫.                   23'曼城首次机会出现在第23分钟，科拉罗夫左路传中，哲科近距离头球攻门被科扎契克扑挡后没收
25'霍洛瓦将球处理出底线,曼城获得角球.                   23'曼城首次机会出现在第23分钟，科拉罗夫左路传中，哲科近距离头球攻门被科扎契克扑挡后没收
26'曼城球员阿圭罗大禁区外右脚射门,命中门柱左侧立柱.给他传球的是科拉罗夫.                   23'曼城首次机会出现在第23分钟，科拉罗夫左路传中，哲科近距离头球攻门被科扎契克扑挡后没收
26'射门!!!曼城球员科拉罗夫大禁区左侧左脚射门,被对方守门员横身扑出.                   23'曼城首次机会出现在第23分钟，科拉罗夫左路传中，哲科近距离头球攻门被科扎契克扑挡后没收
28'彼得热拉为比尔森在对方半场,赢得一个任意球.                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
28'曼城球员费尔南迪奥拼抢犯规,对手获得控球权.                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
28'黄牌！曼城球员费尔南迪奥因为恶意犯规,被主裁判出示黄牌.                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
29'比尔森彼得热拉受伤倒地,比赛暂停                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
29'暂停结束,球员们重新开始比赛.                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
30'比尔森球员霍瓦特拼抢犯规,对手获得控球权.                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
30'亚亚-图雷为曼城赢得一个任意球.                   28'第28分钟，费尔南迪尼奥对彼得热拉犯规被罚黄牌
33'曼城球员萨巴莱塔大禁区右侧右脚射门,被防守球员封堵.给他传球的是纳斯里.                   33'第33分钟，纳斯里传球，萨巴莱塔禁区右侧的射门被封堵
34'射门!!!比尔森球员霍瓦特左侧很远处左脚射门,被对方守门员横身扑出.                   33'第33分钟，纳斯里传球，萨巴莱塔禁区右侧的射门被封堵
48'进球啦！！！曼城球员哲科大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是阿圭罗. 比尔森 0-1 曼城.                   48'曼城第48分钟打破僵局，阿圭罗左路摆脱对方拉扯后横传，哲科禁区边缘内推射破门
49'霍洛瓦为比尔森赢得一个任意球.                   48'曼城第48分钟打破僵局，阿圭罗左路摆脱对方拉扯后横传，哲科禁区边缘内推射破门
49'曼城球员纳斯里拼抢犯规,对手获得控球权.                   48'曼城第48分钟打破僵局，阿圭罗左路摆脱对方拉扯后横传，哲科禁区边缘内推射破门
51'曼城球员哲科大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是阿圭罗.                   48'曼城第48分钟打破僵局，阿圭罗左路摆脱对方拉扯后横传，哲科禁区边缘内推射破门
51'曼城球员哲科大禁区左侧尝试左脚射门,可惜皮球高出球门.                   48'曼城第48分钟打破僵局，阿圭罗左路摆脱对方拉扯后横传，哲科禁区边缘内推射破门
53'进球啦！！！曼城球员亚亚-图雷大禁区外右脚射门,球从右上角飞进球门,球进了!助攻的是纳斯里. 比尔森 0-2 曼城.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
54'比尔森球员霍瓦特大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是克拉利克.                   53'曼城第53分钟扩大比分，纳斯里传球，亚亚-图雷25码处弧线球射入右上角，2-0
