5'皇马先出一脚将球破坏出底线                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
5'拜仁的角球机会                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
5'角球送中路，佩佩抢到了第一点                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
5'施魏因施泰格左路的直塞被破坏                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
5'克罗斯禁区前沿低射被挡                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
6'拉菲尼亚右边路助攻上来                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
7'前场送直塞到禁区内找罗本                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
7'这球罗本启动的时候稍稍越位了                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
7'里贝里左路下底传到门前                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
8'这球出了另一侧的边线                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
8'摩德里奇中场附近抢球犯规                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
8'开场后，皇马稍显被动                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
19'本泽马~~~                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
19'1-0！！！                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
20'皇马左路送直塞给到科恩特朗，科恩特朗插上到底线，低平球送门前，拜仁门前两点铲球都没有碰到，后点的本泽马轻松将球推进！                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
