4'多特蒙德球员格罗斯克罗伊茨右侧很远处尝试右脚射门,可惜皮球高出右上角球门.给他传球的是莱万多夫斯基.                   4'开场4分钟，格罗斯克罗伊茨右路抽射偏出近门柱
6'多特蒙德球员胡梅尔斯尝试右脚射门,可惜皮球高出球门.给他传球的是本德尔.                   4'开场4分钟，格罗斯克罗伊茨右路抽射偏出近门柱
12'多特蒙德球员罗伊斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是沙欣.                   12'第12分钟，吉鲁中场丢球，中路反击分球，右侧距门22米处大力抽射偏出远门角
23'阿森纳球员科斯切尔尼大禁区中央尝试头球,可惜皮球高出球门.给他传球的是厄齐尔.                   23'第23分钟，胡梅尔斯放倒吉鲁，被黄牌警告，厄齐尔右侧开出任意球，科斯切尔尼头球高出，但主裁判给了球门球
24'阿森纳球员罗西基一脚直塞球给吉鲁,但是边裁举旗显示后者已经越位.                   23'第23分钟，胡梅尔斯放倒吉鲁，被黄牌警告，厄齐尔右侧开出任意球，科斯切尔尼头球高出，但主裁判给了球门球
25'多特蒙德球员布拉什奇科夫斯基一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   23'第23分钟，胡梅尔斯放倒吉鲁，被黄牌警告，厄齐尔右侧开出任意球，科斯切尔尼头球高出，但主裁判给了球门球
31'阿森纳球员拉姆塞大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是罗西基.                   31'第31分钟，拉姆塞在门前24米处抽射偏出左门柱
34'多特蒙德球员莱万多夫斯基拼抢犯规,对手获得控球权.                   31'第31分钟，拉姆塞在门前24米处抽射偏出左门柱
34'阿尔特塔为阿森纳赢得一个任意球.                   31'第31分钟，拉姆塞在门前24米处抽射偏出左门柱
38'阿森纳球员罗西基大禁区外左脚射门,被防守球员封堵.                   38'第38分钟，吉鲁左路传中被施梅尔策破坏，罗西基在门前18米处胸部停球左脚半凌空抽射，胡梅尔斯球门线上解围
39'莱万多夫斯基为多特蒙德在对方半场,赢得一个任意球.                   38'第38分钟，吉鲁左路传中被施梅尔策破坏，罗西基在门前18米处胸部停球左脚半凌空抽射，胡梅尔斯球门线上解围
39'阿森纳球员科斯切尔尼拼抢犯规,对手获得控球权.                   38'第38分钟，吉鲁左路传中被施梅尔策破坏，罗西基在门前18米处胸部停球左脚半凌空抽射，胡梅尔斯球门线上解围
41'进球啦！！！阿森纳球员吉鲁球门线跟前左脚射门,球从右下角飞进球门,球进了! 阿森纳 1-1 多特蒙德.                   38'第38分钟，吉鲁左路传中被施梅尔策破坏，罗西基在门前18米处胸部停球左脚半凌空抽射，胡梅尔斯球门线上解围
46'姆希塔良为多特蒙德赢得一个任意球.                   46'1分钟后，莱万多夫斯基传球，罗伊斯禁区中路打高
46'阿森纳球员罗西基拼抢犯规,对手获得控球权.                   46'1分钟后，莱万多夫斯基传球，罗伊斯禁区中路打高
47'吉布斯将球处理出底线,多特蒙德获得角球.                   46'1分钟后，莱万多夫斯基传球，罗伊斯禁区中路打高
49'布拉什奇科夫斯基为多特蒙德在右路,赢得一个任意球.                   46'1分钟后，莱万多夫斯基传球，罗伊斯禁区中路打高
49'阿森纳球员吉布斯拼抢犯规,对手获得控球权.                   46'1分钟后，莱万多夫斯基传球，罗伊斯禁区中路打高
51'黄牌！阿森纳球员罗西基因为恶意犯规,被主裁判出示黄牌.                   51'下半时开始6分钟，罗西基放倒姆希塔良，被黄牌警告
53'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，罗西基放倒姆希塔良，被黄牌警告
53'科斯切尔尼为阿森纳赢得一个任意球.                   51'下半时开始6分钟，罗西基放倒姆希塔良，被黄牌警告
54'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，罗西基放倒姆希塔良，被黄牌警告
54'威尔谢尔为阿森纳赢得一个任意球.                   51'下半时开始6分钟，罗西基放倒姆希塔良，被黄牌警告
66'胡梅尔斯为多特蒙德赢得一个任意球.                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
66'阿森纳球员科斯切尔尼拼抢犯规,对手获得控球权.                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
66'多特蒙德换人,奥巴梅扬换下布拉什奇科夫斯基                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
66'多特蒙德换人,J-霍夫曼换下姆希塔良                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
67'莱万多夫斯基为多特蒙德在对方半场,赢得一个任意球.                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
67'阿森纳球员阿尔特塔拼抢犯规,对手获得控球权.                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
68'多特蒙德球员沙欣一脚直塞球给胡梅尔斯,但是边裁举旗显示后者已经越位.                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
69'阿森纳球员卡索拉大禁区外右脚射门,命中门柱横梁.给他传球的是厄齐尔.                   66'第66分钟，厄齐尔右侧开出角球，默特萨克头球攻门，拉姆塞后门柱凌空打进，但默特萨克对胡梅尔斯犯规在先，进球无效
69'阿森纳球员卡索拉大禁区外右脚射门,命中门柱横梁.给他传球的是厄齐尔.                   69'第69分钟，厄齐尔右路回传，卡索拉在门前18米处抽射击中近门柱与横梁交界处
70'多特蒙德球员本德尔拼抢犯规,对手获得控球权.                   69'第69分钟，厄齐尔右路回传，卡索拉在门前18米处抽射击中近门柱与横梁交界处
70'罗西基为阿森纳在对方半场,赢得一个任意球.                   69'第69分钟，厄齐尔右路回传，卡索拉在门前18米处抽射击中近门柱与横梁交界处
70'黄牌！多特蒙德球员本德尔因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，厄齐尔右路回传，卡索拉在门前18米处抽射击中近门柱与横梁交界处
76'阿森纳球员卡索拉大禁区外右脚射门,被防守球员封堵.给他传球的是厄齐尔.                   76'第76分钟，厄齐尔右路低传，卡索拉禁区边缘横趟抽射被本德封堵
78'阿森纳球员罗西基大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡索拉.                   76'第76分钟，厄齐尔右路低传，卡索拉禁区边缘横趟抽射被本德封堵
79'阿森纳球员吉鲁大禁区中央尝试,可惜皮球稍稍偏出了左球门.给他传球的是萨尼亚.                   76'第76分钟，厄齐尔右路低传，卡索拉禁区边缘横趟抽射被本德封堵
85'胡梅尔斯为多特蒙德在左路,赢得一个任意球.                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
85'阿森纳球员厄齐尔拼抢犯规,对手获得控球权.                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
85'黄牌！阿森纳球员厄齐尔因为恶意犯规,被主裁判出示黄牌.                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
86'阿森纳换人,本特纳换下拉姆塞                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
87'多特蒙德换人,帕帕斯塔索普洛斯换下罗伊斯                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
88'本德尔为多特蒙德赢得一个任意球.                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
88'阿森纳球员阿尔特塔拼抢犯规,对手获得控球权.                   85'第85分钟，厄齐尔绊倒胡梅尔斯，被黄牌警告
