6'安德莱赫特球员德泽乌拼抢犯规,对手获得控球权.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
6'小卢卡斯为巴黎圣日耳曼在对方半场,赢得一个任意球.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
6'巴黎圣日耳曼球员拉维齐大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是莫塔.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
7'安德莱赫特球员米特洛维奇拼抢犯规,对手获得控球权.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
7'维拉蒂为巴黎圣日耳曼赢得一个任意球.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
9'米特洛维奇为安德莱赫特在对方半场,赢得一个任意球.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
9'巴黎圣日耳曼球员马基尼奥斯拼抢犯规,对手获得控球权.                   6'第6分钟，莫塔直传禁区内，拉维奇小禁区前头球攻门稍稍高出横梁
16'巴黎圣日耳曼球员伊布大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是维拉蒂.                   16'第16分钟，维拉蒂传球，伊布禁区右侧的射门稍稍高出
18'马基尼奥斯将球处理出底线,安德莱赫特获得角球.                   16'第16分钟，维拉蒂传球，伊布禁区右侧的射门稍稍高出
32'安德莱赫特球员德斯查克特一脚直塞球给米特洛维奇,但是边裁举旗显示后者已经越位.                   32'客队连续在右路获得机会，第32分钟，米特洛维奇禁区右侧的射门被西里古救下
32'射门!!!安德莱赫特球员米特洛维奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是范登伯雷.                   32'客队连续在右路获得机会，第32分钟，米特洛维奇禁区右侧的射门被西里古救下
33'安德莱赫特球员普拉耶特大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是恩萨卡拉.                   32'客队连续在右路获得机会，第32分钟，米特洛维奇禁区右侧的射门被西里古救下
35'马基尼奥斯将球处理出底线,安德莱赫特获得角球.                   32'客队连续在右路获得机会，第32分钟，米特洛维奇禁区右侧的射门被西里古救下
35'马图伊迪将球处理出底线,安德莱赫特获得角球.                   32'客队连续在右路获得机会，第32分钟，米特洛维奇禁区右侧的射门被西里古救下
48'安德莱赫特球员Luka Milivojevic拼抢犯规,对手获得控球权.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
48'拉维齐为巴黎圣日耳曼在对方半场,赢得一个任意球.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
48'黄牌！安德莱赫特球员Luka Milivojevic因为恶意犯规,被主裁判出示黄牌.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
49'巴黎圣日耳曼球员伊布大禁区外右脚射门,被防守球员封堵.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
49'安德莱赫特球员德泽乌拼抢犯规,对手获得控球权.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
49'马基尼奥斯为巴黎圣日耳曼赢得一个任意球.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
51'安德莱赫特球员米特洛维奇拼抢犯规,对手获得控球权.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
51'范德维尔为巴黎圣日耳曼在右路,赢得一个任意球.                   48'第48分钟，米利沃耶维奇对拉维奇犯规被罚黄牌，伊布25码处任意球射门被人墙封堵
