5'曼联球员斯马林拼抢犯规,对手获得控球权.                   5'第5分钟，斯马林冲撞门将犯规被口头警告
5'C-布拉沃为皇家社会赢得一个任意球.                   5'第5分钟，斯马林冲撞门将犯规被口头警告
7'贝尔加拉为皇家社会赢得一个任意球.                   5'第5分钟，斯马林冲撞门将犯规被口头警告
7'曼联球员香川真司拼抢犯规,对手获得控球权.                   5'第5分钟，斯马林冲撞门将犯规被口头警告
19'贝尔加拉为皇家社会赢得一个任意球.                   19'第19分钟，鲁尼传球，香川真司禁区左侧的射门被布拉沃没收
19'曼联球员费莱尼拼抢犯规,对手获得控球权.                   19'第19分钟，鲁尼传球，香川真司禁区左侧的射门被布拉沃没收
19'射门!!!曼联球员香川真司大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是鲁尼.                   19'第19分钟，鲁尼传球，香川真司禁区左侧的射门被布拉沃没收
23'埃弗拉将球处理出底线,皇家社会获得角球.                   23'第23分钟，皇家社会获得角球机会，曼联混战中门前解围
26'I-马丁内斯为皇家社会赢得一个任意球.                   23'第23分钟，皇家社会获得角球机会，曼联混战中门前解围
26'曼联球员鲁尼拼抢犯规,对手获得控球权.                   23'第23分钟，皇家社会获得角球机会，曼联混战中门前解围
31'贝尔加拉为皇家社会在对方半场,赢得一个任意球.                   31'第31分钟，费莱尼对贝尔加拉犯规被罚黄牌
31'曼联球员费莱尼拼抢犯规,对手获得控球权.                   31'第31分钟，费莱尼对贝尔加拉犯规被罚黄牌
31'黄牌！曼联球员费莱尼因为恶意犯规,被主裁判出示黄牌.                   31'第31分钟，费莱尼对贝尔加拉犯规被罚黄牌
50'曼联球员埃尔南德斯大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是香川真司.                   50'曼联第50分钟错失良机，香川真司禁区左侧传中，无人防守的埃尔南德斯小禁区边缘射门高出
50'贝拉为皇家社会在右路,赢得一个任意球.                   50'曼联第50分钟错失良机，香川真司禁区左侧传中，无人防守的埃尔南德斯小禁区边缘射门高出
50'曼联球员埃弗拉拼抢犯规,对手获得控球权.                   50'曼联第50分钟错失良机，香川真司禁区左侧传中，无人防守的埃尔南德斯小禁区边缘射门高出
51'黄牌！曼联球员埃弗拉因为恶意犯规,被主裁判出示黄牌.                   50'曼联第50分钟错失良机，香川真司禁区左侧传中，无人防守的埃尔南德斯小禁区边缘射门高出
63'皇家社会球员贝拉拼抢犯规,对手获得控球权.                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
63'费莱尼为曼联赢得一个任意球.                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
63'曼联换人,范佩西换下鲁尼                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
63'曼联换人,阿什利-扬换下埃尔南德斯                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
63'皇家社会换人,卡斯特罗换下阿吉雷谢                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
65'曼联球员范佩西小禁区右侧右脚射门,命中门柱右侧立柱.给他传球的是阿什利-扬.                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
65'曼联球员范佩西大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是瓦伦西亚.                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
66'皇家社会球员贝拉大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是祖鲁图萨.                   63'第63分钟，范佩西和阿什利-扬替补鲁尼和埃尔南德斯出场
66'皇家社会球员贝拉大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是祖鲁图萨.                   66'第66分钟，祖鲁图萨传球，贝拉禁区前劲射偏出
67'曼联球员阿什利-扬一脚直塞球给吉格斯,但是边裁举旗显示后者已经越位.                   66'第66分钟，祖鲁图萨传球，贝拉禁区前劲射偏出
69'皇家社会球员贝尔加拉犯规,致使对方获得点球.                   66'第66分钟，祖鲁图萨传球，贝拉禁区前劲射偏出
69'点球,阿什利-扬在禁区内被侵犯,曼联获得点球.                   66'第66分钟，祖鲁图萨传球，贝拉禁区前劲射偏出
69'黄牌！皇家社会球员贝尔加拉因为恶意犯规,被主裁判出示黄牌.                   66'第66分钟，祖鲁图萨传球，贝拉禁区前劲射偏出
75'皇家社会球员哈维-普列托大禁区中央尝试右脚射门,可惜皮球偏出球门.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
75'皇家社会球员贝拉大禁区中央尝试,可惜皮球偏出球门.给他传球的是哈维-普列托.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
75'皇家社会球员贝拉拼抢犯规,对手获得控球权.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
75'维迪奇为曼联赢得一个任意球.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
76'贝尔加拉将球处理出底线,曼联获得角球.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
78'贝拉为皇家社会赢得一个任意球.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
78'曼联球员维迪奇拼抢犯规,对手获得控球权.                   75'第75分钟，替补出场的普列托禁区左侧接战术角球后返身劲射，贝拉胸部接挡令皮球偏转擦右上角偏出
82'埃弗拉将球处理出底线,皇家社会获得角球.                   82'看球买彩票第82分钟，替补出场的卡斯特罗开出角球，伊尼戈-马丁内斯头球攻门高出
82'皇家社会球员I-马丁内斯大禁区中央尝试头球,可惜皮球高出球门.给他传球的是卡斯特罗.                   82'看球买彩票第82分钟，替补出场的卡斯特罗开出角球，伊尼戈-马丁内斯头球攻门高出
83'冈萨雷斯为皇家社会赢得一个任意球.                   82'看球买彩票第82分钟，替补出场的卡斯特罗开出角球，伊尼戈-马丁内斯头球攻门高出
83'曼联球员范佩西拼抢犯规,对手获得控球权.                   82'看球买彩票第82分钟，替补出场的卡斯特罗开出角球，伊尼戈-马丁内斯头球攻门高出
