33'奥林匹亚科斯球员萨维奥拉大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗思特.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
33'奥林匹亚科斯球员弗思特大禁区外左脚射门,被防守球员封堵.给他传球的是马查多.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
33'进球啦！！！奥林匹亚科斯球员萨维奥拉大禁区左侧左脚射门,球从右下角飞进球门,球进了! 奥林匹亚科斯 1-0 安德莱赫特.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
35'安德莱赫特球员吉莱拼抢犯规,对手获得控球权.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
35'萨林诺为奥林匹亚科斯在右路,赢得一个任意球.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
36'科尔杰斯坦为安德莱赫特赢得一个任意球.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
36'奥林匹亚科斯球员马查多拼抢犯规,对手获得控球权.                   33'第33分钟，富思特禁区前劲射被封堵后偏转，萨维奥拉12码处低射远角入网
49'安德莱赫特球员库亚特手球,致使对方获得点球.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
49'奥林匹亚科斯球员马查多大禁区中央右脚射门,被防守球员封堵.给他传球的是J-坎贝尔.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
49'安德莱赫特球员库亚特因为故意手球,被裁判出示了第二张黄牌.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
50'奥林匹亚科斯球员萨维奥拉点球被对方守门员扑出.点球罚失.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
50'恩萨卡拉将球处理出底线,奥林匹亚科斯获得角球.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
51'安德莱赫特恩萨卡拉受伤倒地,比赛暂停                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
52'暂停结束,球员们重新开始比赛.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
52'米特洛维奇为安德莱赫特赢得一个任意球.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
52'奥林匹亚科斯球员弗思特拼抢犯规,对手获得控球权.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
52'黄牌！奥林匹亚科斯球员弗思特因为恶意犯规,被主裁判出示黄牌.                   49'第49分钟，安德莱赫特后卫科雅特禁区内手球犯规累计两张黄牌被罚下，但萨维奥拉射出的点球却被扑出
72'奥林匹亚科斯球员维斯点球被对方守门员扑出.点球罚失.                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
72'射门!!!奥林匹亚科斯球员萨林诺大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是J-坎贝尔.                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
72'纳亚尔为安德莱赫特赢得一个任意球.                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
72'奥林匹亚科斯球员维斯拼抢犯规,对手获得控球权.                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
72'安德莱赫特换人,阿切安庞换下范登伯雷                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
73'射门!!!安德莱赫特球员吉莱大禁区外右脚射门,被对方守门员横身扑出.                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
73'霍莱巴斯将球处理出底线,安德莱赫特获得角球.                   72'第72分钟，恩萨卡拉禁区内对魏斯犯规，后者亲自主罚点球又被扑出
