8'波尔图球员马丁内斯大禁区中央右脚射门,命中门柱横梁.给他传球的是达尼洛.                   8'杰克逊-马丁内斯第8分钟射中马竞横梁
11'波尔图球员若苏埃大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德弗尔.                   8'杰克逊-马丁内斯第8分钟射中马竞横梁
28'波尔图球员若苏埃点球被对方守门员扑出.点球罚失.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
28'米兰达将球处理出底线,波尔图获得角球.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
29'射门!!!马德里竞技球员迭戈-科斯塔大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是劳尔-加西亚.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
30'奥德威尔德为马德里竞技赢得一个任意球.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
30'波尔图球员马丁内斯拼抢犯规,对手获得控球权.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
31'马德里竞技球员科克拼抢犯规,对手获得控球权.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
31'费尔南多为波尔图赢得一个任意球.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
31'劳尔-加西亚为马德里竞技赢得一个任意球.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
31'波尔图球员鲁乔-冈萨雷斯拼抢犯规,对手获得控球权.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
31'黄牌！波尔图球员鲁乔-冈萨雷斯因为恶意犯规,被主裁判出示黄牌.                   28'第28分钟，阿兰苏比亚禁区内扑倒杰克逊-马丁内斯，但他将功补过扑出了若苏埃射出的点球
