7'二次角球还是给中路                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
7'这球第一点还是被加拉塔萨雷球员顶出                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
7'左路底线倒三角传回来                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
7'加拉塔萨雷利用人数上的优势将球抢断下来                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
8'中场，加拉塔萨雷打反击被拦截                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
8'维尔贝克禁区弧顶做球                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
8'队友的远射被后卫挡了出来                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
8'开场后，阿森纳的进攻还是很猛的                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
9'钱伯斯右路送直塞没有过去                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
9'阿森纳前场断球                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
9'禁区前沿，维尔贝克没有突破过去                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
10'阿森纳中场送直塞打身后                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
10'维尔贝克跑动慢了点没有拿到                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
10'萨里右路沿边线走，这球被断了                   7'第7分钟，维尔贝克传球，卡索拉25码处射门被卡亚封堵
22'阿森纳进球了！！                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
22'维尔贝克！！                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
23'阿森纳左路进攻送直塞，桑切斯接球后横向带球分到禁区内，维尔贝克插上后推射得分                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
25'阿森纳这球的配合就是打了三后卫的一个空挡                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
25'塞米赫-卡亚后场解围被拦截                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
25'好在经过自己的调整，最终被阿森纳球员碰出边线                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
25'加拉塔萨雷这边，普兰德利已经坐不住了                   22'阿森纳第22分钟取得领先，吉布斯传球，桑切斯左路内切后直传，维尔贝克禁区左肋10码处抢在梅洛之前捅射入网
30'桑切斯禁区前沿自己带球往里走                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
30'右路低射远角稍稍打偏                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
30'阿森纳又进球了！！                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
30'又是维尔贝克！！                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
31'维尔贝克7分两个进球                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
33'加拉塔萨雷中场的头球顶球直接送到维尔贝克脚下，维尔贝克头球点了一下到禁区内推射破门！                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
33'阿森纳这边进攻又来了                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
33'维尔贝克禁区内无人看防的情况下低射                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
33'这球打得太正                   30'阿森纳第30分钟扩大比分，切鲁头球解围失误，维尔贝克摆脱梅洛在禁区左肋12码处单刀推射破门，2-0
46'补时有2分钟！                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
46'阿森纳挑传打左路                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'切鲁的防守将球大脚解围                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
48'阿森纳在后场倒球                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
48'加拉塔萨雷前场断球后左路突破                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
48'这球阿森纳利用身体优势将球防了下来                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
46'下半场比赛开始！                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
46'下半场比赛由阿森纳开球                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'斯内德前场拿球转移到了左路                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'队友带球突破被断抢                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'阿森纳反击的机会                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'桑切斯中场拿球造对方犯规                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'桑切斯快发任意球想打身后                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
47'这球是没有送过去                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
49'加拉塔萨雷前场长传送禁区内                   46'1分钟后，泽马伊利传球，潘德夫13码处捅射也被斯泽斯尼没收
