16'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
16'罗伯托将球处理出底线,尤文图斯获得角球.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
16'Luka Milivojevic将球处理出底线,尤文图斯获得角球.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
17'射门!!!奥林匹亚科斯球员阿费莱大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Kostas Mitroglou.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
18'奥林匹亚科斯球员埃拉布德拉奥伊拼抢犯规,对手获得控球权.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
18'博格巴为尤文图斯在左路,赢得一个任意球.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
49'恩丁加为奥林匹亚科斯赢得一个任意球.                   48'但仅过3分钟，尤文就被对方追平，多明格斯右侧开出角球，博蒂亚前点距门8米处头球蹭进远角，1比1
49'尤文图斯球员特维斯拼抢犯规,对手获得控球权.                   48'但仅过3分钟，尤文就被对方追平，多明格斯右侧开出角球，博蒂亚前点距门8米处头球蹭进远角，1比1
49'黄牌！尤文图斯球员特维斯因为恶意犯规,被主裁判出示黄牌.                   48'但仅过3分钟，尤文就被对方追平，多明格斯右侧开出角球，博蒂亚前点距门8米处头球蹭进远角，1比1
50'奥林匹亚科斯恩丁加受伤倒地,比赛暂停                   48'但仅过3分钟，尤文就被对方追平，多明格斯右侧开出角球，博蒂亚前点距门8米处头球蹭进远角，1比1
50'暂停结束,球员们重新开始比赛.                   48'但仅过3分钟，尤文就被对方追平，多明格斯右侧开出角球，博蒂亚前点距门8米处头球蹭进远角，1比1
31'尤文图斯球员莫拉塔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是特维斯.                   31'第31分钟，特维斯塞入禁区，莫拉塔反越位距门12米处推射偏出右门柱
33'奥林匹亚科斯球员阿费莱大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是埃拉布德拉奥伊.                   31'第31分钟，特维斯塞入禁区，莫拉塔反越位距门12米处推射偏出右门柱
34'利希施泰纳将球处理出底线,奥林匹亚科斯获得角球.                   31'第31分钟，特维斯塞入禁区，莫拉塔反越位距门12米处推射偏出右门柱
42'奥林匹亚科斯球员埃拉布德拉奥伊拼抢犯规,对手获得控球权.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
42'博格巴为尤文图斯在对方半场,赢得一个任意球.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
42'尤文图斯球员阿萨莫阿一脚直塞球给马尔基西奥,但是边裁举旗显示后者已经越位.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
43'奥林匹亚科斯球员Luka Milivojevic拼抢犯规,对手获得控球权.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
43'莫拉塔为尤文图斯赢得一个任意球.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
44'尤文图斯球员博格巴大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
45'奥林匹亚科斯球员博蒂亚拼抢犯规,对手获得控球权.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
