3'莫德里奇再分边右侧给贝尔，贝尔停球没停好，被泰森破坏                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
3'皇马前场再攻，C罗左路拿球，强突下底传中到禁区                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
3'阿泽维多抢在本泽马之前，头球解围出底线                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
4'皇马获得左侧角球机会                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
4'战术角球开出给到伊斯科，伊斯科停球内切，起脚怒射，打飞                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
5'矿工前场进攻，右路特谢拉的下底倒三角回传中路                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
5'莫德里奇回防，将格拉德基挡在身后，纳瓦斯出击将球没收                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
5'贝尔前场中路拿球，直塞找本泽马，被断啦                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
6'特谢拉拿球反击，克罗斯回防，中圈放铲放倒了特谢拉                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
6'克罗斯被主裁判口头警告一翻                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
6'矿工前场传球失误，莫德里奇拿球，横传给拉莫斯                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
6'拉莫斯带球过中线，斜塞给到C罗                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
14'伊斯科前场中路拿球，分边右路给到跟进的卡瓦哈尔                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
