1'上半场比赛开始！                   1'第1分钟战局平稳，拜仁控球率超过7成
1'拜仁率先中圈开球                   1'第1分钟战局平稳，拜仁控球率超过7成
1'诺伊尔大脚到前场                   1'第1分钟战局平稳，拜仁控球率超过7成
1'拉姆右路拿球横敲                   1'第1分钟战局平稳，拜仁控球率超过7成
2'本菲卡前场逼抢比较积极                   1'第1分钟战局平稳，拜仁控球率超过7成
2'蒂亚戈中场挑传没有过顶                   1'第1分钟战局平稳，拜仁控球率超过7成
2'基米希后场争顶扛倒希梅内斯                   1'第1分钟战局平稳，拜仁控球率超过7成
3'裁判给了本菲卡禁区前的任意球机会                   1'第1分钟战局平稳，拜仁控球率超过7成
3'距离球门18米                   1'第1分钟战局平稳，拜仁控球率超过7成
4'任意球直接射门折射后出底线，角球                   1'第1分钟战局平稳，拜仁控球率超过7成
4'角球到中路，被头球顶出去                   1'第1分钟战局平稳，拜仁控球率超过7成
4'拜仁后场拿球反击                   1'第1分钟战局平稳，拜仁控球率超过7成
4'左路给到穆勒                   1'第1分钟战局平稳，拜仁控球率超过7成
4'大范围转移另一侧                   1'第1分钟战局平稳，拜仁控球率超过7成
27'本菲卡进球了！！！                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
27'希门尼斯！！！                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
28'埃利塞乌一路拿球过中场，送出过顶球到门前，希门尼斯插上头球冲顶破门！                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
28'本菲卡1-0领先拜仁！                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
28'总比分追成了1-1                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
29'双方回到了同一起跑线                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
29'蒂亚戈左路拿球，转移出去                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
30'科斯塔右路接应身后球，越位                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
30'阿尔梅达右路拿球给身前                   27'本菲卡首次禁区内射门就取得领先，第27分钟，埃利塞乌左路反击斜传，劳尔-希门尼斯在两名中卫之间，距门7米处冲顶入左下角，1比0
48'诺伊尔禁区外头球解围                   48'仅过3分钟，拜仁后防失误又险些铸成大错，萨尔维奥右路下底低传被两名后卫漏过，无人逼抢的劳尔-希门尼斯在门前9米处捅射被诺伊尔得到
48'里贝里左路拿球回敲                   48'仅过3分钟，拜仁后防失误又险些铸成大错，萨尔维奥右路下底低传被两名后卫漏过，无人逼抢的劳尔-希门尼斯在门前9米处捅射被诺伊尔得到
49'科斯塔给拉姆，传中被挡出                   48'仅过3分钟，拜仁后防失误又险些铸成大错，萨尔维奥右路下底低传被两名后卫漏过，无人逼抢的劳尔-希门尼斯在门前9米处捅射被诺伊尔得到
49'里贝里给身后，蒂亚戈传中被挡                   48'仅过3分钟，拜仁后防失误又险些铸成大错，萨尔维奥右路下底低传被两名后卫漏过，无人逼抢的劳尔-希门尼斯在门前9米处捅射被诺伊尔得到
52'穆勒左路拿球，传中被挡，角球                   52'下半时开始7分钟，拜仁再下一城
52'角球去后点                   52'下半时开始7分钟，拜仁再下一城
52'拜仁进球了！！！                   52'下半时开始7分钟，拜仁再下一城
52'里贝里！！！                   52'下半时开始7分钟，拜仁再下一城
53'镜头给到的是里贝里，但进球的是穆勒                   52'下半时开始7分钟，拜仁再下一城
53'角球到后点头球摆渡，门前无人防守的穆勒捅射破门！                   52'下半时开始7分钟，拜仁再下一城
54'本菲卡1-2落后拜仁                   52'下半时开始7分钟，拜仁再下一城
54'总比分1-3，拜仁两个客场进球                   52'下半时开始7分钟，拜仁再下一城
54'本菲卡还需要进3球，太难了                   52'下半时开始7分钟，拜仁再下一城
54'拜仁反击走右路                   52'下半时开始7分钟，拜仁再下一城
55'穆勒回敲，转移另一侧                   52'下半时开始7分钟，拜仁再下一城
55'科斯塔拿球进禁区，趟大了                   52'下半时开始7分钟，拜仁再下一城
55'门将出击把球没收                   52'下半时开始7分钟，拜仁再下一城
60'阿拉巴左路传中滑倒了，球出底线                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
60'科斯塔带球突破，进禁区了                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
60'斜射远角中立柱弹出！                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
61'桑切斯前场反抢                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
62'左路连续晃动，敲出来                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
62'埃利塞乌传中被顶出去                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
62'外围阿尔梅达跟上远射被诺伊尔托出横梁                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
62'角球去前点被顶出                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
63'比达尔禁区前绊人犯规了                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
63'冈萨雷斯被绊倒，拿到一个任意球                   60'第60分钟，科斯塔接穆勒传球突入禁区左侧，在门前10米处左脚斜射击中远门柱底部
77'本菲卡进球了！！！                   76'本菲卡第76分钟扳平比分，替补格德斯突至禁区边缘被马丁内斯从后铲倒，荷兰主裁判奎珀斯向马丁内斯亮出黄牌，本菲卡队员和主帅维多利亚表示不满，认为该给红牌，维多利亚被罚上看台
77'塔利斯卡！！！                   76'本菲卡第76分钟扳平比分，替补格德斯突至禁区边缘被马丁内斯从后铲倒，荷兰主裁判奎珀斯向马丁内斯亮出黄牌，本菲卡队员和主帅维多利亚表示不满，认为该给红牌，维多利亚被罚上看台
