4'洛卡迪亚为埃因霍温赢得一个任意球.                   1'埃因霍温第1分钟反客为主展开攻势，以期获得关键的客场进球
4'马德里竞技球员Yannick Carrasco拼抢犯规,对手获得控球权.                   1'埃因霍温第1分钟反客为主展开攻势，以期获得关键的客场进球
37'马德里竞技球员Yannick Carrasco大禁区中央头球,被防守球员封堵.                   37'第37分钟，卡拉斯科头球摆渡，格列兹曼近距离头球攻门被佐特神奇扑出，但法国前锋越位在先
37'马德里竞技球员Yannick Carrasco一脚直塞球给格里兹曼,但是边裁举旗显示后者已经越位.                   37'第37分钟，卡拉斯科头球摆渡，格列兹曼近距离头球攻门被佐特神奇扑出，但法国前锋越位在先
38'马德里竞技球员加比一脚直塞球给绍尔-尼格斯,但是边裁举旗显示后者已经越位.                   37'第37分钟，卡拉斯科头球摆渡，格列兹曼近距离头球攻门被佐特神奇扑出，但法国前锋越位在先
40'埃因霍温球员L-德容拼抢犯规,对手获得控球权.                   37'第37分钟，卡拉斯科头球摆渡，格列兹曼近距离头球攻门被佐特神奇扑出，但法国前锋越位在先
40'菲利佩-路易斯为马德里竞技在左路,赢得一个任意球.                   37'第37分钟，卡拉斯科头球摆渡，格列兹曼近距离头球攻门被佐特神奇扑出，但法国前锋越位在先
40'马德里竞技球员Yannick Carrasco大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   37'第37分钟，卡拉斯科头球摆渡，格列兹曼近距离头球攻门被佐特神奇扑出，但法国前锋越位在先
58'射门!!!埃因霍温球员洛卡迪亚大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是瓜尔达多.                   58'埃因霍温第58分钟险些破门，威廉姆斯禁区左侧弧线球射门，奥布拉克指尖扑挡后令皮球击中右侧立柱弹回，德容近距离头球补射空门却被菲利佩挡出
58'埃因霍温球员L-德容大禁区中央头球,被防守球员封堵.                   58'埃因霍温第58分钟险些破门，威廉姆斯禁区左侧弧线球射门，奥布拉克指尖扑挡后令皮球击中右侧立柱弹回，德容近距离头球补射空门却被菲利佩挡出
59'埃因霍温威廉斯受伤倒地,比赛暂停                   58'埃因霍温第58分钟险些破门，威廉姆斯禁区左侧弧线球射门，奥布拉克指尖扑挡后令皮球击中右侧立柱弹回，德容近距离头球补射空门却被菲利佩挡出
60'暂停结束,球员们重新开始比赛.                   58'埃因霍温第58分钟险些破门，威廉姆斯禁区左侧弧线球射门，奥布拉克指尖扑挡后令皮球击中右侧立柱弹回，德容近距离头球补射空门却被菲利佩挡出
61'埃因霍温球员范.金克尔拼抢犯规,对手获得控球权.                   58'埃因霍温第58分钟险些破门，威廉姆斯禁区左侧弧线球射门，奥布拉克指尖扑挡后令皮球击中右侧立柱弹回，德容近距离头球补射空门却被菲利佩挡出
61'科凯为马德里竞技赢得一个任意球.                   58'埃因霍温第58分钟险些破门，威廉姆斯禁区左侧弧线球射门，奥布拉克指尖扑挡后令皮球击中右侧立柱弹回，德容近距离头球补射空门却被菲利佩挡出
