42'佩雷拉也是被主裁判直接出示了红牌，罚出场外！                   42'尤文第42分钟取得领先
42'迪巴拉主罚，骗过卡西，打进！                   42'尤文第42分钟取得领先
42'迪巴拉也是连续两场利用点球取得进球！！                   42'尤文第42分钟取得领先
43'慢镜头回放显示，主裁判直接出示红牌，有点过重，毕竟佩雷拉非主动手球                   42'尤文第42分钟取得领先
44'马尔基西奥前场拿球，分球伊瓜因                   42'尤文第42分钟取得领先
45'伊瓜因拿球横切，面对逼抢，倒地啦                   42'尤文第42分钟取得领先
45'裁判没有理会，球被奥古斯托解围                   42'尤文第42分钟取得领先
45'尤文中场抢断，分球左侧给到桑多罗                   42'尤文第42分钟取得领先
45'桑多罗强突下底，横传禁区，曼朱基奇的抢点打门，被挡出底线                   42'尤文第42分钟取得领先
49'回传给到博努奇，再给右路的阿尔维斯                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
49'阿尔维斯的右路传中，达尼洛的头球解围                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
49'差点乌龙，被卡西倒地没收！                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
50'波尔图的进攻，苏亚雷斯前场拿球趟过了博努奇                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
50'进入禁区，面对出击的布冯，一脚推射，打偏啦！！                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
50'波尔图错失了进球良机，这样的机会可不多啊！                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
51'安德烈中圈背身拿球，赫迪拉身后上抢犯规！！                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
51'之前波尔图的后卫解围差点乌龙，门线技术显示，差一点点啊                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
51'尤文前场进攻，赢得左侧的任意球机会！！                   49'波尔图第49分钟错过扳平机会，苏亚雷斯左路反击突破阿尔维斯，单刀突入禁区距门13米处推射偏出远门柱
