1'比赛开始了，矿工率先开球                   1'曼城第1分钟积极施压
1'矿工从画面右侧向左侧进攻，曼城是从左向右进攻                   1'曼城第1分钟积极施压
1'曼城浅蓝色上衣白色短裤，矿工是白红色上衣，黑色短裤                   1'曼城第1分钟积极施压
1'拉基茨基后场拿球，横敲奥尔德茨                   1'曼城第1分钟积极施压
2'斜传到右侧找布特科，回敲门将，大脚开起来                   1'曼城第1分钟积极施压
2'中圈附近的争夺，伯纳德得球，转移到右侧布特科                   1'曼城第1分钟积极施压
2'在回敲拉基茨基，推给奥尔德茨，在回敲门将                   1'曼城第1分钟积极施压
2'皮亚托夫开起来，奥塔门迪破坏出边线                   1'曼城第1分钟积极施压
3'布特科界外球，直接发给了对手                   1'曼城第1分钟积极施压
3'曼城断下，转移到右侧给沃克，在给身后斯通斯                   1'曼城第1分钟积极施压
3'左侧分边给德尔夫，向前找到丁丁                   1'曼城第1分钟积极施压
3'斜传左路给萨内，停球大了，被出击的皮亚托夫解围                   1'曼城第1分钟积极施压
3'后场斯通斯控球，斜传左侧给萨内                   1'曼城第1分钟积极施压
3'自己脚下绊蒜，被布特科拦截                   1'曼城第1分钟积极施压
4'回敲皮亚托夫，在开起来                   1'曼城第1分钟积极施压
4'萨内得球，交给席尔瓦，席尔瓦交到禁区外的阿圭罗                   1'曼城第1分钟积极施压
4'阿圭罗禁区外左侧内切，一记爆射，踢呲了，出了边线                   1'曼城第1分钟积极施压
40'矿工禁区外右侧定位球机会                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
40'马洛斯主罚，左脚开起来，送到禁区前点                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
40'费雷拉跟上，抢在艾德森之前，头球一蹭，偏出近门柱                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
40'这球是好机会啊，不越位的                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
40'艾德森把球开起来                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
41'左侧前场找到萨内，突破被奥尔德茨碰出边线                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
41'左侧发球给到阿圭罗，在传，被布特科碰出边线                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
41'萨内回敲德尔夫，在给到萨内                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
41'左侧突破，内切，从人缝中钻出                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'杀入禁区，萨内右脚低射，擦着远门柱偏出底线啊                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'这球萨内的突破很灵光啊                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'皮亚托夫把球开出                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'斯捷潘内克拿球，右侧在给费尔南迪尼奥                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'不对，是右侧被费尔南迪尼奥破坏                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'布特科边线球给到马洛斯                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
42'右侧突破，回敲布特科，在向回传                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
43'后场奥尔德茨给到拉基茨基，长传向前                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
43'左侧给到伊斯梅利，半高球传中                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
43'送到禁区内，门前斯通斯把球解围                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
43'布特科边线球给到马洛斯                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
43'右侧拿球，回敲给泰森                   40'矿工第40分钟险些破门，马尔罗斯任意球传中，费雷拉面对出击的埃德森顶空门偏出
48'低球给到身前萨内，接球被破坏                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
48'德尔夫界外球给到奥塔门迪                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
48'斜长传到了右侧沃克                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
48'面对逼抢，回敲给到门将艾德森                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
48'交给奥塔门迪，斜传右侧给丁丁                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
48'挑入禁区内又是被门将没收                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
48'皮亚托夫手抛球给右路                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
49'马洛斯拿球，回敲，丢掉了                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
49'席尔瓦前场抢断                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
49'左脚一扣，横敲                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
49'丁丁中路拿球，弧顶的位置，无人盯防                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
49'丁丁赶在对手封堵上来之前，打出一脚世界波                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
49'漂亮的进球，丁丁，，脚感滚热啊                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
50'席尔瓦禁区左侧一扣，横敲到弧顶，丁丁跟上，右脚爆射，优雅的弧线，直钻右上角，打的是非常的精彩                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
50'曼城前场反抢，费尔南迪尼奥直塞禁区                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
50'丁丁前插没有拿到，被皮亚托夫没收                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
51'皮亚托夫给出来，斜传出了边线                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
51'德尔夫给到席尔瓦，回敲德尔夫，出了边线                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
51'矿工发球给到马洛斯，在给插上的布特科                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
51'右侧跟上，起球传中，被斯通斯破坏                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
51'禁区外左侧，伊斯梅利拿球，直接远射，被挡出                   48'曼城第48分钟打破僵局，席尔瓦横传，德布劳内禁区前射入右上角
69'另外几场，哈里凯恩帽子戏法了，热刺3-0领先，那不勒斯2-0领先，皇马2-1领先大黄蜂                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
69'沃克在转移到左侧萨内，回敲席尔瓦                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
70'席尔瓦给到弧顶附近，费尔南迪尼奥跟上射门被斯捷潘内克挡出                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
70'沃克边线球给到斯通斯                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
70'横敲奥塔门迪，右侧在给费尔南迪尼奥，边路找沃克                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
70'直塞向前，丁丁插上，一记传中，到了禁区内，好机会                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
70'斯特林箭步跟进，垫射空门了啊，居然偏出                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
71'皮亚托夫把球开起来                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
71'中路马洛斯分边右侧给奥尔德茨                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
71'向前交给弗雷德，在找左侧伊斯梅利                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
71'回敲给到门将，大脚走你                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
71'中路费雷拉拿球，回敲给马洛斯                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
72'再分右侧插上的布特科，直传在给马洛斯                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
72'马洛斯回敲，布特科右侧传中                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
72'禁区内艾德森把球没收                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
72'手抛球快发，左侧给到萨内，反击                   69'第69分钟，德布劳内右路传中，无人防守的斯特林小禁区前单刀扫射偏出
